,group,variable,month,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,L 16.6 HIPERTENSIÓN ARTERIAL SISTÉMICA EN MAYORES DE 5 AÑOS CANTIDAD,TOTALES
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,124,178,302
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,4,4
OMEREQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,155,228,383
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,15,11,26
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,4,10,14
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,5,1,6
PAMPA GRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,2,3
PAPEL PAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
PASORAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,9,11
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,2,5
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,1,2
POOPO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,0,3
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,6,7
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,21,35,56
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,67,47,114
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,2,3
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,5,6
PUERTO ACOSTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,6,8
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
PUERTO PEREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
PUERTO QUIJARRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,41,39,80
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,11,0,11
PUERTO SILES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,8,9
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,38,54,92
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,12,23,35
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,22,48,70
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
REYES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,4,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,5,11,16
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,28,56,84
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,37,65,102
SABAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,7,2,9
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,16,17,33
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,1,3
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,5,8,13
SAMAIPATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,14,10,24
SAN ANDRES DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,7,9
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,12,45,57
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,4,4,8
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,12,20,32
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,10,21,31
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,45,57,102
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,12,11,23
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,3,4
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,11,14,25
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,5,5,10
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,1,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,6,5,11
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,10,13
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,5,7
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,7,9
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,4,9,13
SAN PEDRO DE TIQUINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,1,4
SAN RAFAEL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,5,11,16
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,4,3,7
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,28,4,32
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1125,1782,2907
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,11,21,32
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,2,5
SANTUARIO DE QUILLACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,1,4
SAPAHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,4,5
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,1,2
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,4,5,9
SORACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,3,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,857,817,1674
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
TACOBAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,2,3
TACOPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,2,2
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,9,21,30
TARACO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,2,2
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,1,3
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,23,50,73
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,7,10
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,1,3
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,3,6
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,2,2
TOCO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,14,17
TOMAVE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,2,4,6
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,9,14,23
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,4,4
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,88,142,230
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,23,10,33
UNCIA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,1,2
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,5,8
URUBICHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,10,15,25
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,47,41,88
VACAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,0,1
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,3,5,8
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,13,14,27
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,6,13,19
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,5,30,35
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,11,10,21
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,8,14,22
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,6,18,24
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,11,14,25
VITICHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,4,5,9
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,13,23,36
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,26,46,72
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,2,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,17,9,26
YOTALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,1,2,3
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-10-01,7,11,18
ACACIO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,6,0,6
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,10,24,34
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,1,1
ANCORAIMES,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,0,2
ARAMPAMPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,2,2
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,1,1
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,3,4
ASCENCION DE GUARAYOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,3,1,4
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,17,5,22
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,5,6
AYO AYO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,3,3,6
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,1,3
BELEN DE ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,2,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,61,56,117
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,25,24,49
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,6,14,20
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,3,5,8
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,13,21,34
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,1,2
CAJUATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,5,4,9
CALAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,2,3
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,21,41,62
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,150,193,343
CAQUIAVIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,0,2
CARANAVI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,0,1
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,7,8,15
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,5,7,12
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,11,13,24
CHOQUE COTA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,3,3
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,3,5,8
CHUQUIHUTA AYLLU JUCUMANI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,22,25,47
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,33,39,72
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1027,296,1323
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,5,0,5
"COLCHA ""K""","enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,3,5,8
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,1,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,2,4
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,12,15,27
COLQUECHACA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,2,2
COLQUIRI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,0,1
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,10,13,23
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,4,5,9
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,4,4,8
CORO CORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,3,5
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,6,8,14
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,12,9,21
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,4,5
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,5,0,5
DESAGUADERO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,4,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,128,356,484
EL CHORO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,1,2
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,1,12,13
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,1,3
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,8,15,23
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,4,6
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,4,19,23
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,3,5,8
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,20,7,27
GRAL. J.J. PEREZ (CHARAZANI),"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,0,2
GUAQUI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,8,13,21
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,29,52,81
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,6,15,21
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,1,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,17,8,25
HUMANATA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",l 16.6        hipertension arterial sistemica en mayores de 5 anos,2012-11-01,3,5,8
