,group,variable,month,REPETIDAS 10 A 14,REPETIDAS 10 A 14,REPETIDAS 15 A 19,REPETIDAS 15 A 19,REPETIDAS 20 A 34,REPETIDAS 20 A 34,REPETIDAS 35 A 49,REPETIDAS 35 A 49,REPETIDAS 50 Y +,REPETIDAS 50 Y +,REPETIDAS < A 10,REPETIDAS < A 10,TOTALES
SORACACHI,consultas prenatales,repetidas,2024-09-01,0,1,5,2,22,1,3,0,0,0,0,0,34
SORATA,consultas prenatales,repetidas,2024-09-01,0,0,12,1,66,5,6,0,0,0,0,0,90
SUCRE,consultas prenatales,repetidas,2024-09-01,3,0,146,0,1078,25,274,0,1,0,0,0,1527
TACACHI,consultas prenatales,repetidas,2024-09-01,0,0,0,0,2,0,1,0,0,0,0,0,3
TACACOMA,consultas prenatales,repetidas,2024-09-01,1,0,5,0,46,0,3,0,0,0,0,0,55
TACOBAMBA,consultas prenatales,repetidas,2024-09-01,0,0,7,2,5,10,2,1,0,0,0,0,27
TACOPAYA,consultas prenatales,repetidas,2024-09-01,0,0,7,1,6,2,5,0,0,0,0,0,21
TAHUA,consultas prenatales,repetidas,2024-09-01,0,0,0,0,2,3,0,0,0,0,0,0,5
TAPACARI,consultas prenatales,repetidas,2024-09-01,1,0,18,3,38,5,9,4,0,0,0,0,78
TARABUCO,consultas prenatales,repetidas,2024-09-01,1,0,22,2,34,7,3,1,0,0,0,0,70
TARACO,consultas prenatales,repetidas,2024-09-01,0,0,1,0,24,1,1,0,0,0,0,0,27
TARATA,consultas prenatales,repetidas,2024-09-01,0,0,12,0,78,0,10,0,0,0,0,0,100
TARIJA,consultas prenatales,repetidas,2024-09-01,7,0,62,8,740,29,272,9,0,0,0,0,1127
TARVITA,consultas prenatales,repetidas,2024-09-01,0,0,12,1,22,3,4,3,0,0,0,0,45
TEOPONTE,consultas prenatales,repetidas,2024-09-01,0,0,6,0,32,0,4,1,0,0,0,0,43
TIAHUANACU,consultas prenatales,repetidas,2024-09-01,0,0,1,1,23,0,1,1,0,0,0,0,27
TINGUIPAYA,consultas prenatales,repetidas,2024-09-01,0,0,8,1,16,6,3,5,0,0,0,0,39
TIPUANI,consultas prenatales,repetidas,2024-09-01,0,0,4,0,32,0,6,0,0,0,0,0,42
TIQUIPAYA,consultas prenatales,repetidas,2024-09-01,0,0,26,1,160,12,38,2,0,0,0,0,239
TIRAQUE (CBBA),consultas prenatales,repetidas,2024-09-01,0,0,25,1,65,1,10,2,0,0,0,0,104
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2024-09-01,0,0,0,0,0,0,2,0,0,0,0,0,2
TOCO,consultas prenatales,repetidas,2024-09-01,0,0,6,0,13,0,2,0,0,0,0,0,21
TOLATA,consultas prenatales,repetidas,2024-09-01,0,0,7,1,22,0,2,0,0,0,0,0,32
TOLEDO,consultas prenatales,repetidas,2024-09-01,1,0,3,0,5,0,1,0,0,0,0,0,10
TOMAVE,consultas prenatales,repetidas,2024-09-01,0,0,0,0,7,6,2,4,0,0,0,0,19
TOMINA,consultas prenatales,repetidas,2024-09-01,0,0,6,0,17,0,4,0,0,0,0,0,27
TORO TORO,consultas prenatales,repetidas,2024-09-01,0,0,14,1,16,6,4,2,0,0,0,0,43
TOTORA(CBBA),consultas prenatales,repetidas,2024-09-01,2,0,23,0,60,0,4,1,0,0,0,0,90
TOTORA(ORR),consultas prenatales,repetidas,2024-09-01,2,0,4,0,3,0,1,0,0,0,0,0,10
TRIGAL,consultas prenatales,repetidas,2024-09-01,0,0,0,0,2,0,1,0,0,0,0,0,3
TRINIDAD,consultas prenatales,repetidas,2024-09-01,2,0,70,0,439,4,67,1,0,0,0,0,583
TUPIZA,consultas prenatales,repetidas,2024-09-01,1,0,33,2,187,7,39,2,0,0,0,0,271
TURCO,consultas prenatales,repetidas,2024-09-01,0,0,0,0,12,0,6,0,0,0,0,0,18
UMALA,consultas prenatales,repetidas,2024-09-01,0,0,6,0,9,1,2,0,0,0,0,0,18
UNCIA,consultas prenatales,repetidas,2024-09-01,0,0,16,1,178,7,52,2,0,0,0,0,256
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2024-09-01,0,0,5,0,52,1,6,0,0,0,0,0,64
URUBICHA,consultas prenatales,repetidas,2024-09-01,1,0,6,0,7,0,3,0,0,0,0,0,17
UYUNI,consultas prenatales,repetidas,2024-09-01,0,0,18,0,164,3,29,0,1,0,0,0,215
VACAS,consultas prenatales,repetidas,2024-09-01,0,0,3,4,12,2,3,0,0,0,0,0,24
VALLEGRANDE,consultas prenatales,repetidas,2024-09-01,0,0,12,0,58,0,12,1,0,0,0,0,83
VIACHA,consultas prenatales,repetidas,2024-09-01,0,0,42,0,350,5,90,0,0,0,0,0,487
VILA VILA,consultas prenatales,repetidas,2024-09-01,1,0,4,0,5,2,2,0,0,0,0,0,14
VILLA CHARCAS,consultas prenatales,repetidas,2024-09-01,0,0,8,3,26,6,7,3,0,0,0,0,53
VILLA MONTES,consultas prenatales,repetidas,2024-09-01,1,0,33,1,170,3,43,2,0,0,0,0,253
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2024-09-01,0,0,4,1,6,2,0,0,0,0,0,0,13
VILLA RIVERO,consultas prenatales,repetidas,2024-09-01,0,0,4,0,2,0,0,0,0,0,0,0,6
VILLA SERRANO,consultas prenatales,repetidas,2024-09-01,0,0,7,1,18,8,6,3,0,0,0,0,43
VILLA TUNARI,consultas prenatales,repetidas,2024-09-01,0,0,96,2,472,2,88,0,0,0,0,0,660
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2024-09-01,0,0,5,1,27,0,6,2,0,0,0,0,41
VILLAZON,consultas prenatales,repetidas,2024-09-01,2,0,21,1,175,4,49,1,0,0,0,0,253
VINTO,consultas prenatales,repetidas,2024-09-01,0,1,56,3,320,42,55,8,0,0,0,0,485
VITICHI,consultas prenatales,repetidas,2024-09-01,0,0,6,0,24,2,2,1,0,0,0,0,35
WALDO BALLIVIAN,consultas prenatales,repetidas,2024-09-01,0,0,4,0,9,0,0,0,0,0,0,0,13
WARNES,consultas prenatales,repetidas,2024-09-01,3,0,78,1,476,3,82,0,0,0,0,0,643
YACO,consultas prenatales,repetidas,2024-09-01,0,0,2,0,20,0,0,0,0,0,0,0,22
YACUIBA,consultas prenatales,repetidas,2024-09-01,2,0,47,0,330,15,51,1,0,0,0,0,446
YAMPARAEZ,consultas prenatales,repetidas,2024-09-01,0,0,5,1,11,0,1,0,0,0,0,0,18
YANACACHI,consultas prenatales,repetidas,2024-09-01,0,0,2,0,11,0,2,0,1,0,0,0,16
YAPACANI,consultas prenatales,repetidas,2024-09-01,0,1,16,5,87,64,26,3,0,0,0,0,202
YOCALLA,consultas prenatales,repetidas,2024-09-01,0,0,4,1,16,4,1,2,0,0,0,0,28
YOTALA,consultas prenatales,repetidas,2024-09-01,0,0,3,0,19,0,5,1,0,0,0,0,28
YUNCHARA,consultas prenatales,repetidas,2024-09-01,0,0,1,3,5,3,2,3,0,0,0,0,17
ZUDAÑEZ,consultas prenatales,repetidas,2024-09-01,0,0,8,0,10,1,3,0,0,0,0,0,22
ACACIO,consultas prenatales,repetidas,2024-10-01,1,0,3,0,3,2,2,2,0,0,0,0,13
ACHACACHI,consultas prenatales,repetidas,2024-10-01,0,0,16,1,76,2,15,1,0,0,0,0,111
ACHOCALLA,consultas prenatales,repetidas,2024-10-01,0,0,18,0,132,0,17,0,0,0,0,0,167
AIQUILE,consultas prenatales,repetidas,2024-10-01,0,0,17,0,64,2,15,0,0,0,0,0,98
ALALAY,consultas prenatales,repetidas,2024-10-01,0,0,2,1,2,0,1,0,0,0,0,0,6
ALCALA,consultas prenatales,repetidas,2024-10-01,0,0,3,0,7,0,2,0,0,0,0,0,12
ALTO BENI,consultas prenatales,repetidas,2024-10-01,0,0,8,0,32,0,5,0,0,0,0,0,45
ANCORAIMES,consultas prenatales,repetidas,2024-10-01,0,0,5,1,20,1,6,0,0,0,0,0,33
ANDAMARCA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,3,4,2,0,1,0,0,0,10
ANTEQUERA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,3,1,2,0,0,0,0,0,7
ANZALDO,consultas prenatales,repetidas,2024-10-01,3,0,2,2,14,1,5,0,0,0,0,0,27
APOLO,consultas prenatales,repetidas,2024-10-01,0,0,18,0,75,4,22,1,0,0,0,0,120
ARAMPAMPA,consultas prenatales,repetidas,2024-10-01,0,0,1,2,4,1,1,0,0,0,0,0,9
ARANI,consultas prenatales,repetidas,2024-10-01,0,0,2,1,25,0,9,0,0,0,0,0,37
ARBIETO,consultas prenatales,repetidas,2024-10-01,0,1,13,0,101,0,14,0,0,0,0,0,129
ARQUE,consultas prenatales,repetidas,2024-10-01,0,0,16,0,26,2,8,1,0,0,0,0,53
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2024-10-01,3,0,46,0,117,0,18,0,0,0,0,0,184
ATOCHA,consultas prenatales,repetidas,2024-10-01,0,0,6,1,73,1,14,0,0,0,0,0,95
AUCAPATA,consultas prenatales,repetidas,2024-10-01,0,0,2,0,19,0,0,0,0,0,0,0,21
AYATA,consultas prenatales,repetidas,2024-10-01,0,0,8,0,11,1,2,0,0,0,0,0,22
AYO AYO,consultas prenatales,repetidas,2024-10-01,0,0,6,2,26,11,1,1,0,0,0,0,47
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2024-10-01,0,0,17,1,61,4,10,2,1,0,0,0,96
AZURDUY,consultas prenatales,repetidas,2024-10-01,1,0,10,4,21,4,8,2,0,0,0,0,50
BATALLAS,consultas prenatales,repetidas,2024-10-01,0,0,8,1,39,1,3,0,0,0,0,0,52
BAURES,consultas prenatales,repetidas,2024-10-01,0,0,4,0,13,0,4,0,0,0,0,0,21
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2024-10-01,0,0,0,1,3,2,0,0,0,0,0,0,6
BELEN DE URMIRI,consultas prenatales,repetidas,2024-10-01,0,0,2,0,0,3,0,0,0,0,0,0,5
BELLA FLOR,consultas prenatales,repetidas,2024-10-01,0,0,0,0,13,0,1,0,0,0,0,0,14
BERMEJO,consultas prenatales,repetidas,2024-10-01,0,0,23,0,178,0,43,0,0,0,0,0,244
BETANZOS,consultas prenatales,repetidas,2024-10-01,0,0,18,1,71,12,18,4,0,0,0,0,124
BOLIVAR,consultas prenatales,repetidas,2024-10-01,0,0,2,0,9,2,1,0,0,0,0,0,14
BOLPEBRA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,2,0,0,0,0,0,0,0,2
BOYUIBE,consultas prenatales,repetidas,2024-10-01,0,0,5,0,16,1,2,1,0,0,0,0,25
BUENA VISTA,consultas prenatales,repetidas,2024-10-01,1,0,10,0,43,0,11,0,0,0,0,0,65
CABEZAS,consultas prenatales,repetidas,2024-10-01,0,0,10,0,55,0,6,0,0,0,0,0,71
CAIROMA,consultas prenatales,repetidas,2024-10-01,0,0,8,0,31,0,2,1,0,1,0,0,43
"CAIZA ""D""",consultas prenatales,repetidas,2024-10-01,0,0,7,0,38,3,3,0,0,0,0,0,51
CAJUATA,consultas prenatales,repetidas,2024-10-01,1,0,10,2,53,4,5,2,0,0,0,0,77
CALACOTO,consultas prenatales,repetidas,2024-10-01,1,0,1,2,5,4,0,1,0,0,0,0,14
CALAMARCA,consultas prenatales,repetidas,2024-10-01,0,0,9,0,41,0,7,0,0,0,0,0,57
CAMARGO,consultas prenatales,repetidas,2024-10-01,0,0,8,3,45,4,10,1,0,0,0,0,71
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2024-10-01,0,0,1,0,6,1,1,0,0,0,0,0,9
CAMIRI,consultas prenatales,repetidas,2024-10-01,0,1,16,0,104,0,13,0,0,0,0,0,134
CAPINOTA,consultas prenatales,repetidas,2024-10-01,1,0,6,1,51,0,10,0,0,0,0,0,69
CAQUIAVIRI,consultas prenatales,repetidas,2024-10-01,0,0,5,0,21,1,2,0,0,0,0,0,29
CARACOLLO,consultas prenatales,repetidas,2024-10-01,0,0,11,0,53,0,13,0,0,0,0,0,77
CARANAVI,consultas prenatales,repetidas,2024-10-01,1,0,38,0,250,1,33,2,1,0,0,0,326
CARANGAS,consultas prenatales,repetidas,2024-10-01,0,0,0,0,2,0,0,0,0,0,0,0,2
CARAPARI,consultas prenatales,repetidas,2024-10-01,0,0,4,0,45,0,14,0,0,0,0,0,63
CARIPUYO,consultas prenatales,repetidas,2024-10-01,0,0,1,0,12,3,2,1,0,0,0,0,19
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2024-10-01,1,0,8,0,19,3,4,0,0,0,0,0,35
CATACORA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,3,1,0,0,0,0,0,0,5
CHACARILLA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,7,0,0,0,0,0,0,0,7
CHALLAPATA,consultas prenatales,repetidas,2024-10-01,2,0,29,0,152,2,26,1,0,0,0,0,212
CHAQUI,consultas prenatales,repetidas,2024-10-01,0,0,5,1,28,0,3,1,0,0,0,0,38
CHARAGUA,consultas prenatales,repetidas,2024-10-01,0,0,16,0,80,4,18,0,0,0,0,0,118
CHARAÑA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,6,0,3,0,0,0,0,0,10
CHAYANTA,consultas prenatales,repetidas,2024-10-01,0,0,9,6,21,6,10,2,0,0,0,0,54
CHIMORE,consultas prenatales,repetidas,2024-10-01,3,1,32,1,149,6,18,2,0,0,0,0,212
CHIPAYA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,5,0,1,0,0,0,0,0,6
CHOQUE COTA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,2,0,0,1,0,0,0,0,4
CHUA COCANI,consultas prenatales,repetidas,2024-10-01,0,0,1,0,7,0,0,0,0,0,0,0,8
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2024-10-01,0,0,8,0,56,1,11,0,0,0,0,0,76
CHUMA,consultas prenatales,repetidas,2024-10-01,0,0,5,2,17,7,1,0,0,0,0,0,32
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2024-10-01,0,0,3,1,24,5,3,0,0,0,0,0,36
CKOCHAS,consultas prenatales,repetidas,2024-10-01,0,0,10,2,18,3,8,1,0,0,0,0,42
CLIZA,consultas prenatales,repetidas,2024-10-01,0,0,16,0,58,0,12,0,0,0,0,0,86
COBIJA,consultas prenatales,repetidas,2024-10-01,8,0,74,1,370,4,77,2,0,0,0,0,536
COCAPATA,consultas prenatales,repetidas,2024-10-01,1,0,12,6,52,12,6,2,0,0,0,0,91
COCHABAMBA,consultas prenatales,repetidas,2024-10-01,3,0,248,0,3316,12,944,2,1,0,0,0,4526
COIPASA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,1,0,0,0,0,0,0,0,1
COLCAPIRHUA,consultas prenatales,repetidas,2024-10-01,0,0,23,0,246,3,52,1,0,0,0,0,325
"COLCHA ""K""",consultas prenatales,repetidas,2024-10-01,0,0,3,0,27,1,5,1,0,0,0,0,37
COLLANA,consultas prenatales,repetidas,2024-10-01,0,0,3,0,9,0,4,0,0,0,0,0,16
COLOMI,consultas prenatales,repetidas,2024-10-01,1,0,20,1,93,0,16,0,0,0,0,0,131
COLPA BELGICA,consultas prenatales,repetidas,2024-10-01,1,0,7,0,24,0,2,0,0,0,0,0,34
COLQUECHACA,consultas prenatales,repetidas,2024-10-01,0,0,21,3,63,2,10,1,0,0,0,0,100
COLQUENCHA,consultas prenatales,repetidas,2024-10-01,0,0,5,0,39,0,14,0,0,0,0,0,58
COLQUIRI,consultas prenatales,repetidas,2024-10-01,0,0,12,2,44,8,5,1,0,0,0,0,72
COMANCHE,consultas prenatales,repetidas,2024-10-01,0,0,0,0,2,0,0,0,0,0,0,0,2
COMARAPA,consultas prenatales,repetidas,2024-10-01,1,0,12,0,94,0,17,0,1,0,0,0,125
COMBAYA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,3,5,0,0,0,0,0,0,8
CONCEPCION,consultas prenatales,repetidas,2024-10-01,7,1,20,3,106,4,14,0,0,0,0,0,155
COPACABANA,consultas prenatales,repetidas,2024-10-01,0,0,5,0,44,3,7,1,0,0,0,0,60
CORIPATA,consultas prenatales,repetidas,2024-10-01,0,1,2,0,53,2,9,1,0,0,0,0,68
CORO CORO,consultas prenatales,repetidas,2024-10-01,0,0,1,2,15,6,2,0,0,0,0,0,26
COROICO,consultas prenatales,repetidas,2024-10-01,0,0,8,0,87,3,19,1,0,0,0,0,118
CORQUE,consultas prenatales,repetidas,2024-10-01,0,0,1,0,13,1,3,0,0,0,0,0,18
COTAGAITA,consultas prenatales,repetidas,2024-10-01,0,0,9,0,59,6,20,1,0,0,0,0,95
COTOCA,consultas prenatales,repetidas,2024-10-01,2,0,75,0,343,0,57,0,0,0,0,0,477
CUATRO CAÑADAS,consultas prenatales,repetidas,2024-10-01,0,0,19,0,87,1,20,0,0,0,0,0,127
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2024-10-01,0,0,0,0,4,0,0,0,0,0,0,0,4
CUEVO,consultas prenatales,repetidas,2024-10-01,0,0,2,0,4,1,3,0,0,0,0,0,10
CULPINA,consultas prenatales,repetidas,2024-10-01,1,0,11,4,39,6,5,2,0,0,0,0,68
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2024-10-01,0,0,3,0,11,0,4,1,0,0,0,0,19
CURVA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,4,1,1,0,0,0,0,0,7
DESAGUADERO,consultas prenatales,repetidas,2024-10-01,0,0,3,0,17,1,5,0,0,0,0,0,26
EL ALTO,consultas prenatales,repetidas,2024-10-01,3,2,295,72,3549,752,701,113,0,0,0,0,5487
EL CHORO,consultas prenatales,repetidas,2024-10-01,0,0,3,0,9,1,0,0,0,0,0,0,13
EL PUENTE(STC),consultas prenatales,repetidas,2024-10-01,0,0,14,6,27,0,3,0,0,0,0,0,50
EL PUENTE(TJA),consultas prenatales,repetidas,2024-10-01,0,0,1,1,28,0,6,1,0,0,0,0,37
EL TORNO,consultas prenatales,repetidas,2024-10-01,5,0,48,0,264,0,47,0,0,0,0,0,364
EL VILLAR,consultas prenatales,repetidas,2024-10-01,0,0,3,1,5,1,0,0,0,0,0,0,10
ENTRE RIOS TRJ,consultas prenatales,repetidas,2024-10-01,1,0,12,0,41,2,8,1,0,0,0,0,65
ENTRE RIOS CBBA,consultas prenatales,repetidas,2024-10-01,0,0,30,0,206,0,46,2,0,0,0,0,284
ESCARA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,1,0,0,0,0,0,0,0,1
ESCOMA,consultas prenatales,repetidas,2024-10-01,0,0,5,0,9,0,0,0,0,0,0,0,14
ESMERALDA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,0,0,1,0,0,0,0,0,1
EUCALIPTUS,consultas prenatales,repetidas,2024-10-01,1,0,0,0,10,0,1,0,0,0,0,0,12
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2024-10-01,0,0,1,0,1,0,0,0,0,0,0,0,2
EXALTACION,consultas prenatales,repetidas,2024-10-01,0,2,0,0,3,0,2,0,0,0,0,0,7
FERNANDEZ ALONSO,consultas prenatales,repetidas,2024-10-01,2,0,4,0,42,0,12,0,0,0,0,0,60
FILADELFIA,consultas prenatales,repetidas,2024-10-01,0,0,2,0,22,3,1,2,0,0,0,0,30
GAIOC JATUN AYLLU YURA,consultas prenatales,repetidas,2024-10-01,0,0,2,1,9,2,1,1,0,0,0,0,16
GENERAL SAAVEDRA,consultas prenatales,repetidas,2024-10-01,0,0,16,1,63,3,11,0,0,0,0,0,94
GIA-TIM,consultas prenatales,repetidas,2024-10-01,0,0,0,1,5,0,1,0,0,0,0,0,7
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2024-10-01,0,0,4,1,9,2,4,0,0,0,0,0,20
GUANAY,consultas prenatales,repetidas,2024-10-01,5,0,49,1,12,4,1,0,0,0,0,0,72
GUAQUI,consultas prenatales,repetidas,2024-10-01,0,0,3,0,14,2,2,0,0,0,0,0,21
GUAYARAMERIN,consultas prenatales,repetidas,2024-10-01,19,0,55,0,283,0,50,0,13,0,0,0,420
GUTIERREZ,consultas prenatales,repetidas,2024-10-01,0,1,17,0,46,3,11,1,0,0,0,0,79
HUACARAJE,consultas prenatales,repetidas,2024-10-01,0,0,2,0,4,0,3,0,0,0,0,0,9
HUACARETA,consultas prenatales,repetidas,2024-10-01,1,0,5,1,24,1,6,0,0,0,0,0,38
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2024-10-01,0,0,3,0,5,0,1,0,0,0,0,0,9
HUACHACALLA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,1,0,0,0,0,0,0,0,2
HUANUNI,consultas prenatales,repetidas,2024-10-01,0,0,12,0,82,0,23,0,0,0,0,0,117
HUARINA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,18,0,5,0,0,0,0,0,24
HUATAJATA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,8,0,1,0,0,0,0,0,9
HUAYLLAMARCA,consultas prenatales,repetidas,2024-10-01,0,0,0,1,4,0,1,0,0,0,0,0,6
HUMANATA,consultas prenatales,repetidas,2024-10-01,0,0,3,0,5,0,3,0,0,0,0,0,11
ICHOCA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,11,5,0,0,0,0,0,0,17
ICLA,consultas prenatales,repetidas,2024-10-01,0,0,5,0,7,0,1,2,0,0,0,0,15
INCAHUASI,consultas prenatales,repetidas,2024-10-01,0,0,7,7,31,17,6,2,0,0,0,0,70
INGAVI (HUMAITA),consultas prenatales,repetidas,2024-10-01,0,0,1,0,4,0,1,0,0,0,0,0,6
INQUISIVI,consultas prenatales,repetidas,2024-10-01,0,0,2,6,10,9,4,1,0,0,0,0,32
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2024-10-01,0,0,7,0,37,5,11,1,0,0,0,0,61
IXIAMAS,consultas prenatales,repetidas,2024-10-01,0,0,2,0,1,1,2,0,0,0,0,0,6
JESUS DE MACHACA,consultas prenatales,repetidas,2024-10-01,0,0,6,0,26,2,15,1,0,0,0,0,50
LA ASUNTA,consultas prenatales,repetidas,2024-10-01,0,0,28,2,191,5,34,2,0,0,0,0,262
LA GUARDIA,consultas prenatales,repetidas,2024-10-01,0,0,39,0,421,0,41,0,1,0,0,0,502
LA PAZ,consultas prenatales,repetidas,2024-10-01,1,0,165,2,3164,41,1133,1,7,0,0,0,4514
LAGUNILLAS,consultas prenatales,repetidas,2024-10-01,0,0,2,2,16,5,1,0,0,0,0,0,26
LAJA,consultas prenatales,repetidas,2024-10-01,0,0,10,1,69,0,8,0,0,0,0,0,88
LAS CARRERAS,consultas prenatales,repetidas,2024-10-01,0,0,2,0,7,0,1,1,0,0,0,0,11
LICOMA PAMPA,consultas prenatales,repetidas,2024-10-01,0,0,2,0,9,0,4,0,0,0,0,0,15
LLALLAGUA,consultas prenatales,repetidas,2024-10-01,1,0,65,2,303,3,59,1,0,0,0,0,434
LLICA,consultas prenatales,repetidas,2024-10-01,0,0,2,0,12,0,0,0,0,0,0,0,14
LORETO,consultas prenatales,repetidas,2024-10-01,0,0,1,0,10,0,0,0,0,0,0,0,11
LURIBAY,consultas prenatales,repetidas,2024-10-01,0,0,2,1,9,1,6,0,0,0,0,0,19
MACHACAMARCA,consultas prenatales,repetidas,2024-10-01,0,0,3,0,12,0,5,0,0,0,0,0,20
MACHARETI,consultas prenatales,repetidas,2024-10-01,0,0,4,0,26,0,3,0,0,0,0,0,33
MAGDALENA,consultas prenatales,repetidas,2024-10-01,1,0,11,0,42,0,10,0,0,0,0,0,64
MAIRANA,consultas prenatales,repetidas,2024-10-01,0,0,14,0,43,2,8,0,0,0,0,0,67
MALLA,consultas prenatales,repetidas,2024-10-01,0,0,1,1,6,1,0,0,0,0,0,0,9
MAPIRI,consultas prenatales,repetidas,2024-10-01,1,0,12,0,94,0,10,0,0,0,0,0,117
MECAPACA,consultas prenatales,repetidas,2024-10-01,1,0,3,1,37,1,2,0,0,0,0,0,45
MINEROS,consultas prenatales,repetidas,2024-10-01,1,0,13,0,76,1,7,0,0,0,0,0,98
MIZQUE,consultas prenatales,repetidas,2024-10-01,1,0,13,0,70,2,6,1,0,0,0,0,93
MOCOMOCO,consultas prenatales,repetidas,2024-10-01,0,0,7,3,24,2,5,1,0,0,0,0,42
MOJINETE,consultas prenatales,repetidas,2024-10-01,0,0,0,0,2,0,1,0,0,0,0,0,3
MOJOCOYA,consultas prenatales,repetidas,2024-10-01,0,0,2,0,16,1,1,0,0,0,0,0,20
MONTEAGUDO,consultas prenatales,repetidas,2024-10-01,0,0,15,55,49,2,12,1,0,0,0,0,134
MONTERO,consultas prenatales,repetidas,2024-10-01,1,0,83,0,530,1,259,0,27,0,0,0,901
MORO MORO,consultas prenatales,repetidas,2024-10-01,0,0,0,0,7,1,0,0,0,0,0,0,8
MOROCHATA,consultas prenatales,repetidas,2024-10-01,0,0,3,2,13,7,1,1,0,0,0,0,27
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2024-10-01,0,0,3,0,9,0,0,0,0,0,0,0,12
NAZACARA DE PACAJES,consultas prenatales,repetidas,2024-10-01,0,0,0,0,4,0,0,0,0,0,0,0,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2024-10-01,0,0,0,0,4,0,2,0,0,0,0,0,6
OCURI,consultas prenatales,repetidas,2024-10-01,1,0,19,4,29,6,5,3,0,0,0,0,67
OKINAWA,consultas prenatales,repetidas,2024-10-01,0,0,11,0,44,0,9,0,0,0,0,0,64
OMEREQUE,consultas prenatales,repetidas,2024-10-01,0,0,1,0,9,1,0,0,0,0,0,0,11
ORURO,consultas prenatales,repetidas,2024-10-01,5,0,214,10,2118,48,546,11,0,0,0,0,2952
PADCAYA,consultas prenatales,repetidas,2024-10-01,0,0,6,0,34,1,11,0,0,0,0,0,52
PADILLA,consultas prenatales,repetidas,2024-10-01,0,0,9,1,30,1,7,0,0,0,0,0,48
PAILON,consultas prenatales,repetidas,2024-10-01,1,3,26,6,128,0,5,0,0,0,0,0,169
PALCA,consultas prenatales,repetidas,2024-10-01,0,0,14,0,89,0,7,0,0,0,0,0,110
PALOS BLANCOS,consultas prenatales,repetidas,2024-10-01,1,1,17,2,94,8,21,1,0,0,0,0,145
PAMPA AULLAGAS,consultas prenatales,repetidas,2024-10-01,0,0,2,0,3,0,3,0,0,0,0,0,8
PAMPA GRANDE,consultas prenatales,repetidas,2024-10-01,0,0,4,0,22,0,1,1,0,0,0,0,28
PAPEL PAMPA,consultas prenatales,repetidas,2024-10-01,0,0,1,0,6,0,2,0,0,0,0,0,9
PASORAPA,consultas prenatales,repetidas,2024-10-01,0,0,0,0,3,1,0,0,0,0,0,0,4
PATACAMAYA,consultas prenatales,repetidas,2024-10-01,2,0,23,0,131,0,21,0,0,0,0,0,177
PAZÑA,consultas prenatales,repetidas,2024-10-01,0,0,4,0,8,1,1,1,0,0,0,0,15
PELECHUCO,consultas prenatales,repetidas,2024-10-01,0,0,8,0,37,0,3,0,0,0,0,0,48
POCOATA,consultas prenatales,repetidas,2024-10-01,0,0,22,4,48,15,8,3,0,0,0,0,100
POCONA,consultas prenatales,repetidas,2024-10-01,0,0,7,0,27,0,10,1,0,0,0,0,45
POJO (CBBA),consultas prenatales,repetidas,2024-10-01,2,0,8,0,30,0,6,0,0,0,0,0,46
POOPO,consultas prenatales,repetidas,2024-10-01,0,0,6,0,17,0,0,0,0,0,0,0,23
PORCO,consultas prenatales,repetidas,2024-10-01,1,0,22,2,62,3,13,0,0,0,0,0,103
