,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,29,26,29,26,55
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,16,6,16,6,22
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,1,14,1,14,15
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,43,8,43,8,51
VACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,12,14,12,14,26
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,29,3,29,3,32
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,53,7,53,7,60
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,8,4,8,4,12
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,55,13,55,13,68
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,1,0,1,0,1
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,5,1,5,1,6
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,12,10,12,10,22
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,104,25,104,25,129
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,8,10,8,10,18
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,60,2,60,2,62
VINTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,111,7,111,7,118
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,18,3,18,3,21
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,1,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,132,36,132,36,168
YACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,4,10,4,10,14
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,150,40,150,40,190
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,14,4,14,4,18
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,11,0,11,0,11
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,82,11,82,11,93
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,1,5,1,5,6
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,15,5,15,5,20
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,1,13,1,13,14
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-10-01,8,3,8,3,11
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,10,6,10,16
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,51,34,51,34,85
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,16,11,16,27
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,46,8,46,8,54
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,5,2,5,7
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,3,3,3,6
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,17,11,17,28
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,2,3,2,5
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,1,7,1,8
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,12,7,12,19
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,25,16,25,16,41
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,1,2,1,3
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,13,4,13,4,17
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,9,5,9,14
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,30,10,30,10,40
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,46,3,46,3,49
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,16,2,16,2,18
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,8,0,8,8
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,9,1,9,10
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,5,6,5,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,40,17,40,17,57
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,9,10,9,10,19
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,25,4,25,4,29
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,8,0,8,0,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,1,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,1,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,1,1,1,2
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,40,6,40,6,46
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,33,31,33,31,64
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,4,6,4,10
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,1,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,8,3,8,3,11
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,15,6,15,6,21
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,43,47,43,47,90
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,5,3,5,8
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,10,3,10,13
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,14,2,14,2,16
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,9,4,9,13
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,8,11,8,19
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,20,6,20,6,26
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,2,5,2,7
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,38,3,38,3,41
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,36,7,36,7,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,11,5,11,16
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,27,16,27,16,43
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,80,56,80,56,136
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,14,4,14,4,18
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,34,4,34,38
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,1,1,1,2
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,3,0,3,3
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,0,1,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,40,15,40,15,55
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,6,3,6,9
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,32,63,32,63,95
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,2,2,2,4
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,19,25,19,25,44
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,31,19,31,19,50
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,1,3,1,4
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,1,3,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,30,22,30,22,52
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,8,4,8,12
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,31,4,31,4,35
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,90,4,90,4,94
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1344,11,1344,11,1355
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,95,0,95,0,95
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,18,7,18,7,25
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,2,4,2,6
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,38,3,38,3,41
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,5,5,5,10
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,23,76,23,76,99
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,14,2,14,2,16
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,17,17,17,17,34
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,0,6,0,6
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,21,8,21,8,29
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,5,0,5,5
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,31,4,31,4,35
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,12,5,12,17
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,27,6,27,6,33
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,9,5,9,14
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,18,9,18,9,27
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,4,7,4,11
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,29,6,29,35
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,72,14,72,14,86
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,17,15,17,15,32
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,0,4,0,4
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,19,21,19,21,40
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,2,5,2,7
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,4,2,4,6
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,1,3,1,4
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1601,115,1601,115,1716
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,3,1,3,4
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,18,4,18,4,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,15,11,15,26
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,62,3,62,3,65
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,0,5,0,5
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,45,7,45,7,52
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,23,19,23,19,42
ESCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,1,6,1,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,0,1,0,1
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,0,4,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,23,2,23,2,25
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,0,5,0,5
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,29,7,29,7,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,14,4,14,18
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,14,5,14,5,19
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,8,5,8,13
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,84,17,84,17,101
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,12,26,12,26,38
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,9,3,9,3,12
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,3,0,3,3
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,0,3,0,3
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,61,5,61,5,66
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,1,5,1,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,6,3,6,9
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,5,6,5,11
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,11,11,11,22
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,29,24,29,24,53
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,26,2,26,28
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,9,7,9,16
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,15,6,15,6,21
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,13,5,13,5,18
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,68,18,68,18,86
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,115,4,115,4,119
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1327,25,1327,25,1352
LA RIVERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,0,1,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,3,4,3,7
LAJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,12,7,12,19
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,2,5,2,7
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,0,2,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,70,31,70,31,101
LLICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,4,7,4,11
LORETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,3,2,3,5
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,3,7,3,10
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,2,3,2,5
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,7,6,7,13
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,27,3,27,3,30
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,15,0,15,0,15
MALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,3,0,3,3
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,24,7,24,7,31
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,10,11,10,21
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,16,37,16,37,53
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,30,20,30,20,50
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,13,10,13,23
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,5,7,5,12
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,34,4,34,4,38
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,195,7,195,7,202
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,2,3,2,5
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,17,74,17,74,91
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,1,3,1,4
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,2,0,2,2
OCURI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,9,44,9,44,53
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,25,4,25,4,29
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,8,4,8,4,12
ORURO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,556,17,556,17,573
PADCAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,24,7,24,31
PADILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,4,10,4,14
PAILON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,34,35,34,35,69
PALCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,12,23,12,23,35
PALOS BLANCOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,45,9,45,9,54
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,2,4,2,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,4,11,4,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,6,5,6,11
PASORAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,1,1,1,2
PATACAMAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,24,16,24,16,40
PAZÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,17,1,17,1,18
PELECHUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,7,7,7,14
POCOATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,55,5,55,60
POCONA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,9,5,9,5,14
POJO (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,23,11,23,11,34
POOPO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,9,2,9,2,11
PORCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,6,7,6,13
POROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,21,25,21,25,46
PORONGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,23,11,23,11,34
PORTACHUELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,31,2,31,2,33
PORVENIR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,13,1,13,1,14
POSTRER VALLE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,2,0,2,2
POTOSI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,324,12,324,12,336
PRESTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,11,2,11,13
PUCARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,2,1,2,3
PUCARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,29,9,29,9,38
PUERTO ACOSTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,20,10,20,10,30
PUERTO CARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,15,13,15,13,28
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,6,5,6,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,5,2,5,7
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,20,7,20,7,27
PUERTO RICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,1,10,1,11
PUERTO SILES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,26,1,26,1,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,93,6,93,6,99
PUNA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,41,35,41,35,76
PUNATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,58,5,58,5,63
QUIABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,7,2,7,9
QUILLACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,209,10,209,10,219
QUIME,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,9,9,9,9,18
QUIRUSILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,0,3,0,3
RAVELO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,28,11,28,39
REYES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,17,2,17,2,19
RIBERALTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,215,34,215,34,249
ROBORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,18,3,18,3,21
RURRENABAQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,24,16,24,16,40
SABAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,3,2,3,5
SACABA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,212,37,212,37,249
SACABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,5,3,5,8
SACACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,28,32,28,32,60
SAIPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,3,6,3,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,4,7,4,11
SAMAIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,8,0,8,0,8
SAN AGUSTIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,0,2,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,8,8,8,8,16
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,4,2,4,6
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,2,3,2,5
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,2,4,2,6
SAN BENITO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,14,2,14,2,16
SAN BORJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,56,58,56,58,114
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,13,11,13,24
SAN CARLOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,32,17,32,17,49
SAN IGNACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,30,36,30,36,66
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,104,27,104,27,131
