,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES,TOTALES,TOTALES
TOCO,atencion odontologica,endodoncia,2016-10-01,3,0,0,0,0,5,0,1,0,1,0,0,0,0,3,7,10
TOLATA,atencion odontologica,endodoncia,2016-10-01,2,1,0,0,0,0,1,0,1,0,0,0,0,0,4,1,5
TOLEDO,atencion odontologica,endodoncia,2016-10-01,0,0,0,0,0,0,1,2,2,7,0,0,0,0,3,9,12
TOMAVE,atencion odontologica,endodoncia,2016-10-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TOMINA,atencion odontologica,endodoncia,2016-10-01,2,0,2,6,2,8,5,7,0,0,0,0,0,0,11,21,32
TORO TORO,atencion odontologica,endodoncia,2016-10-01,1,0,0,1,1,1,2,1,1,0,0,0,0,0,5,3,8
TOTORA(CBBA),atencion odontologica,endodoncia,2016-10-01,1,0,1,1,0,0,0,2,0,0,0,0,0,0,2,3,5
TOTORA(ORR),atencion odontologica,endodoncia,2016-10-01,0,2,1,1,0,0,4,1,0,0,0,0,0,0,5,4,9
TRIGAL,atencion odontologica,endodoncia,2016-10-01,1,0,0,0,1,0,4,0,0,0,0,0,0,0,6,0,6
TRINIDAD,atencion odontologica,endodoncia,2016-10-01,4,2,6,4,21,25,69,46,18,19,0,0,0,0,118,96,214
TUPIZA,atencion odontologica,endodoncia,2016-10-01,8,5,14,25,6,29,27,99,32,11,0,0,0,0,87,169,256
TURCO,atencion odontologica,endodoncia,2016-10-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2
UMALA,atencion odontologica,endodoncia,2016-10-01,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4
UNCIA,atencion odontologica,endodoncia,2016-10-01,8,7,6,0,1,2,2,15,2,2,0,0,0,0,19,26,45
URIONDO (A. CONCEPCION),atencion odontologica,endodoncia,2016-10-01,0,0,2,1,2,5,6,19,0,0,0,0,0,0,10,25,35
UYUNI,atencion odontologica,endodoncia,2016-10-01,8,2,2,5,1,0,12,11,2,1,0,0,0,0,25,19,44
VACAS,atencion odontologica,endodoncia,2016-10-01,2,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,4
VALLEGRANDE,atencion odontologica,endodoncia,2016-10-01,1,0,0,2,6,4,1,7,1,2,0,0,0,0,9,15,24
VIACHA,atencion odontologica,endodoncia,2016-10-01,24,14,7,2,1,2,1,23,3,3,0,0,0,0,36,44,80
VILA VILA,atencion odontologica,endodoncia,2016-10-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
VILLA CHARCAS,atencion odontologica,endodoncia,2016-10-01,5,1,0,0,0,3,0,1,1,0,0,0,0,0,6,5,11
VILLA MONTES,atencion odontologica,endodoncia,2016-10-01,0,3,12,17,7,15,9,41,2,0,0,0,0,0,30,76,106
VILLA NUEVA (LOMA ALTA),atencion odontologica,endodoncia,2016-10-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
VILLA RIVERO,atencion odontologica,endodoncia,2016-10-01,1,2,1,0,1,1,0,3,0,0,0,0,0,0,3,6,9
VILLA SERRANO,atencion odontologica,endodoncia,2016-10-01,1,1,0,0,0,0,1,4,0,0,0,0,0,0,2,5,7
VILLA TUNARI,atencion odontologica,endodoncia,2016-10-01,9,19,1,4,0,4,2,59,6,4,0,0,0,0,18,90,108
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncia,2016-10-01,2,4,2,0,0,0,2,2,0,0,0,0,0,0,6,6,12
VILLAZON,atencion odontologica,endodoncia,2016-10-01,12,17,24,36,16,13,15,33,5,11,0,0,0,0,72,110,182
VINTO,atencion odontologica,endodoncia,2016-10-01,12,9,1,1,0,0,0,10,0,2,0,0,0,0,13,22,35
VITICHI,atencion odontologica,endodoncia,2016-10-01,2,0,4,1,3,0,1,5,0,0,0,0,0,0,10,6,16
WARNES,atencion odontologica,endodoncia,2016-10-01,1,2,1,0,0,6,0,7,1,0,0,0,0,0,3,15,18
YACUIBA,atencion odontologica,endodoncia,2016-10-01,11,3,27,13,3,8,22,52,8,2,0,0,0,0,71,78,149
YAMPARAEZ,atencion odontologica,endodoncia,2016-10-01,0,0,0,0,1,2,0,6,0,1,0,0,0,0,1,9,10
YANACACHI,atencion odontologica,endodoncia,2016-10-01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,3
YAPACANI,atencion odontologica,endodoncia,2016-10-01,10,9,3,0,3,13,1,26,8,3,0,0,0,0,25,51,76
YOCALLA,atencion odontologica,endodoncia,2016-10-01,0,1,2,1,1,3,1,0,0,0,0,0,0,0,4,5,9
YOTALA,atencion odontologica,endodoncia,2016-10-01,2,7,3,1,10,10,2,7,1,1,0,0,0,0,18,26,44
YUNCHARA,atencion odontologica,endodoncia,2016-10-01,0,0,3,1,0,1,1,2,0,0,0,0,0,0,4,4,8
ZUDAÑEZ,atencion odontologica,endodoncia,2016-10-01,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4
ACACIO,atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
ACHACACHI,atencion odontologica,endodoncia,2016-11-01,4,8,0,1,1,2,5,5,2,3,0,0,0,0,12,19,31
ACHOCALLA,atencion odontologica,endodoncia,2016-11-01,12,6,0,1,0,1,1,6,0,0,0,0,0,0,13,14,27
AIQUILE,atencion odontologica,endodoncia,2016-11-01,2,5,7,5,2,2,0,13,15,1,0,0,0,0,26,26,52
ALALAY,atencion odontologica,endodoncia,2016-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ALCALA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,1,0,2,7,1,0,0,0,0,0,4,7,11
ALTO BENI,atencion odontologica,endodoncia,2016-11-01,3,4,1,1,1,5,0,2,2,5,0,0,0,0,7,17,24
ANDAMARCA,atencion odontologica,endodoncia,2016-11-01,4,1,4,0,0,1,0,1,0,0,0,0,0,0,8,3,11
ANTEQUERA,atencion odontologica,endodoncia,2016-11-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
ANZALDO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
ARAMPAMPA,atencion odontologica,endodoncia,2016-11-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
ARANI,atencion odontologica,endodoncia,2016-11-01,3,2,2,7,0,0,0,2,0,0,0,0,0,0,5,11,16
ARBIETO,atencion odontologica,endodoncia,2016-11-01,20,15,1,2,0,0,0,14,8,10,0,0,0,0,29,41,70
ARQUE,atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,4
ASCENCION DE GUARAYOS,atencion odontologica,endodoncia,2016-11-01,4,4,2,1,0,0,0,8,6,4,0,0,0,0,12,17,29
ATOCHA,atencion odontologica,endodoncia,2016-11-01,7,6,7,8,17,12,44,38,5,7,0,0,0,0,80,71,151
AUCAPATA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
AYATA,atencion odontologica,endodoncia,2016-11-01,2,2,0,0,0,0,0,2,0,0,0,0,0,0,2,4,6
AYO AYO,atencion odontologica,endodoncia,2016-11-01,1,2,0,0,0,0,2,2,1,0,0,0,0,0,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncia,2016-11-01,4,6,0,7,3,4,19,17,5,6,0,0,0,0,31,40,71
AZURDUY,atencion odontologica,endodoncia,2016-11-01,2,0,1,2,0,0,0,2,0,0,0,0,0,0,3,4,7
BATALLAS,atencion odontologica,endodoncia,2016-11-01,1,1,1,2,0,1,0,1,0,0,0,0,0,0,2,5,7
BELEN DE ANDAMARCA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
BERMEJO,atencion odontologica,endodoncia,2016-11-01,3,0,5,2,2,1,12,15,0,0,0,0,0,0,22,18,40
BETANZOS,atencion odontologica,endodoncia,2016-11-01,1,1,1,3,2,4,3,7,1,1,0,0,0,0,8,16,24
BOLIVAR,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
BOYUIBE,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,5,5
BUENA VISTA,atencion odontologica,endodoncia,2016-11-01,5,2,1,1,2,3,1,8,0,0,0,0,0,0,9,14,23
CABEZAS,atencion odontologica,endodoncia,2016-11-01,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3
CAIROMA,atencion odontologica,endodoncia,2016-11-01,1,0,3,2,3,2,8,3,0,0,0,0,0,0,15,7,22
"CAIZA ""D""",atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
CAJUATA,atencion odontologica,endodoncia,2016-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CALACOTO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
CALAMARCA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,7,8
CAMARGO,atencion odontologica,endodoncia,2016-11-01,3,9,0,3,0,6,1,3,1,0,0,0,0,0,5,21,26
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMIRI,atencion odontologica,endodoncia,2016-11-01,4,11,1,1,0,4,6,10,2,1,0,0,0,0,13,27,40
CAPINOTA,atencion odontologica,endodoncia,2016-11-01,3,5,3,1,0,0,2,11,3,0,0,0,0,0,11,17,28
CARACOLLO,atencion odontologica,endodoncia,2016-11-01,0,5,0,0,0,0,4,4,0,0,0,0,0,0,4,9,13
CARANAVI,atencion odontologica,endodoncia,2016-11-01,9,7,0,4,1,6,6,15,8,1,0,0,0,0,24,33,57
CARAPARI,atencion odontologica,endodoncia,2016-11-01,0,6,5,10,14,12,22,22,0,0,0,0,0,0,41,50,91
CARIPUYO,atencion odontologica,endodoncia,2016-11-01,0,2,0,0,4,1,4,11,1,2,0,0,0,0,9,16,25
CHALLAPATA,atencion odontologica,endodoncia,2016-11-01,21,12,21,5,0,0,3,8,4,1,0,0,0,0,49,26,75
CHAQUI,atencion odontologica,endodoncia,2016-11-01,0,0,6,2,0,3,0,6,0,1,0,0,0,0,6,12,18
CHARAGUA,atencion odontologica,endodoncia,2016-11-01,0,0,0,1,2,5,2,6,0,0,0,0,0,0,4,12,16
CHAYANTA,atencion odontologica,endodoncia,2016-11-01,0,2,2,7,4,1,2,5,4,8,0,0,0,0,12,23,35
CHIMORE,atencion odontologica,endodoncia,2016-11-01,2,4,7,4,0,5,2,10,0,0,0,0,0,0,11,23,34
CHIPAYA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHOQUE COTA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,3
CHUA COCANI,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,3,9,0,0,0,0,0,0,3,9,12
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncia,2016-11-01,15,44,0,1,0,1,0,6,0,0,0,0,0,0,15,52,67
CHUMA,atencion odontologica,endodoncia,2016-11-01,1,0,4,5,1,4,6,7,2,2,0,0,0,0,14,18,32
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncia,2016-11-01,1,8,0,0,0,1,0,7,0,2,0,0,0,0,1,18,19
CKOCHAS,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CLIZA,atencion odontologica,endodoncia,2016-11-01,1,0,2,4,0,4,0,11,2,4,0,0,0,0,5,23,28
COBIJA,atencion odontologica,endodoncia,2016-11-01,5,2,1,6,2,5,4,11,2,0,0,0,0,0,14,24,38
COCAPATA,atencion odontologica,endodoncia,2016-11-01,3,0,0,0,0,0,0,3,1,2,0,0,0,0,4,5,9
COCHABAMBA,atencion odontologica,endodoncia,2016-11-01,195,142,146,134,83,105,404,494,136,100,0,0,0,0,964,975,1939
COIPASA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COLCAPIRHUA,atencion odontologica,endodoncia,2016-11-01,8,19,0,0,1,1,0,5,0,6,0,0,0,0,9,31,40
"COLCHA ""K""",atencion odontologica,endodoncia,2016-11-01,7,7,0,0,0,0,3,4,0,5,0,0,0,0,10,16,26
COLOMI,atencion odontologica,endodoncia,2016-11-01,7,12,0,0,0,0,0,1,0,0,0,0,0,0,7,13,20
COLQUECHACA,atencion odontologica,endodoncia,2016-11-01,4,7,3,6,2,2,3,9,1,1,0,0,0,0,13,25,38
COLQUENCHA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,3,0,0,7,0,1,0,0,0,0,3,8,11
COLQUIRI,atencion odontologica,endodoncia,2016-11-01,8,9,2,3,1,3,1,9,5,3,0,0,0,0,17,27,44
COMANCHE,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COMARAPA,atencion odontologica,endodoncia,2016-11-01,6,4,14,7,7,1,8,9,7,0,0,0,0,0,42,21,63
CONCEPCION,atencion odontologica,endodoncia,2016-11-01,0,0,2,3,1,1,1,5,0,0,0,0,0,0,4,9,13
COPACABANA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,4
CORIPATA,atencion odontologica,endodoncia,2016-11-01,2,2,0,1,0,0,4,5,0,0,0,0,0,0,6,8,14
CORO CORO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
COROICO,atencion odontologica,endodoncia,2016-11-01,1,5,4,4,1,3,1,13,0,2,0,0,0,0,7,27,34
COTAGAITA,atencion odontologica,endodoncia,2016-11-01,13,15,13,23,19,21,39,65,5,8,0,0,0,0,89,132,221
COTOCA,atencion odontologica,endodoncia,2016-11-01,1,1,0,0,0,0,1,5,0,0,0,0,0,0,2,6,8
CUATRO CAÑADAS,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,9,10
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
CUEVO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,2,0,1,2,0,0,0,0,0,0,3,2,5
CULPINA,atencion odontologica,endodoncia,2016-11-01,4,2,1,2,0,2,2,1,1,1,0,0,0,0,8,8,16
CURVA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
DESAGUADERO,atencion odontologica,endodoncia,2016-11-01,2,0,0,1,1,4,3,4,0,0,0,0,0,0,6,9,15
EL ALTO,atencion odontologica,endodoncia,2016-11-01,186,142,157,174,64,117,97,161,58,26,0,0,0,0,562,620,1182
EL CHORO,atencion odontologica,endodoncia,2016-11-01,1,0,3,0,0,1,0,0,1,0,0,0,0,0,5,1,6
EL PUENTE(STC),atencion odontologica,endodoncia,2016-11-01,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,5,6
EL PUENTE(TJA),atencion odontologica,endodoncia,2016-11-01,1,0,1,1,0,2,4,16,0,1,0,0,0,0,6,20,26
EL TORNO,atencion odontologica,endodoncia,2016-11-01,2,6,3,4,6,10,17,18,1,1,0,0,0,0,29,39,68
EL VILLAR,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,1,7
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2016-11-01,0,0,6,2,1,7,6,9,1,1,0,0,0,0,14,19,33
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2016-11-01,6,6,4,9,7,6,4,10,0,0,0,0,0,0,21,31,52
ESCARA,atencion odontologica,endodoncia,2016-11-01,1,2,0,0,0,0,0,1,6,1,0,0,0,0,7,4,11
ESCOMA,atencion odontologica,endodoncia,2016-11-01,4,6,4,4,0,1,0,1,0,0,0,0,0,0,8,12,20
ESMERALDA,atencion odontologica,endodoncia,2016-11-01,3,0,0,0,0,0,0,0,1,2,0,0,0,0,4,2,6
EUCALIPTUS,atencion odontologica,endodoncia,2016-11-01,2,5,5,4,0,0,0,2,0,0,0,0,0,0,7,11,18
EUREKA (SANTOS MERCADO),atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3
FERNANDEZ ALONSO,atencion odontologica,endodoncia,2016-11-01,1,1,0,0,2,2,0,5,0,0,0,0,0,0,3,8,11
GENERAL SAAVEDRA,atencion odontologica,endodoncia,2016-11-01,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2016-11-01,2,3,0,0,0,1,1,5,0,0,0,0,0,0,3,9,12
GUANAY,atencion odontologica,endodoncia,2016-11-01,0,0,1,2,3,2,8,7,2,1,0,0,0,0,14,12,26
GUAQUI,atencion odontologica,endodoncia,2016-11-01,1,0,3,2,2,1,2,7,2,3,0,0,0,0,10,13,23
GUAYARAMERIN,atencion odontologica,endodoncia,2016-11-01,8,1,1,1,2,7,5,20,0,0,0,0,0,0,16,29,45
GUTIERREZ,atencion odontologica,endodoncia,2016-11-01,0,0,0,1,2,3,1,5,0,1,0,0,0,0,3,10,13
HUACARETA,atencion odontologica,endodoncia,2016-11-01,7,0,0,3,0,0,1,1,0,0,0,0,0,0,8,4,12
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,4,6
HUACHACALLA,atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUANUNI,atencion odontologica,endodoncia,2016-11-01,12,19,13,6,6,11,16,24,7,4,0,0,0,0,54,64,118
HUARACAJE,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
HUARINA,atencion odontologica,endodoncia,2016-11-01,3,0,0,0,1,4,1,5,2,12,0,0,0,0,7,21,28
HUATAJATA,atencion odontologica,endodoncia,2016-11-01,2,5,0,1,1,1,1,6,0,0,0,0,0,0,4,13,17
HUAYLLAMARCA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,1,4,0,2,0,5,0,0,0,0,1,11,12
HUMANATA,atencion odontologica,endodoncia,2016-11-01,2,1,0,0,0,0,0,1,4,2,0,0,0,0,6,4,10
ICLA,atencion odontologica,endodoncia,2016-11-01,0,0,6,5,3,2,3,4,0,0,0,0,0,0,12,11,23
INCAHUASI,atencion odontologica,endodoncia,2016-11-01,0,1,4,0,0,4,0,6,0,0,0,0,0,0,4,11,15
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2016-11-01,1,1,0,0,0,0,1,2,0,0,0,0,0,0,2,3,5
IXIAMAS,atencion odontologica,endodoncia,2016-11-01,0,1,1,0,0,2,1,4,0,0,0,0,0,0,2,7,9
JESUS DE MACHACA,atencion odontologica,endodoncia,2016-11-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
LA ASUNTA,atencion odontologica,endodoncia,2016-11-01,12,2,3,6,6,8,6,35,1,0,0,0,0,0,28,51,79
LA GUARDIA,atencion odontologica,endodoncia,2016-11-01,7,15,1,0,0,0,0,12,3,0,0,0,0,0,11,27,38
LA PAZ,atencion odontologica,endodoncia,2016-11-01,148,132,156,124,102,120,374,581,106,99,0,0,0,0,886,1056,1942
LAGUNILLAS,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,2,1,4,0,0,0,0,0,0,1,6,7
LAJA,atencion odontologica,endodoncia,2016-11-01,0,3,0,2,0,5,5,9,0,5,0,0,0,0,5,24,29
LAS CARRERAS,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,1,2,3,8,0,1,0,0,0,0,4,11,15
LLALLAGUA,atencion odontologica,endodoncia,2016-11-01,18,9,6,8,0,9,11,27,3,4,0,0,0,0,38,57,95
LLICA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LURIBAY,atencion odontologica,endodoncia,2016-11-01,0,2,1,1,1,1,0,4,1,1,0,0,0,0,3,9,12
MACHACAMARCA,atencion odontologica,endodoncia,2016-11-01,0,0,11,3,1,2,19,31,0,2,0,0,0,0,31,38,69
MACHARETI,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
MAGDALENA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,3,0,1,3,0,0,0,0,0,0,4,3,7
MAIRANA,atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,2,0,1,5,0,0,0,0,0,6,3,9
MAPIRI,atencion odontologica,endodoncia,2016-11-01,4,9,4,1,1,1,10,19,0,0,0,0,0,0,19,30,49
MECAPACA,atencion odontologica,endodoncia,2016-11-01,0,2,1,1,0,0,0,1,0,1,0,0,0,0,1,5,6
MINEROS,atencion odontologica,endodoncia,2016-11-01,1,2,0,0,0,4,0,5,0,0,0,0,0,0,1,11,12
MIZQUE,atencion odontologica,endodoncia,2016-11-01,9,7,2,0,0,1,0,6,0,0,0,0,0,0,11,14,25
MOCOMOCO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,3,0,2,1,0,0,0,0,0,1,5,6
MOJOCOYA,atencion odontologica,endodoncia,2016-11-01,2,0,1,1,2,1,5,14,0,0,0,0,0,0,10,16,26
MONTEAGUDO,atencion odontologica,endodoncia,2016-11-01,7,19,12,0,1,3,4,15,2,0,0,0,0,0,26,37,63
MONTERO,atencion odontologica,endodoncia,2016-11-01,1,1,1,2,0,2,2,11,2,1,0,0,0,0,6,17,23
MORO MORO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MOROCHATA,atencion odontologica,endodoncia,2016-11-01,1,4,1,2,0,5,4,11,13,0,0,0,0,0,19,22,41
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,endodoncia,2016-11-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
OCURI,atencion odontologica,endodoncia,2016-11-01,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3
OKINAWA,atencion odontologica,endodoncia,2016-11-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
ORURO,atencion odontologica,endodoncia,2016-11-01,121,146,82,83,33,61,145,235,50,17,0,0,0,0,431,542,973
PADCAYA,atencion odontologica,endodoncia,2016-11-01,0,0,3,1,1,3,3,7,0,1,0,0,0,0,7,12,19
PADILLA,atencion odontologica,endodoncia,2016-11-01,1,2,0,0,4,3,2,18,3,0,0,0,0,0,10,23,33
PAILON,atencion odontologica,endodoncia,2016-11-01,1,0,1,1,0,0,0,5,0,0,0,0,0,0,2,6,8
PALCA,atencion odontologica,endodoncia,2016-11-01,10,7,0,3,0,2,0,15,0,0,0,0,0,0,10,27,37
PALOS BLANCOS,atencion odontologica,endodoncia,2016-11-01,7,8,6,3,3,4,6,19,5,4,0,0,0,0,27,38,65
PAMPA AULLAGAS,atencion odontologica,endodoncia,2016-11-01,0,0,1,1,0,1,0,2,0,1,0,0,0,0,1,5,6
PAMPA GRANDE,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
PAPEL PAMPA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
PASORAPA,atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,4,5
PATACAMAYA,atencion odontologica,endodoncia,2016-11-01,20,17,1,0,3,1,3,15,1,0,0,0,0,0,28,33,61
PAZÑA,atencion odontologica,endodoncia,2016-11-01,3,2,3,1,0,2,0,3,0,0,0,0,0,0,6,8,14
PELECHUCO,atencion odontologica,endodoncia,2016-11-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
POCOATA,atencion odontologica,endodoncia,2016-11-01,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
POCONA,atencion odontologica,endodoncia,2016-11-01,4,1,0,2,4,3,2,5,0,0,0,0,0,0,10,11,21
POJO (CBBA),atencion odontologica,endodoncia,2016-11-01,0,0,3,7,1,2,5,10,0,0,0,0,0,0,9,19,28
POOPO,atencion odontologica,endodoncia,2016-11-01,5,1,2,3,1,1,8,13,6,3,0,0,0,0,22,21,43
PORCO,atencion odontologica,endodoncia,2016-11-01,0,2,0,0,0,0,3,4,0,0,0,0,0,0,3,6,9
POROMA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
PORVENIR,atencion odontologica,endodoncia,2016-11-01,0,1,0,0,0,4,1,6,0,0,0,0,0,0,1,11,12
POSTRER VALLE,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,atencion odontologica,endodoncia,2016-11-01,68,87,45,55,55,87,97,143,22,29,0,0,0,0,287,401,688
PRESTO,atencion odontologica,endodoncia,2016-11-01,0,0,7,6,5,9,1,13,0,1,0,0,0,0,13,29,42
PUCARA,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUCARANI,atencion odontologica,endodoncia,2016-11-01,5,5,3,2,0,2,2,2,0,0,0,0,0,0,10,11,21
PUERTO ACOSTA,atencion odontologica,endodoncia,2016-11-01,3,10,0,0,0,0,2,6,2,3,0,0,0,0,7,19,26
PUERTO CARABUCO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,4,3,2,0,0,0,0,0,6,3,9
PUERTO GONZALO MORENO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PUERTO PEREZ,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,3
PUERTO QUIJARRO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10
PUERTO RICO,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,1,1,4,2,0,0,0,0,0,0,5,3,8
PUERTO SUAREZ,atencion odontologica,endodoncia,2016-11-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
PUERTO VILLARROEL,atencion odontologica,endodoncia,2016-11-01,58,21,0,6,6,9,6,26,1,0,0,0,0,0,71,62,133
PUNA,atencion odontologica,endodoncia,2016-11-01,0,0,0,1,1,1,2,7,0,1,0,0,0,0,3,10,13
PUNATA,atencion odontologica,endodoncia,2016-11-01,6,9,5,18,0,4,15,13,9,12,0,0,0,0,35,56,91
QUIABAYA,atencion odontologica,endodoncia,2016-11-01,1,10,0,1,0,4,0,2,0,0,0,0,0,0,1,17,18
