,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
YOTALA,atencion odontologica,primera consulta,2016-10-01,10,17,17,18,11,25,9,32,2,2,0,15,0,17,49,126,175
YUNCHARA,atencion odontologica,primera consulta,2016-10-01,18,15,16,12,8,13,20,39,15,15,0,5,0,1,77,100,177
ZUDAÑEZ,atencion odontologica,primera consulta,2016-10-01,2,1,14,7,11,8,18,29,0,0,0,12,0,0,45,57,102
ACACIO,atencion odontologica,primera consulta,2016-11-01,1,1,1,3,0,4,4,4,1,4,0,0,0,0,7,16,23
ACHACACHI,atencion odontologica,primera consulta,2016-11-01,31,33,140,122,7,6,16,34,24,19,0,8,0,9,218,231,449
ACHOCALLA,atencion odontologica,primera consulta,2016-11-01,32,17,2,5,1,3,14,25,8,18,0,21,0,4,57,93,150
AIQUILE,atencion odontologica,primera consulta,2016-11-01,23,26,6,5,2,4,8,23,12,23,0,9,0,5,51,95,146
ALALAY,atencion odontologica,primera consulta,2016-11-01,2,1,0,1,1,2,0,2,0,0,0,0,0,0,3,6,9
ALCALA,atencion odontologica,primera consulta,2016-11-01,2,0,0,0,5,6,8,9,1,1,0,4,0,3,16,23,39
ALTO BENI,atencion odontologica,primera consulta,2016-11-01,4,4,3,4,0,0,1,5,2,2,0,0,0,0,10,15,25
ANCORAIMES,atencion odontologica,primera consulta,2016-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ANDAMARCA,atencion odontologica,primera consulta,2016-11-01,3,2,3,3,0,1,6,7,4,4,0,4,0,1,16,22,38
ANTEQUERA,atencion odontologica,primera consulta,2016-11-01,3,1,2,1,0,0,2,0,0,1,0,6,0,0,7,9,16
ANZALDO,atencion odontologica,primera consulta,2016-11-01,11,5,2,2,1,1,3,7,1,5,0,0,0,0,18,20,38
APOLO,atencion odontologica,primera consulta,2016-11-01,34,34,14,19,7,8,8,37,9,4,0,9,0,10,72,121,193
ARAMPAMPA,atencion odontologica,primera consulta,2016-11-01,2,2,1,0,2,3,3,9,2,1,0,4,0,2,10,21,31
ARANI,atencion odontologica,primera consulta,2016-11-01,1,4,1,1,1,4,2,5,1,2,0,3,0,3,6,22,28
ARBIETO,atencion odontologica,primera consulta,2016-11-01,19,17,9,9,3,6,2,44,17,11,0,13,0,10,50,110,160
ARQUE,atencion odontologica,primera consulta,2016-11-01,12,3,9,12,8,11,19,41,3,7,0,14,0,7,51,95,146
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2016-11-01,17,26,4,9,2,10,4,25,1,4,0,54,0,9,28,137,165
ATOCHA,atencion odontologica,primera consulta,2016-11-01,4,12,34,37,19,14,46,41,6,9,0,4,0,3,109,120,229
AUCAPATA,atencion odontologica,primera consulta,2016-11-01,0,1,1,1,2,1,6,5,1,0,0,0,0,0,10,8,18
AYATA,atencion odontologica,primera consulta,2016-11-01,4,2,2,1,4,3,7,6,2,1,0,1,0,1,19,15,34
AYO AYO,atencion odontologica,primera consulta,2016-11-01,2,2,2,1,2,3,8,9,3,1,0,1,0,1,17,18,35
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2016-11-01,11,13,10,12,11,10,29,61,15,19,0,8,0,14,76,137,213
AZURDUY,atencion odontologica,primera consulta,2016-11-01,4,0,1,5,3,9,7,18,3,2,0,8,0,2,18,44,62
BATALLAS,atencion odontologica,primera consulta,2016-11-01,19,22,9,7,5,17,14,24,24,18,0,4,0,7,71,99,170
BAURES,atencion odontologica,primera consulta,2016-11-01,0,0,10,10,2,2,11,15,1,0,0,0,0,0,24,27,51
BELEN DE URMIRI,atencion odontologica,primera consulta,2016-11-01,4,3,0,0,1,1,3,1,0,0,0,0,0,0,8,5,13
BELLA FLOR,atencion odontologica,primera consulta,2016-11-01,0,1,1,2,0,1,1,1,3,1,0,7,0,0,5,13,18
BERMEJO,atencion odontologica,primera consulta,2016-11-01,68,75,80,69,67,87,133,220,51,40,0,70,0,32,399,593,992
BETANZOS,atencion odontologica,primera consulta,2016-11-01,17,18,12,10,9,20,18,41,21,13,0,14,0,6,77,122,199
BOLIVAR,atencion odontologica,primera consulta,2016-11-01,2,1,53,51,2,3,3,6,1,2,0,0,0,1,61,64,125
BOLPEBRA,atencion odontologica,primera consulta,2016-11-01,8,13,18,13,28,28,8,8,3,0,0,0,0,0,65,62,127
BOYUIBE,atencion odontologica,primera consulta,2016-11-01,0,0,1,3,2,3,2,4,1,0,0,0,0,0,6,10,16
BUENA VISTA,atencion odontologica,primera consulta,2016-11-01,21,28,6,10,8,5,8,18,2,3,0,6,0,4,45,74,119
CABEZAS,atencion odontologica,primera consulta,2016-11-01,46,55,21,18,12,19,27,63,22,22,0,36,0,7,128,220,348
CAIROMA,atencion odontologica,primera consulta,2016-11-01,11,13,10,5,7,6,24,29,5,0,0,4,0,3,57,60,117
"CAIZA ""D""",atencion odontologica,primera consulta,2016-11-01,4,7,9,4,5,11,14,38,5,12,0,12,0,5,37,89,126
CAJUATA,atencion odontologica,primera consulta,2016-11-01,7,2,5,6,2,7,8,8,2,1,0,3,0,4,24,31,55
CALACOTO,atencion odontologica,primera consulta,2016-11-01,5,10,0,1,0,1,5,8,6,0,0,0,0,0,16,20,36
CALAMARCA,atencion odontologica,primera consulta,2016-11-01,6,10,29,30,6,17,12,31,7,7,0,9,0,6,60,110,170
CAMARGO,atencion odontologica,primera consulta,2016-11-01,5,6,18,29,2,10,6,25,2,3,0,13,0,1,33,87,120
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2016-11-01,2,6,4,4,1,0,5,10,1,1,0,5,0,0,13,26,39
CAMIRI,atencion odontologica,primera consulta,2016-11-01,101,79,144,128,74,89,21,39,25,28,0,62,0,8,365,433,798
CAPINOTA,atencion odontologica,primera consulta,2016-11-01,21,21,5,1,3,11,6,15,17,14,0,1,0,4,52,67,119
CAQUIAVIRI,atencion odontologica,primera consulta,2016-11-01,13,6,22,14,4,14,15,21,7,12,0,5,0,0,61,72,133
CARACOLLO,atencion odontologica,primera consulta,2016-11-01,11,13,28,24,7,18,8,34,10,18,0,16,0,3,64,126,190
CARANAVI,atencion odontologica,primera consulta,2016-11-01,102,86,72,70,15,35,34,112,45,28,0,40,0,89,268,460,728
CARAPARI,atencion odontologica,primera consulta,2016-11-01,12,18,34,28,14,22,39,49,3,2,0,2,0,0,102,121,223
CARIPUYO,atencion odontologica,primera consulta,2016-11-01,3,10,11,6,12,5,4,5,2,0,0,3,0,2,32,31,63
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2016-11-01,15,16,0,0,0,0,7,20,2,3,0,7,0,2,24,48,72
CATACORA,atencion odontologica,primera consulta,2016-11-01,0,0,0,1,1,1,1,3,0,0,0,0,0,0,2,5,7
CHACARILLA,atencion odontologica,primera consulta,2016-11-01,6,2,3,9,1,3,0,5,7,3,0,3,0,0,17,25,42
CHALLAPATA,atencion odontologica,primera consulta,2016-11-01,49,51,97,493,6,35,27,120,23,18,0,53,0,35,202,805,1007
CHAQUI,atencion odontologica,primera consulta,2016-11-01,18,10,6,5,3,6,8,30,14,17,0,9,0,8,49,85,134
CHARAGUA,atencion odontologica,primera consulta,2016-11-01,26,39,14,16,16,19,24,62,8,4,0,28,0,11,88,179,267
CHARAÑA,atencion odontologica,primera consulta,2016-11-01,4,3,1,1,0,0,3,2,1,0,0,0,0,1,9,7,16
CHAYANTA,atencion odontologica,primera consulta,2016-11-01,17,15,11,12,7,11,13,30,6,4,0,9,0,3,54,84,138
CHIMORE,atencion odontologica,primera consulta,2016-11-01,23,21,14,11,17,15,27,52,5,8,0,19,0,17,86,143,229
CHIPAYA,atencion odontologica,primera consulta,2016-11-01,0,0,0,0,2,0,1,2,1,1,0,1,0,1,4,5,9
CHOQUE COTA,atencion odontologica,primera consulta,2016-11-01,0,0,0,0,0,1,1,6,9,16,0,3,0,1,10,27,37
CHUA COCANI,atencion odontologica,primera consulta,2016-11-01,3,2,2,0,44,21,3,8,11,7,0,0,0,0,63,38,101
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2016-11-01,16,15,28,24,7,15,9,43,3,1,0,30,0,2,63,130,193
CHUMA,atencion odontologica,primera consulta,2016-11-01,12,9,6,11,10,18,23,22,14,12,0,4,0,4,65,80,145
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2016-11-01,15,16,6,3,2,14,3,42,3,8,0,15,0,22,29,120,149
CKOCHAS,atencion odontologica,primera consulta,2016-11-01,17,19,6,1,2,3,8,17,4,3,0,4,0,3,37,50,87
CLIZA,atencion odontologica,primera consulta,2016-11-01,19,7,3,8,2,6,9,35,8,13,0,7,0,9,41,85,126
COBIJA,atencion odontologica,primera consulta,2016-11-01,195,165,46,40,16,54,50,131,22,4,0,111,0,31,329,536,865
COCAPATA,atencion odontologica,primera consulta,2016-11-01,21,13,5,7,4,11,16,29,9,18,0,23,0,15,55,116,171
COCHABAMBA,atencion odontologica,primera consulta,2016-11-01,254,293,126,155,92,169,338,565,114,132,0,152,0,90,924,1556,2480
COIPASA,atencion odontologica,primera consulta,2016-11-01,2,1,0,1,1,2,1,1,0,2,0,1,0,0,4,8,12
COLCAPIRHUA,atencion odontologica,primera consulta,2016-11-01,55,43,3,2,2,8,3,56,22,22,0,22,0,36,85,189,274
"COLCHA ""K""",atencion odontologica,primera consulta,2016-11-01,7,6,6,9,2,2,14,24,6,9,0,6,0,1,35,57,92
COLLANA,atencion odontologica,primera consulta,2016-11-01,6,12,0,1,1,2,6,11,4,2,0,1,0,0,17,29,46
COLOMI,atencion odontologica,primera consulta,2016-11-01,26,25,2,1,0,4,1,12,6,8,0,13,0,6,35,69,104
COLPA BELGICA,atencion odontologica,primera consulta,2016-11-01,8,7,0,0,0,1,0,11,0,1,0,5,0,7,8,32,40
COLQUECHACA,atencion odontologica,primera consulta,2016-11-01,46,27,18,12,9,22,25,60,45,62,0,17,0,14,143,214,357
COLQUENCHA,atencion odontologica,primera consulta,2016-11-01,7,4,5,3,3,10,10,31,2,7,0,13,0,0,27,68,95
COLQUIRI,atencion odontologica,primera consulta,2016-11-01,23,13,9,9,5,12,27,46,10,9,0,13,0,5,74,107,181
COMANCHE,atencion odontologica,primera consulta,2016-11-01,8,7,0,1,1,2,4,7,13,6,0,0,0,0,26,23,49
COMARAPA,atencion odontologica,primera consulta,2016-11-01,27,12,11,9,6,4,20,60,8,8,0,1,0,5,72,99,171
CONCEPCION,atencion odontologica,primera consulta,2016-11-01,19,25,13,11,5,12,9,41,8,9,0,11,0,3,54,112,166
COPACABANA,atencion odontologica,primera consulta,2016-11-01,3,1,4,2,2,1,5,6,3,1,0,0,0,0,17,11,28
CORIPATA,atencion odontologica,primera consulta,2016-11-01,27,13,9,12,2,5,18,23,2,7,0,6,0,0,58,66,124
CORO CORO,atencion odontologica,primera consulta,2016-11-01,1,1,9,9,2,5,5,8,4,3,0,0,0,3,21,29,50
COROICO,atencion odontologica,primera consulta,2016-11-01,4,2,1,3,1,2,6,7,0,1,0,1,0,0,12,16,28
CORQUE,atencion odontologica,primera consulta,2016-11-01,3,1,2,1,1,0,1,5,3,2,0,4,0,0,10,13,23
COTAGAITA,atencion odontologica,primera consulta,2016-11-01,19,10,109,113,9,18,38,54,5,9,0,1,0,3,180,208,388
COTOCA,atencion odontologica,primera consulta,2016-11-01,114,100,27,13,1,11,4,93,23,20,0,96,0,30,169,363,532
CRUZ DE MACHACAMARCA,atencion odontologica,primera consulta,2016-11-01,2,3,0,0,0,0,0,0,12,9,0,0,0,0,14,12,26
CUATRO CAÑADAS,atencion odontologica,primera consulta,2016-11-01,32,29,9,11,2,10,14,46,9,5,0,19,0,12,66,132,198
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2016-11-01,2,1,5,4,1,3,2,15,1,3,0,1,0,0,11,27,38
CUEVO,atencion odontologica,primera consulta,2016-11-01,6,11,4,5,3,3,8,13,0,0,0,4,0,0,21,36,57
CULPINA,atencion odontologica,primera consulta,2016-11-01,12,8,9,9,3,7,11,25,3,4,0,9,0,1,38,63,101
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2016-11-01,3,2,0,0,0,1,1,2,0,0,0,1,0,2,4,8,12
CURVA,atencion odontologica,primera consulta,2016-11-01,8,7,0,1,1,2,1,10,2,6,0,2,0,4,12,32,44
DESAGUADERO,atencion odontologica,primera consulta,2016-11-01,9,13,17,12,3,3,1,7,1,2,0,0,0,0,31,37,68
EL ALTO,atencion odontologica,primera consulta,2016-11-01,564,560,2674,2774,969,1075,268,680,111,101,0,346,0,147,4586,5683,10269
EL CHORO,atencion odontologica,primera consulta,2016-11-01,7,2,2,4,2,1,4,10,8,4,0,2,0,0,23,23,46
EL PUENTE(STC),atencion odontologica,primera consulta,2016-11-01,6,17,2,3,3,5,12,35,6,7,0,15,0,5,29,87,116
EL PUENTE(TJA),atencion odontologica,primera consulta,2016-11-01,4,12,41,40,16,18,38,68,11,14,0,2,0,0,110,154,264
EL TORNO,atencion odontologica,primera consulta,2016-11-01,176,172,183,214,25,49,63,159,40,22,0,49,0,32,487,697,1184
EL VILLAR,atencion odontologica,primera consulta,2016-11-01,3,0,0,1,2,0,5,6,2,1,0,2,0,4,12,14,26
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2016-11-01,20,12,37,30,9,13,30,58,5,2,0,10,0,3,101,128,229
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2016-11-01,20,16,5,7,5,17,12,19,2,1,0,6,0,9,44,75,119
ESCARA,atencion odontologica,primera consulta,2016-11-01,1,0,0,1,0,1,1,4,1,0,0,0,0,0,3,6,9
ESCOMA,atencion odontologica,primera consulta,2016-11-01,15,17,12,23,4,9,6,19,9,12,0,2,0,2,46,84,130
EUCALIPTUS,atencion odontologica,primera consulta,2016-11-01,3,7,2,4,3,5,6,13,2,3,0,2,0,0,16,34,50
EUREKA (SANTOS MERCADO),atencion odontologica,primera consulta,2016-11-01,12,8,2,5,0,0,2,1,2,2,0,2,0,0,18,18,36
EXALTACION,atencion odontologica,primera consulta,2016-11-01,0,7,0,2,1,5,0,11,6,0,0,0,0,0,7,25,32
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2016-11-01,14,13,26,36,9,9,7,19,4,4,0,12,0,6,60,99,159
FILADELFIA,atencion odontologica,primera consulta,2016-11-01,3,13,37,24,1,0,16,6,2,0,0,3,0,1,59,47,106
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2016-11-01,17,10,9,7,2,8,4,17,1,3,0,10,0,6,33,61,94
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2016-11-01,6,9,7,6,3,4,8,15,6,11,0,1,0,4,30,50,80
GUANAY,atencion odontologica,primera consulta,2016-11-01,10,2,7,6,5,11,10,14,6,6,0,7,0,6,38,52,90
GUAQUI,atencion odontologica,primera consulta,2016-11-01,6,9,4,6,5,3,12,19,7,7,0,5,0,0,34,49,83
GUAYARAMERIN,atencion odontologica,primera consulta,2016-11-01,33,26,21,26,11,40,20,105,7,10,0,55,0,7,92,269,361
GUTIERREZ,atencion odontologica,primera consulta,2016-11-01,6,7,1,5,2,2,6,8,2,2,0,13,0,13,17,50,67
HUACARETA,atencion odontologica,primera consulta,2016-11-01,41,40,6,4,2,7,12,33,2,3,0,20,0,4,63,111,174
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2016-11-01,3,0,13,3,0,4,10,11,0,0,0,4,0,6,26,28,54
HUACHACALLA,atencion odontologica,primera consulta,2016-11-01,2,3,1,0,1,2,1,8,1,1,0,5,0,1,6,20,26
HUANUNI,atencion odontologica,primera consulta,2016-11-01,30,41,45,25,9,21,48,42,9,4,0,14,0,2,141,149,290
HUARACAJE,atencion odontologica,primera consulta,2016-11-01,3,2,3,4,2,3,2,3,1,2,0,1,0,1,11,16,27
HUARINA,atencion odontologica,primera consulta,2016-11-01,8,9,3,4,1,7,4,13,7,8,0,0,0,0,23,41,64
HUATAJATA,atencion odontologica,primera consulta,2016-11-01,0,0,4,1,3,3,0,4,0,3,0,0,0,0,7,11,18
HUAYLLAMARCA,atencion odontologica,primera consulta,2016-11-01,3,4,0,0,7,9,1,2,3,0,0,0,0,0,14,15,29
HUMANATA,atencion odontologica,primera consulta,2016-11-01,13,6,0,3,3,3,5,10,34,27,0,6,0,8,55,63,118
ICHOCA,atencion odontologica,primera consulta,2016-11-01,0,1,2,2,1,2,4,4,4,0,0,1,0,0,11,10,21
ICLA,atencion odontologica,primera consulta,2016-11-01,4,2,9,6,3,6,5,18,5,3,0,2,0,0,26,37,63
INCAHUASI,atencion odontologica,primera consulta,2016-11-01,30,36,4,3,0,11,12,23,1,1,0,13,0,4,47,91,138
INGAVI (HUMAITA),atencion odontologica,primera consulta,2016-11-01,13,13,8,16,1,0,3,2,0,0,0,5,0,2,25,38,63
INQUISIVI,atencion odontologica,primera consulta,2016-11-01,5,16,26,28,18,24,37,47,9,5,0,3,0,11,95,134,229
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2016-11-01,13,11,7,7,5,9,10,17,6,4,0,3,0,4,41,55,96
IXIAMAS,atencion odontologica,primera consulta,2016-11-01,4,7,4,7,3,2,4,15,4,1,0,4,0,2,19,38,57
JESUS DE MACHACA,atencion odontologica,primera consulta,2016-11-01,8,5,10,5,4,5,5,14,6,7,0,2,0,1,33,39,72
LA ASUNTA,atencion odontologica,primera consulta,2016-11-01,85,79,54,61,8,34,60,138,4,6,0,31,0,21,211,370,581
LA GUARDIA,atencion odontologica,primera consulta,2016-11-01,104,108,7,9,3,12,7,53,22,13,0,37,0,32,143,264,407
LA PAZ,atencion odontologica,primera consulta,2016-11-01,884,860,438,523,229,353,885,1214,250,304,0,374,0,127,2686,3755,6441
LA RIVERA,atencion odontologica,primera consulta,2016-11-01,2,2,3,2,3,0,6,6,5,4,0,0,0,0,19,14,33
LAGUNILLAS,atencion odontologica,primera consulta,2016-11-01,0,0,3,3,0,2,13,14,1,0,0,1,0,0,17,20,37
LAJA,atencion odontologica,primera consulta,2016-11-01,8,12,7,13,7,24,26,42,10,8,0,10,0,6,58,115,173
LAS CARRERAS,atencion odontologica,primera consulta,2016-11-01,0,0,1,0,1,4,9,23,3,2,0,7,0,0,14,36,50
LLALLAGUA,atencion odontologica,primera consulta,2016-11-01,99,106,19,16,8,35,21,78,13,6,0,29,0,40,160,310,470
LLICA,atencion odontologica,primera consulta,2016-11-01,5,5,7,0,1,4,8,15,8,7,0,8,0,1,29,40,69
LORETO,atencion odontologica,primera consulta,2016-11-01,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,2,4
LURIBAY,atencion odontologica,primera consulta,2016-11-01,5,0,4,3,4,1,7,15,3,0,0,1,0,4,23,24,47
MACHACAMARCA,atencion odontologica,primera consulta,2016-11-01,8,10,57,34,20,27,6,13,9,4,0,8,0,1,100,97,197
MACHARETI,atencion odontologica,primera consulta,2016-11-01,9,7,5,10,8,10,9,25,1,1,0,12,0,2,32,67,99
MAGDALENA,atencion odontologica,primera consulta,2016-11-01,23,24,9,7,2,4,4,20,0,0,0,3,0,3,38,61,99
MAIRANA,atencion odontologica,primera consulta,2016-11-01,23,13,23,21,3,9,26,58,6,13,0,3,0,11,81,128,209
MALLA,atencion odontologica,primera consulta,2016-11-01,2,1,0,0,2,4,5,7,4,2,0,2,0,2,13,18,31
MAPIRI,atencion odontologica,primera consulta,2016-11-01,16,24,23,13,7,15,24,68,4,3,0,7,0,9,74,139,213
MECAPACA,atencion odontologica,primera consulta,2016-11-01,2,2,3,1,2,0,3,1,2,5,0,0,0,0,12,9,21
MINEROS,atencion odontologica,primera consulta,2016-11-01,27,31,6,7,0,4,5,9,9,4,0,9,0,10,47,74,121
MIZQUE,atencion odontologica,primera consulta,2016-11-01,19,15,5,12,5,9,21,32,8,10,0,9,0,5,58,92,150
MOCOMOCO,atencion odontologica,primera consulta,2016-11-01,6,7,8,11,12,21,21,28,8,6,0,17,0,5,55,95,150
MOJINETE,atencion odontologica,primera consulta,2016-11-01,0,1,1,0,1,2,2,2,1,1,0,0,0,0,5,6,11
MOJOCOYA,atencion odontologica,primera consulta,2016-11-01,6,3,17,14,6,11,20,24,3,4,0,1,0,3,52,60,112
MONTEAGUDO,atencion odontologica,primera consulta,2016-11-01,39,41,7,12,7,5,37,71,7,1,0,32,0,1,97,163,260
MONTERO,atencion odontologica,primera consulta,2016-11-01,141,122,56,56,21,40,68,209,23,39,0,74,0,13,309,553,862
MORO MORO,atencion odontologica,primera consulta,2016-11-01,0,4,2,1,1,1,3,6,1,2,0,1,0,1,7,16,23
MOROCHATA,atencion odontologica,primera consulta,2016-11-01,5,9,4,4,3,8,14,36,10,11,0,11,0,6,36,85,121
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,primera consulta,2016-11-01,12,6,14,14,2,0,6,8,1,0,0,1,0,1,35,30,65
NAZACARA DE PACAJES,atencion odontologica,primera consulta,2016-11-01,0,0,1,0,0,1,1,0,1,1,0,0,0,0,3,2,5
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,primera consulta,2016-11-01,10,5,1,4,1,2,2,4,1,2,0,5,0,1,15,23,38
OCURI,atencion odontologica,primera consulta,2016-11-01,13,6,6,7,4,9,18,26,7,7,0,3,0,7,48,65,113
OKINAWA,atencion odontologica,primera consulta,2016-11-01,8,3,0,7,3,8,1,23,7,8,0,5,0,6,19,60,79
OMEREQUE,atencion odontologica,primera consulta,2016-11-01,1,2,1,0,0,0,5,7,2,3,0,0,0,1,9,13,22
ORURO,atencion odontologica,primera consulta,2016-11-01,267,281,132,97,109,175,290,584,115,107,0,259,0,84,913,1587,2500
PADCAYA,atencion odontologica,primera consulta,2016-11-01,40,35,61,77,46,38,37,64,11,12,0,2,0,0,195,228,423
PADILLA,atencion odontologica,primera consulta,2016-11-01,8,13,14,12,2,4,37,39,3,3,0,10,0,2,64,83,147
PAILON,atencion odontologica,primera consulta,2016-11-01,71,81,53,60,6,7,1,20,2,5,0,11,0,12,133,196,329
PALCA,atencion odontologica,primera consulta,2016-11-01,15,17,8,3,3,19,15,31,14,7,0,16,0,13,55,106,161
PALOS BLANCOS,atencion odontologica,primera consulta,2016-11-01,46,51,25,32,9,24,29,80,22,20,0,20,0,23,131,250,381
PAMPA AULLAGAS,atencion odontologica,primera consulta,2016-11-01,1,0,0,0,0,1,1,2,0,2,0,0,0,1,2,6,8
PAMPA GRANDE,atencion odontologica,primera consulta,2016-11-01,24,26,1,4,0,1,1,9,1,6,0,5,0,3,27,54,81
PAPEL PAMPA,atencion odontologica,primera consulta,2016-11-01,3,2,3,3,3,3,4,12,3,5,0,1,0,2,16,28,44
PASORAPA,atencion odontologica,primera consulta,2016-11-01,5,1,2,1,3,3,16,14,3,6,0,1,0,1,29,27,56
PATACAMAYA,atencion odontologica,primera consulta,2016-11-01,43,51,1,7,2,4,12,25,5,8,0,8,0,8,63,111,174
PAZÑA,atencion odontologica,primera consulta,2016-11-01,5,9,8,13,5,8,5,15,4,2,0,7,0,0,27,54,81
PELECHUCO,atencion odontologica,primera consulta,2016-11-01,22,18,2,1,0,4,4,10,1,1,0,8,0,3,29,45,74
POCOATA,atencion odontologica,primera consulta,2016-11-01,59,65,18,13,9,15,34,37,44,39,0,19,0,15,164,203,367
POCONA,atencion odontologica,primera consulta,2016-11-01,10,13,172,153,4,13,8,30,1,6,0,0,0,6,195,221,416
POJO (CBBA),atencion odontologica,primera consulta,2016-11-01,7,10,209,186,3,11,9,24,4,6,0,6,0,7,232,250,482
POOPO,atencion odontologica,primera consulta,2016-11-01,4,8,15,18,3,4,9,18,5,4,0,9,0,1,36,62,98
PORCO,atencion odontologica,primera consulta,2016-11-01,17,9,4,4,1,3,9,20,2,1,0,11,0,7,33,55,88
POROMA,atencion odontologica,primera consulta,2016-11-01,7,6,172,161,16,22,17,36,0,1,0,9,0,8,212,243,455
PORONGO,atencion odontologica,primera consulta,2016-11-01,22,21,44,30,1,1,0,5,20,21,0,2,0,2,87,82,169
PORTACHUELO,atencion odontologica,primera consulta,2016-11-01,3,5,1,7,3,8,4,10,1,0,0,0,0,0,12,30,42
PORVENIR,atencion odontologica,primera consulta,2016-11-01,23,18,11,11,3,6,11,16,7,0,0,6,0,2,55,59,114
POSTRER VALLE,atencion odontologica,primera consulta,2016-11-01,0,1,0,0,0,3,2,4,0,1,0,1,0,1,2,11,13
POTOSI,atencion odontologica,primera consulta,2016-11-01,170,172,109,121,88,150,210,436,32,37,0,149,0,88,609,1153,1762
PRESTO,atencion odontologica,primera consulta,2016-11-01,0,1,9,10,6,15,8,21,3,3,0,10,0,0,26,60,86
PUCARA,atencion odontologica,primera consulta,2016-11-01,7,5,3,2,2,3,4,5,6,3,0,1,0,0,22,19,41
PUCARANI,atencion odontologica,primera consulta,2016-11-01,35,26,12,14,15,20,28,59,14,21,0,5,0,13,104,158,262
PUERTO ACOSTA,atencion odontologica,primera consulta,2016-11-01,13,22,3,10,9,12,20,41,44,26,0,8,0,4,89,123,212
PUERTO CARABUCO,atencion odontologica,primera consulta,2016-11-01,4,3,6,4,1,10,10,30,10,11,0,3,0,15,31,76,107
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2016-11-01,27,36,28,21,7,3,11,11,6,1,0,9,0,8,79,89,168
PUERTO PEREZ,atencion odontologica,primera consulta,2016-11-01,4,3,1,1,2,1,3,5,1,3,0,0,0,2,11,15,26
PUERTO QUIJARRO,atencion odontologica,primera consulta,2016-11-01,6,7,139,112,0,36,8,21,1,1,0,8,0,2,154,187,341
PUERTO RICO,atencion odontologica,primera consulta,2016-11-01,5,9,7,8,27,9,19,19,5,4,0,4,0,7,63,60,123
PUERTO SUAREZ,atencion odontologica,primera consulta,2016-11-01,10,10,1,1,0,2,1,12,0,0,0,6,0,3,12,34,46
PUERTO VILLARROEL,atencion odontologica,primera consulta,2016-11-01,37,32,20,14,15,29,25,58,8,11,0,25,0,19,105,188,293
PUNA,atencion odontologica,primera consulta,2016-11-01,6,4,7,12,8,8,17,33,4,9,0,7,0,8,42,81,123
PUNATA,atencion odontologica,primera consulta,2016-11-01,20,21,11,16,8,10,8,46,12,15,0,16,0,23,59,147,206
QUIABAYA,atencion odontologica,primera consulta,2016-11-01,4,1,0,0,2,4,3,7,1,0,0,1,0,0,10,13,23
QUILLACOLLO,atencion odontologica,primera consulta,2016-11-01,151,158,47,47,42,51,59,105,15,14,0,29,0,57,314,461,775
QUIME,atencion odontologica,primera consulta,2016-11-01,19,9,6,5,2,8,5,21,20,10,0,13,0,0,52,66,118
QUIRUSILLAS,atencion odontologica,primera consulta,2016-11-01,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4
RAVELO,atencion odontologica,primera consulta,2016-11-01,24,27,3,2,5,5,17,31,51,40,0,7,0,5,100,117,217
REYES,atencion odontologica,primera consulta,2016-11-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
RIBERALTA,atencion odontologica,primera consulta,2016-11-01,73,75,49,43,38,68,59,177,26,23,0,78,0,19,245,483,728
