,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
POROMA,atencion odontologica,consulta nueva,2016-10-01,44,49,163,168,26,74,45,171,13,21,0,14,0,14,291,511,802
PORONGO,atencion odontologica,consulta nueva,2016-10-01,23,21,0,5,2,6,5,21,13,11,0,13,0,17,43,94,137
PORTACHUELO,atencion odontologica,consulta nueva,2016-10-01,9,5,23,12,14,17,5,69,8,6,0,0,0,0,59,109,168
PORVENIR,atencion odontologica,consulta nueva,2016-10-01,28,36,8,5,37,26,8,24,8,8,0,16,0,5,89,120,209
POSTRER VALLE,atencion odontologica,consulta nueva,2016-10-01,12,11,2,4,3,0,6,23,10,3,0,1,0,0,33,42,75
POTOSI,atencion odontologica,consulta nueva,2016-10-01,584,705,413,451,209,341,529,1231,91,105,0,286,0,184,1826,3303,5129
PRESTO,atencion odontologica,consulta nueva,2016-10-01,13,14,50,54,47,42,37,157,7,8,0,28,0,7,154,310,464
PUCARA,atencion odontologica,consulta nueva,2016-10-01,1,3,113,50,2,0,3,4,10,0,0,0,0,0,129,57,186
PUCARANI,atencion odontologica,consulta nueva,2016-10-01,91,69,42,52,31,45,51,143,44,63,0,42,0,29,259,443,702
PUERTO CARABUCO,atencion odontologica,consulta nueva,2016-10-01,8,8,10,14,19,32,40,28,9,26,0,2,0,6,86,116,202
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2016-10-01,58,49,101,91,21,23,24,64,19,9,0,35,0,6,223,277,500
PUERTO PEREZ,atencion odontologica,consulta nueva,2016-10-01,10,8,2,0,1,1,5,8,4,4,0,0,0,2,22,23,45
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2016-10-01,29,56,35,81,81,10,4,28,8,3,0,19,0,10,157,207,364
PUERTO RICO,atencion odontologica,consulta nueva,2016-10-01,76,35,38,36,14,13,20,28,15,2,0,17,0,15,163,146,309
PUERTO SUAREZ,atencion odontologica,consulta nueva,2016-10-01,19,24,12,9,0,2,7,53,21,12,0,22,0,15,59,137,196
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2016-10-01,235,177,49,51,12,51,59,320,39,45,0,79,0,193,394,916,1310
PUNA,atencion odontologica,consulta nueva,2016-10-01,41,29,18,25,25,46,56,169,21,40,0,22,0,33,161,364,525
PUNATA,atencion odontologica,consulta nueva,2016-10-01,77,123,87,125,43,42,57,165,29,66,0,29,0,37,293,587,880
QUIABAYA,atencion odontologica,consulta nueva,2016-10-01,35,42,6,9,9,13,24,59,2,8,0,3,0,12,76,146,222
QUILLACOLLO,atencion odontologica,consulta nueva,2016-10-01,786,829,172,146,93,190,179,651,182,126,0,160,0,340,1412,2442,3854
QUIME,atencion odontologica,consulta nueva,2016-10-01,136,114,21,23,13,27,40,70,34,37,0,20,0,20,244,311,555
QUIRUSILLAS,atencion odontologica,consulta nueva,2016-10-01,4,7,0,1,2,0,2,14,0,6,0,0,0,0,8,28,36
RAVELO,atencion odontologica,consulta nueva,2016-10-01,128,101,10,5,9,29,22,69,77,76,0,37,0,37,246,354,600
REYES,atencion odontologica,consulta nueva,2016-10-01,3,7,22,15,7,3,14,27,6,2,0,0,0,2,52,56,108
RIBERALTA,atencion odontologica,consulta nueva,2016-10-01,212,223,116,110,35,170,69,325,71,49,0,174,0,43,503,1094,1597
ROBORE,atencion odontologica,consulta nueva,2016-10-01,31,32,37,36,9,20,12,55,5,4,0,5,0,3,94,155,249
RURRENABAQUE,atencion odontologica,consulta nueva,2016-10-01,41,39,66,84,58,42,67,72,40,26,0,47,0,23,272,333,605
SABAYA,atencion odontologica,consulta nueva,2016-10-01,11,3,150,169,23,12,7,35,19,11,0,9,0,8,210,247,457
SACABA,atencion odontologica,consulta nueva,2016-10-01,381,494,1282,1669,415,618,152,611,129,99,0,173,0,195,2359,3859,6218
SACABAMBA,atencion odontologica,consulta nueva,2016-10-01,31,14,49,60,8,6,8,8,17,9,0,0,0,4,113,101,214
SACACA,atencion odontologica,consulta nueva,2016-10-01,43,29,13,15,7,22,24,87,10,23,0,20,0,6,97,202,299
SAIPINA,atencion odontologica,consulta nueva,2016-10-01,55,43,8,20,4,6,3,22,4,8,0,3,0,5,74,107,181
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2016-10-01,113,105,144,219,27,26,53,109,81,92,0,26,0,10,418,587,1005
SAMAIPATA,atencion odontologica,consulta nueva,2016-10-01,22,43,37,44,17,17,14,57,17,12,0,6,0,11,107,190,297
SAN AGUSTIN,atencion odontologica,consulta nueva,2016-10-01,0,1,2,4,0,0,4,5,3,4,0,0,0,0,9,14,23
SAN ANDRES,atencion odontologica,consulta nueva,2016-10-01,10,16,23,25,9,8,17,25,2,1,0,0,0,0,61,75,136
SAN ANDRES DE MACHACA,atencion odontologica,consulta nueva,2016-10-01,12,8,99,89,17,16,24,34,26,10,0,0,0,1,178,158,336
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta nueva,2016-10-01,0,1,5,2,2,4,2,3,1,0,0,0,0,0,10,10,20
SAN BENITO,atencion odontologica,consulta nueva,2016-10-01,92,161,19,18,6,14,7,94,63,122,0,33,0,34,187,476,663
SAN BORJA,atencion odontologica,consulta nueva,2016-10-01,43,60,16,26,5,12,11,58,34,24,0,98,0,35,109,313,422
SAN BUENA VENTURA,atencion odontologica,consulta nueva,2016-10-01,19,29,13,13,4,7,15,33,11,5,0,4,0,7,62,98,160
SAN CARLOS,atencion odontologica,consulta nueva,2016-10-01,29,27,56,46,28,31,29,38,13,14,0,6,0,19,155,181,336
SAN IGNACIO,atencion odontologica,consulta nueva,2016-10-01,51,25,70,63,20,60,64,139,16,12,0,16,0,13,221,328,549
SAN IGNACIO DE VELASCO,atencion odontologica,consulta nueva,2016-10-01,97,93,397,370,14,36,14,58,51,60,0,21,0,18,573,656,1229
SAN JAVIER(BNI),atencion odontologica,consulta nueva,2016-10-01,5,0,5,4,0,5,4,2,8,2,0,0,0,0,22,13,35
SAN JAVIER(STC),atencion odontologica,consulta nueva,2016-10-01,101,88,242,243,4,34,13,71,13,6,0,50,0,12,373,504,877
SAN JOAQUIN,atencion odontologica,consulta nueva,2016-10-01,2,0,4,2,2,2,1,4,5,0,0,3,0,1,14,12,26
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta nueva,2016-10-01,6,13,17,16,5,11,23,34,10,7,0,15,0,2,61,98,159
SAN JUAN DE YAPACANI,atencion odontologica,consulta nueva,2016-10-01,38,27,119,81,0,5,8,37,10,8,0,9,0,11,175,178,353
SAN JULIAN,atencion odontologica,consulta nueva,2016-10-01,269,205,445,451,42,45,35,142,56,25,0,35,0,101,847,1004,1851
SAN LORENZO(PND),atencion odontologica,consulta nueva,2016-10-01,41,38,69,91,5,20,19,60,11,5,0,14,0,11,145,239,384
SAN LORENZO(TJA),atencion odontologica,consulta nueva,2016-10-01,50,66,251,304,118,127,120,340,23,17,0,14,0,4,562,872,1434
SAN LUCAS,atencion odontologica,consulta nueva,2016-10-01,165,129,14,27,11,54,49,158,14,25,0,51,0,47,253,491,744
SAN MATIAS,atencion odontologica,consulta nueva,2016-10-01,9,16,5,3,6,16,6,22,7,3,0,15,0,2,33,77,110
SAN MIGUEL DE VELASCO,atencion odontologica,consulta nueva,2016-10-01,6,2,15,5,3,4,29,38,7,7,0,4,0,8,60,68,128
SAN PABLO DE LIPEZ,atencion odontologica,consulta nueva,2016-10-01,13,1,3,2,2,8,4,11,1,0,0,4,0,3,23,29,52
SAN PEDRO,atencion odontologica,consulta nueva,2016-10-01,52,37,52,93,60,64,20,86,9,13,0,24,0,17,193,334,527
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta nueva,2016-10-01,19,14,220,178,377,300,10,73,30,35,0,27,0,20,656,647,1303
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta nueva,2016-10-01,12,7,8,4,2,8,8,42,15,29,0,12,0,3,45,105,150
SAN PEDRO DE QUEMES,atencion odontologica,consulta nueva,2016-10-01,4,1,1,9,1,0,2,4,1,2,0,1,0,0,9,17,26
SAN PEDRO DE TIQUINA,atencion odontologica,consulta nueva,2016-10-01,25,28,88,102,20,38,6,35,20,16,0,5,0,6,159,230,389
SAN PEDRO(PND),atencion odontologica,consulta nueva,2016-10-01,16,13,89,63,18,18,0,0,0,0,0,1,0,0,123,95,218
SAN RAFAEL,atencion odontologica,consulta nueva,2016-10-01,25,45,1,1,1,17,0,27,0,2,0,7,0,1,27,100,127
SAN RAMON BENI,atencion odontologica,consulta nueva,2016-10-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN RAMON SCZ,atencion odontologica,consulta nueva,2016-10-01,2,6,0,0,0,0,0,0,0,3,0,0,0,0,2,9,11
SANTA ANA,atencion odontologica,consulta nueva,2016-10-01,37,39,37,58,22,92,21,97,4,2,0,0,0,0,121,288,409
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta nueva,2016-10-01,3452,3332,796,735,412,956,1804,5113,1113,848,0,2012,0,749,7577,13745,21322
SANTA ROSA,atencion odontologica,consulta nueva,2016-10-01,22,26,137,151,2,1,2,6,1,0,0,0,0,0,164,184,348
SANTA ROSA DEL SARA,atencion odontologica,consulta nueva,2016-10-01,16,22,7,14,1,6,12,37,27,8,0,9,0,16,63,112,175
SANTIAGO DE CALLAPA,atencion odontologica,consulta nueva,2016-10-01,7,7,2,0,0,1,0,15,11,11,0,0,0,0,20,34,54
SANTIAGO DE HUARI,atencion odontologica,consulta nueva,2016-10-01,20,38,88,93,8,28,33,82,48,51,0,18,0,17,197,327,524
SANTIAGO DE HUATA,atencion odontologica,consulta nueva,2016-10-01,41,47,247,356,25,19,21,77,57,67,0,8,0,13,391,587,978
SANTIAGO DE MACHACA,atencion odontologica,consulta nueva,2016-10-01,5,11,4,5,2,15,18,28,9,10,0,3,0,11,38,83,121
SANTIVAÑES,atencion odontologica,consulta nueva,2016-10-01,15,15,34,20,3,8,15,23,6,20,0,5,0,4,73,95,168
SANTUARIO DE QUILLACAS,atencion odontologica,consulta nueva,2016-10-01,8,10,52,32,13,26,1,4,4,4,0,1,0,3,78,80,158
SAPAHAQUI,atencion odontologica,consulta nueva,2016-10-01,54,55,9,9,3,18,16,87,6,12,0,14,0,48,88,243,331
SENA,atencion odontologica,consulta nueva,2016-10-01,63,28,3,6,5,19,10,36,2,2,0,32,0,11,83,134,217
SHINAOTA,atencion odontologica,consulta nueva,2016-10-01,52,55,26,13,4,19,5,46,7,0,0,22,0,22,94,177,271
SICA SICA (VILLA AROMA),atencion odontologica,consulta nueva,2016-10-01,66,40,12,12,10,21,11,55,81,83,0,23,0,16,180,250,430
SICAYA,atencion odontologica,consulta nueva,2016-10-01,7,10,1,7,0,15,5,28,2,0,0,11,0,8,15,79,94
SIPE SIPE,atencion odontologica,consulta nueva,2016-10-01,298,297,156,153,16,61,30,325,22,54,0,79,0,171,522,1140,1662
SOPACHUY,atencion odontologica,consulta nueva,2016-10-01,33,21,35,60,15,68,21,84,7,1,0,14,0,26,111,274,385
SORACACHI,atencion odontologica,consulta nueva,2016-10-01,51,45,260,306,257,109,8,47,21,16,0,18,0,4,597,545,1142
SORATA,atencion odontologica,consulta nueva,2016-10-01,49,79,120,115,20,72,20,129,40,11,0,57,0,35,249,498,747
SUCRE,atencion odontologica,consulta nueva,2016-10-01,1832,1661,958,1121,332,715,845,2735,325,268,0,981,0,501,4292,7982,12274
TACACHI,atencion odontologica,consulta nueva,2016-10-01,5,1,8,0,0,0,0,14,0,0,0,0,0,0,13,15,28
TACACOMA,atencion odontologica,consulta nueva,2016-10-01,6,5,6,13,3,9,20,44,9,5,0,4,0,12,44,92,136
TACOBAMBA,atencion odontologica,consulta nueva,2016-10-01,0,12,8,6,5,5,14,19,5,14,0,1,0,6,32,63,95
TACOPAYA,atencion odontologica,consulta nueva,2016-10-01,22,36,9,9,7,12,18,50,13,25,0,16,0,17,69,165,234
TAHUA,atencion odontologica,consulta nueva,2016-10-01,7,5,2,5,0,1,2,27,2,2,0,8,0,4,13,52,65
TAPACARI,atencion odontologica,consulta nueva,2016-10-01,70,48,15,28,18,56,36,116,36,55,0,45,0,55,175,403,578
TARABUCO,atencion odontologica,consulta nueva,2016-10-01,51,90,64,61,40,55,16,109,20,11,0,37,0,29,191,392,583
TARACO,atencion odontologica,consulta nueva,2016-10-01,26,33,29,27,1,10,7,30,39,47,0,8,0,7,102,162,264
TARATA,atencion odontologica,consulta nueva,2016-10-01,45,18,8,21,6,12,9,41,11,37,0,8,0,8,79,145,224
TARIJA,atencion odontologica,consulta nueva,2016-10-01,331,328,825,1000,362,579,733,1779,133,92,0,244,0,19,2384,4041,6425
TARVITA,atencion odontologica,consulta nueva,2016-10-01,62,45,25,23,14,52,32,141,14,9,0,27,0,30,147,327,474
TEOPONTE,atencion odontologica,consulta nueva,2016-10-01,42,51,11,10,10,17,27,71,21,12,0,23,0,15,111,199,310
TIAWANACU,atencion odontologica,consulta nueva,2016-10-01,19,14,12,17,3,17,17,49,16,15,0,6,0,19,67,137,204
TINGUIPAYA,atencion odontologica,consulta nueva,2016-10-01,39,43,5,4,5,13,18,70,18,27,0,8,0,39,85,204,289
TIPUANI,atencion odontologica,consulta nueva,2016-10-01,13,15,90,83,0,0,1,2,1,0,0,1,0,0,105,101,206
TIQUIPAYA,atencion odontologica,consulta nueva,2016-10-01,790,660,167,155,2,107,44,511,84,58,0,252,0,235,1087,1978,3065
TIRAQUE (CBBA),atencion odontologica,consulta nueva,2016-10-01,29,68,91,68,15,20,18,82,22,28,0,9,0,31,175,306,481
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,consulta nueva,2016-10-01,0,1,1,1,1,4,6,6,0,3,0,0,0,0,8,15,23
TOCO,atencion odontologica,consulta nueva,2016-10-01,54,49,13,1,2,39,3,74,3,19,0,56,0,36,75,274,349
TODOS SANTOS,atencion odontologica,consulta nueva,2016-10-01,0,4,1,0,0,0,0,8,1,9,0,1,0,0,2,22,24
TOLATA,atencion odontologica,consulta nueva,2016-10-01,49,54,33,25,0,34,1,44,10,19,0,14,0,9,93,199,292
TOLEDO,atencion odontologica,consulta nueva,2016-10-01,12,12,17,20,0,5,10,28,16,28,0,7,0,1,55,101,156
TOMAVE,atencion odontologica,consulta nueva,2016-10-01,42,18,9,15,8,18,11,44,23,16,0,6,0,18,93,135,228
TOMINA,atencion odontologica,consulta nueva,2016-10-01,16,37,32,49,11,39,41,77,4,5,0,15,0,6,104,228,332
TORO TORO,atencion odontologica,consulta nueva,2016-10-01,27,7,6,6,4,8,16,37,4,4,0,12,0,22,57,96,153
TOTORA(CBBA),atencion odontologica,consulta nueva,2016-10-01,28,44,47,93,5,42,29,95,18,16,0,12,0,66,127,368,495
TOTORA(ORR),atencion odontologica,consulta nueva,2016-10-01,17,29,6,21,21,40,28,36,12,23,0,16,0,5,84,170,254
TRIGAL,atencion odontologica,consulta nueva,2016-10-01,19,11,45,40,7,4,15,37,8,3,0,5,0,19,94,119,213
TRINIDAD,atencion odontologica,consulta nueva,2016-10-01,154,110,201,330,107,145,176,521,66,73,0,117,0,29,704,1325,2029
TUPIZA,atencion odontologica,consulta nueva,2016-10-01,105,108,234,232,35,65,102,207,52,59,0,25,0,27,528,723,1251
TURCO,atencion odontologica,consulta nueva,2016-10-01,13,9,2,4,3,7,11,15,21,7,0,1,0,2,50,45,95
UMALA,atencion odontologica,consulta nueva,2016-10-01,38,17,9,19,11,20,5,47,7,8,0,19,0,27,70,157,227
UNCIA,atencion odontologica,consulta nueva,2016-10-01,61,69,17,11,4,35,20,25,8,14,0,10,0,31,110,195,305
URIONDO (A. CONCEPCION),atencion odontologica,consulta nueva,2016-10-01,18,32,109,169,58,76,84,199,17,21,0,6,0,1,286,504,790
URUBICHA,atencion odontologica,consulta nueva,2016-10-01,0,3,0,0,1,4,7,12,0,1,0,7,0,6,8,33,41
UYUNI,atencion odontologica,consulta nueva,2016-10-01,70,45,26,21,11,17,28,105,13,27,0,28,0,43,148,286,434
VACAS,atencion odontologica,consulta nueva,2016-10-01,37,33,9,15,2,61,42,49,3,21,0,19,0,14,93,212,305
VALLEGRANDE,atencion odontologica,consulta nueva,2016-10-01,153,139,51,56,10,37,66,175,19,49,0,32,0,29,299,517,816
VIACHA,atencion odontologica,consulta nueva,2016-10-01,405,344,430,467,99,195,31,235,56,56,0,47,0,105,1021,1449,2470
VILA VILA,atencion odontologica,consulta nueva,2016-10-01,18,23,4,7,1,10,14,45,9,6,0,21,0,17,46,129,175
VILLA CHARCAS,atencion odontologica,consulta nueva,2016-10-01,58,35,19,43,9,36,25,84,4,13,0,42,0,8,115,261,376
VILLA MONTES,atencion odontologica,consulta nueva,2016-10-01,56,86,236,259,109,152,263,560,57,16,0,27,0,20,721,1120,1841
VILLA NUEVA (LOMA ALTA),atencion odontologica,consulta nueva,2016-10-01,1,2,13,14,1,1,2,10,0,0,0,1,0,1,17,29,46
VILLA RIVERO,atencion odontologica,consulta nueva,2016-10-01,63,78,27,16,15,66,29,112,15,17,0,49,0,77,149,415,564
VILLA SERRANO,atencion odontologica,consulta nueva,2016-10-01,211,208,1,2,1,0,36,83,4,2,0,75,0,19,253,389,642
VILLA TUNARI,atencion odontologica,consulta nueva,2016-10-01,343,370,188,191,24,98,63,394,67,33,0,195,0,244,685,1525,2210
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,consulta nueva,2016-10-01,131,88,15,33,48,65,66,130,24,11,0,63,0,16,284,406,690
VILLAZON,atencion odontologica,consulta nueva,2016-10-01,194,235,70,94,51,115,41,261,70,115,0,99,0,47,426,966,1392
VINTO,atencion odontologica,consulta nueva,2016-10-01,255,288,5,10,0,37,8,193,33,29,0,54,0,142,301,753,1054
VITICHI,atencion odontologica,consulta nueva,2016-10-01,25,14,19,14,9,16,17,43,53,25,0,3,0,3,123,118,241
WALDO BALLIVIAN,atencion odontologica,consulta nueva,2016-10-01,10,3,4,6,7,14,7,26,4,3,0,0,0,2,32,54,86
WARNES,atencion odontologica,consulta nueva,2016-10-01,88,127,49,53,10,52,5,115,23,10,0,62,0,39,175,458,633
YACO,atencion odontologica,consulta nueva,2016-10-01,7,11,143,195,0,3,7,16,1,4,0,0,0,6,158,235,393
YACUIBA,atencion odontologica,consulta nueva,2016-10-01,76,47,209,203,117,221,359,816,76,40,0,40,0,21,837,1388,2225
YAMPARAEZ,atencion odontologica,consulta nueva,2016-10-01,79,98,5,1,14,23,13,58,11,16,0,24,0,13,122,233,355
YANACACHI,atencion odontologica,consulta nueva,2016-10-01,9,27,30,54,3,18,24,58,2,2,0,9,0,7,68,175,243
YAPACANI,atencion odontologica,consulta nueva,2016-10-01,183,223,10,22,16,79,29,226,73,51,0,96,0,135,311,832,1143
YOCALLA,atencion odontologica,consulta nueva,2016-10-01,29,36,13,6,3,4,12,31,7,15,0,6,0,13,64,111,175
YOTALA,atencion odontologica,consulta nueva,2016-10-01,41,52,47,27,18,26,17,77,17,38,0,43,0,27,140,290,430
YUNCHARA,atencion odontologica,consulta nueva,2016-10-01,21,18,43,47,16,41,42,101,18,20,0,10,0,1,140,238,378
ZUDAÑEZ,atencion odontologica,consulta nueva,2016-10-01,4,21,40,40,22,28,39,76,6,0,0,32,0,1,111,198,309
ACACIO,atencion odontologica,consulta nueva,2016-11-01,5,3,0,7,1,5,6,12,0,1,0,0,0,0,12,28,40
ACHACACHI,atencion odontologica,consulta nueva,2016-11-01,129,100,33,25,20,25,56,131,95,58,0,20,0,40,333,399,732
ACHOCALLA,atencion odontologica,consulta nueva,2016-11-01,136,91,6,25,2,9,8,55,15,25,0,18,0,12,167,235,402
AIQUILE,atencion odontologica,consulta nueva,2016-11-01,121,219,56,52,14,23,40,86,66,61,0,27,0,40,297,508,805
ALALAY,atencion odontologica,consulta nueva,2016-11-01,11,5,0,1,3,9,0,6,0,0,0,0,0,0,14,21,35
ALCALA,atencion odontologica,consulta nueva,2016-11-01,67,71,12,17,3,29,42,66,2,4,0,5,0,6,126,198,324
ALTO BENI,atencion odontologica,consulta nueva,2016-11-01,35,25,9,10,5,9,6,35,13,15,0,3,0,18,68,115,183
ANCORAIMES,atencion odontologica,consulta nueva,2016-11-01,5,9,5,7,1,12,4,17,14,24,0,0,0,0,29,69,98
ANDAMARCA,atencion odontologica,consulta nueva,2016-11-01,13,13,34,22,0,3,9,23,12,14,0,10,0,7,68,92,160
ANTEQUERA,atencion odontologica,consulta nueva,2016-11-01,0,1,6,1,0,2,6,2,1,2,0,8,0,2,13,18,31
ANZALDO,atencion odontologica,consulta nueva,2016-11-01,143,92,15,24,8,18,9,53,21,45,0,27,0,10,196,269,465
APOLO,atencion odontologica,consulta nueva,2016-11-01,36,43,6,18,4,24,26,37,8,4,0,12,0,29,80,167,247
ARAMPAMPA,atencion odontologica,consulta nueva,2016-11-01,5,11,3,2,2,5,9,15,3,1,0,6,0,4,22,44,66
ARANI,atencion odontologica,consulta nueva,2016-11-01,26,25,37,78,4,20,7,32,7,11,0,17,0,17,81,200,281
ARBIETO,atencion odontologica,consulta nueva,2016-11-01,264,250,36,54,7,42,8,222,73,98,0,61,0,93,388,820,1208
ARQUE,atencion odontologica,consulta nueva,2016-11-01,27,15,11,21,13,26,33,105,10,15,0,31,0,17,94,230,324
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2016-11-01,17,14,4,7,0,2,0,2,0,1,0,41,0,24,21,91,112
ATOCHA,atencion odontologica,consulta nueva,2016-11-01,19,23,90,107,71,71,98,107,8,30,0,8,0,7,286,353,639
AUCAPATA,atencion odontologica,consulta nueva,2016-11-01,1,3,2,3,5,8,14,10,4,6,0,1,0,0,26,31,57
AYATA,atencion odontologica,consulta nueva,2016-11-01,8,11,8,9,9,20,18,43,14,7,0,4,0,8,57,102,159
AYO AYO,atencion odontologica,consulta nueva,2016-11-01,6,8,2,4,2,8,16,14,12,18,0,1,0,3,38,56,94
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2016-11-01,38,50,31,48,19,37,93,140,47,34,0,27,0,51,228,387,615
AZURDUY,atencion odontologica,consulta nueva,2016-11-01,34,23,4,20,12,26,24,86,7,7,0,15,0,21,81,198,279
BATALLAS,atencion odontologica,consulta nueva,2016-11-01,48,40,15,11,14,29,28,77,43,29,0,5,0,15,148,206,354
BAURES,atencion odontologica,consulta nueva,2016-11-01,1,0,16,12,5,5,17,33,1,8,0,0,0,0,40,58,98
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2016-11-01,8,11,3,7,0,4,4,5,0,6,0,1,0,0,15,34,49
BELEN DE URMIRI,atencion odontologica,consulta nueva,2016-11-01,17,9,1,1,2,1,3,4,1,2,0,0,0,0,24,17,41
BELLA FLOR,atencion odontologica,consulta nueva,2016-11-01,3,2,19,5,5,6,1,4,7,3,0,6,0,0,35,26,61
BERMEJO,atencion odontologica,consulta nueva,2016-11-01,87,83,103,116,80,122,195,377,42,31,0,56,0,8,507,793,1300
BETANZOS,atencion odontologica,consulta nueva,2016-11-01,72,75,14,28,16,38,45,121,62,41,0,27,0,31,209,361,570
BOLIVAR,atencion odontologica,consulta nueva,2016-11-01,22,8,105,103,8,14,12,33,19,19,0,2,0,0,166,179,345
BOLPEBRA,atencion odontologica,consulta nueva,2016-11-01,8,13,18,13,28,28,8,8,3,0,0,0,0,0,65,62,127
BOYUIBE,atencion odontologica,consulta nueva,2016-11-01,0,0,3,4,6,6,4,12,4,0,0,0,0,0,17,22,39
BUENA VISTA,atencion odontologica,consulta nueva,2016-11-01,72,87,19,16,5,22,10,23,4,9,0,19,0,18,110,194,304
CABEZAS,atencion odontologica,consulta nueva,2016-11-01,87,96,16,23,14,24,35,91,25,31,0,34,0,19,177,318,495
CAIROMA,atencion odontologica,consulta nueva,2016-11-01,18,27,25,32,28,18,39,64,7,1,0,9,0,13,117,164,281
"CAIZA ""D""",atencion odontologica,consulta nueva,2016-11-01,21,17,16,7,7,20,22,104,15,26,0,21,0,35,81,230,311
CAJUATA,atencion odontologica,consulta nueva,2016-11-01,52,25,8,16,4,29,19,44,15,8,0,17,0,38,98,177,275
CALACOTO,atencion odontologica,consulta nueva,2016-11-01,13,26,0,5,1,3,7,36,21,5,0,2,0,13,42,90,132
CALAMARCA,atencion odontologica,consulta nueva,2016-11-01,27,44,86,97,11,37,29,111,29,31,0,19,0,35,182,374,556
CAMARGO,atencion odontologica,consulta nueva,2016-11-01,78,115,79,87,4,44,19,139,9,16,0,30,0,44,189,475,664
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2016-11-01,8,12,36,30,9,11,20,34,1,3,0,10,0,8,74,108,182
CAMIRI,atencion odontologica,consulta nueva,2016-11-01,214,226,202,168,84,115,34,180,83,55,0,93,0,56,617,893,1510
CAPINOTA,atencion odontologica,consulta nueva,2016-11-01,255,190,41,41,27,51,65,194,91,46,0,14,0,16,479,552,1031
CAQUIAVIRI,atencion odontologica,consulta nueva,2016-11-01,42,27,59,63,9,39,17,38,25,24,0,5,0,4,152,200,352
CARACOLLO,atencion odontologica,consulta nueva,2016-11-01,36,54,63,71,9,31,50,96,16,34,0,20,0,13,174,319,493
CARANAVI,atencion odontologica,consulta nueva,2016-11-01,141,116,88,85,24,39,43,144,77,38,0,55,0,114,373,591,964
CARAPARI,atencion odontologica,consulta nueva,2016-11-01,15,31,111,137,54,101,141,216,11,6,0,5,0,1,332,497,829
CARIPUYO,atencion odontologica,consulta nueva,2016-11-01,6,34,13,16,13,5,5,14,2,1,0,5,0,3,39,78,117
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2016-11-01,66,72,0,0,0,0,54,55,12,16,0,37,0,28,132,208,340
CATACORA,atencion odontologica,consulta nueva,2016-11-01,1,0,6,1,1,3,1,14,0,2,0,0,0,3,9,23,32
CHACARILLA,atencion odontologica,consulta nueva,2016-11-01,6,3,3,8,1,5,0,5,10,3,0,4,0,0,20,28,48
CHALLAPATA,atencion odontologica,consulta nueva,2016-11-01,195,192,489,459,9,76,62,293,66,49,0,73,0,110,821,1252,2073
CHAQUI,atencion odontologica,consulta nueva,2016-11-01,55,56,78,76,34,83,13,65,36,45,0,15,0,18,216,358,574
CHARAGUA,atencion odontologica,consulta nueva,2016-11-01,48,69,8,22,6,30,23,56,5,4,0,20,0,9,90,210,300
CHARAÑA,atencion odontologica,consulta nueva,2016-11-01,8,13,1,1,0,0,3,3,1,1,0,0,0,1,13,19,32
CHAYANTA,atencion odontologica,consulta nueva,2016-11-01,27,63,13,14,3,28,15,76,2,12,0,26,0,16,60,235,295
CHIMORE,atencion odontologica,consulta nueva,2016-11-01,137,147,36,37,46,39,59,181,35,13,0,54,0,78,313,549,862
CHIPAYA,atencion odontologica,consulta nueva,2016-11-01,9,2,3,2,15,6,1,4,1,1,0,8,0,1,29,24,53
CHOQUE COTA,atencion odontologica,consulta nueva,2016-11-01,15,27,99,61,0,7,5,21,12,19,0,3,0,5,131,143,274
CHUA COCANI,atencion odontologica,consulta nueva,2016-11-01,15,18,7,1,49,24,6,23,46,23,0,0,0,3,123,92,215
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2016-11-01,96,79,106,92,16,26,31,140,12,5,0,43,0,56,261,441,702
