,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES,TOTALES,TOTALES
EL CHORO,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,2,6,5,3,0,0,0,0,7,9,16
EL PUENTE(STC),atencion odontologica,exodoncia,2016-10-01,1,0,4,1,1,1,3,12,9,5,0,0,0,0,18,19,37
EL PUENTE(TJA),atencion odontologica,exodoncia,2016-10-01,0,0,9,10,1,8,4,33,3,1,0,0,0,0,17,52,69
EL TORNO,atencion odontologica,exodoncia,2016-10-01,6,4,19,14,21,19,36,45,55,24,0,0,0,0,137,106,243
EL VILLAR,atencion odontologica,exodoncia,2016-10-01,0,0,3,1,1,1,6,7,0,2,0,0,0,0,10,11,21
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2016-10-01,0,0,7,12,5,7,7,27,5,7,0,0,0,0,24,53,77
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2016-10-01,0,3,5,6,1,3,4,11,0,0,0,0,0,0,10,23,33
ESCARA,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,5,5
ESCOMA,atencion odontologica,exodoncia,2016-10-01,0,0,6,7,5,6,10,4,6,6,0,0,0,0,27,23,50
ESMERALDA,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
EUCALIPTUS,atencion odontologica,exodoncia,2016-10-01,0,1,3,2,1,1,1,10,0,5,0,0,0,0,5,19,24
EUREKA (SANTOS MERCADO),atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EXALTACION,atencion odontologica,exodoncia,2016-10-01,0,0,0,7,1,1,0,7,8,2,0,0,0,0,9,17,26
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2016-10-01,0,0,5,6,3,4,0,2,2,2,0,0,0,0,10,14,24
FILADELFIA,atencion odontologica,exodoncia,2016-10-01,0,0,2,3,2,2,6,6,2,2,0,0,0,0,12,13,25
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2016-10-01,0,0,3,6,1,1,0,7,2,1,0,0,0,0,6,15,21
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2016-10-01,0,0,3,5,3,3,3,5,3,24,0,0,0,0,12,37,49
GUANAY,atencion odontologica,exodoncia,2016-10-01,2,1,1,0,4,2,6,7,4,6,0,0,0,0,17,16,33
GUAQUI,atencion odontologica,exodoncia,2016-10-01,0,1,2,5,4,6,5,21,20,18,0,0,0,0,31,51,82
GUAYARAMERIN,atencion odontologica,exodoncia,2016-10-01,0,6,10,7,0,10,12,26,13,10,0,0,0,0,35,59,94
GUTIERREZ,atencion odontologica,exodoncia,2016-10-01,4,4,5,8,13,14,8,25,9,12,0,0,0,0,39,63,102
HUACARETA,atencion odontologica,exodoncia,2016-10-01,0,0,1,0,1,4,6,14,4,1,0,0,0,0,12,19,31
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2016-10-01,0,0,6,4,0,1,3,15,0,0,0,0,0,0,9,20,29
HUACHACALLA,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
HUANUNI,atencion odontologica,exodoncia,2016-10-01,3,1,13,24,1,9,11,16,6,5,0,0,0,0,34,55,89
HUARACAJE,atencion odontologica,exodoncia,2016-10-01,0,0,3,1,1,3,7,8,2,0,0,0,0,0,13,12,25
HUARINA,atencion odontologica,exodoncia,2016-10-01,2,0,2,3,2,2,6,13,11,9,0,0,0,0,23,27,50
HUATAJATA,atencion odontologica,exodoncia,2016-10-01,0,0,2,2,6,4,5,6,10,6,0,0,0,0,23,18,41
HUAYLLAMARCA,atencion odontologica,exodoncia,2016-10-01,0,0,3,4,0,1,5,6,1,3,0,0,0,0,9,14,23
HUMANATA,atencion odontologica,exodoncia,2016-10-01,3,2,2,2,1,3,4,7,6,12,0,0,0,0,16,26,42
ICHOCA,atencion odontologica,exodoncia,2016-10-01,0,0,1,4,2,4,6,3,8,30,0,0,0,0,17,41,58
ICLA,atencion odontologica,exodoncia,2016-10-01,0,0,6,8,7,0,12,34,2,4,0,0,0,0,27,46,73
INCAHUASI,atencion odontologica,exodoncia,2016-10-01,1,0,0,1,1,3,1,18,2,7,0,0,0,0,5,29,34
INGAVI (HUMAITA),atencion odontologica,exodoncia,2016-10-01,0,0,1,2,0,2,0,2,1,0,0,0,0,0,2,6,8
INQUISIVI,atencion odontologica,exodoncia,2016-10-01,0,1,14,23,6,19,28,67,19,14,0,0,0,0,67,124,191
IRUPANA (VILLA DE LANZA),atencion odontologica,exodoncia,2016-10-01,0,0,2,6,6,6,2,5,8,10,0,0,0,0,18,27,45
IXIAMAS,atencion odontologica,exodoncia,2016-10-01,0,1,5,13,3,9,10,15,8,2,0,0,0,0,26,40,66
JESUS DE MACHACA,atencion odontologica,exodoncia,2016-10-01,0,2,6,4,3,6,4,18,11,12,0,0,0,0,24,42,66
LA ASUNTA,atencion odontologica,exodoncia,2016-10-01,5,2,54,82,8,23,36,126,15,10,0,0,0,0,118,243,361
LA GUARDIA,atencion odontologica,exodoncia,2016-10-01,9,3,6,4,0,4,3,14,41,5,0,0,0,0,59,30,89
LA PAZ,atencion odontologica,exodoncia,2016-10-01,18,27,217,217,68,93,196,396,151,122,0,0,0,0,650,855,1505
LA RIVERA,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
LAGUNILLAS,atencion odontologica,exodoncia,2016-10-01,0,0,26,5,5,8,22,67,2,1,0,0,0,0,55,81,136
LAJA,atencion odontologica,exodoncia,2016-10-01,0,0,10,4,6,7,12,40,19,10,0,0,0,0,47,61,108
LAS CARRERAS,atencion odontologica,exodoncia,2016-10-01,0,0,2,2,0,0,3,6,3,2,0,0,0,0,8,10,18
LICOMA PAMPA,atencion odontologica,exodoncia,2016-10-01,0,2,3,1,1,4,3,4,11,17,0,0,0,0,18,28,46
LLALLAGUA,atencion odontologica,exodoncia,2016-10-01,0,0,6,15,0,3,7,17,11,20,0,0,0,0,24,55,79
LLICA,atencion odontologica,exodoncia,2016-10-01,0,0,4,3,1,3,4,8,2,4,0,0,0,0,11,18,29
LORETO,atencion odontologica,exodoncia,2016-10-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
LURIBAY,atencion odontologica,exodoncia,2016-10-01,0,0,4,3,1,2,4,9,6,4,0,0,0,0,15,18,33
MACHACAMARCA,atencion odontologica,exodoncia,2016-10-01,0,0,8,9,0,0,1,6,7,4,0,0,0,0,16,19,35
MACHARETI,atencion odontologica,exodoncia,2016-10-01,0,2,7,4,1,8,2,30,0,0,0,0,0,0,10,44,54
MAGDALENA,atencion odontologica,exodoncia,2016-10-01,1,1,5,5,1,3,8,21,16,1,0,0,0,0,31,31,62
MAIRANA,atencion odontologica,exodoncia,2016-10-01,0,0,5,8,5,7,7,12,6,7,0,0,0,0,23,34,57
MALLA,atencion odontologica,exodoncia,2016-10-01,0,0,0,3,1,0,1,2,6,2,0,0,0,0,8,7,15
MAPIRI,atencion odontologica,exodoncia,2016-10-01,0,5,8,2,2,5,21,21,12,12,0,0,0,0,43,45,88
MECAPACA,atencion odontologica,exodoncia,2016-10-01,0,4,5,1,0,8,2,7,5,7,0,0,0,0,12,27,39
MINEROS,atencion odontologica,exodoncia,2016-10-01,1,0,0,0,0,0,0,1,2,7,0,0,0,0,3,8,11
MIZQUE,atencion odontologica,exodoncia,2016-10-01,2,1,16,14,4,12,8,39,13,10,0,0,0,0,43,76,119
MOCOMOCO,atencion odontologica,exodoncia,2016-10-01,1,1,7,5,5,18,14,19,29,23,0,0,0,0,56,66,122
MOJINETE,atencion odontologica,exodoncia,2016-10-01,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,4,6
MOJOCOYA,atencion odontologica,exodoncia,2016-10-01,0,0,10,11,1,0,12,67,24,16,0,0,0,0,47,94,141
MONTEAGUDO,atencion odontologica,exodoncia,2016-10-01,0,0,10,15,4,6,12,49,21,1,0,0,0,0,47,71,118
MONTERO,atencion odontologica,exodoncia,2016-10-01,3,1,52,50,10,18,37,91,40,18,0,0,0,0,142,178,320
MORO MORO,atencion odontologica,exodoncia,2016-10-01,0,0,7,2,0,1,1,7,0,1,0,0,0,0,8,11,19
MOROCHATA,atencion odontologica,exodoncia,2016-10-01,0,0,3,5,3,5,9,20,3,14,0,0,0,0,18,44,62
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,exodoncia,2016-10-01,1,0,2,2,0,1,0,11,4,5,0,0,0,0,7,19,26
NAZACARA DE PACAJES,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
OCURI,atencion odontologica,exodoncia,2016-10-01,0,1,5,2,5,9,9,27,10,12,0,0,0,0,29,51,80
OKINAWA,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,0,1,2,7,2,0,0,0,0,0,5,9,14
OMEREQUE,atencion odontologica,exodoncia,2016-10-01,0,0,2,5,3,0,4,1,7,8,0,0,0,0,16,14,30
ORURO,atencion odontologica,exodoncia,2016-10-01,26,17,80,112,30,57,138,348,102,77,0,0,0,0,376,611,987
PADCAYA,atencion odontologica,exodoncia,2016-10-01,0,0,10,16,6,14,15,42,8,2,0,0,0,0,39,74,113
PADILLA,atencion odontologica,exodoncia,2016-10-01,0,0,12,8,1,1,7,39,16,0,0,0,0,0,36,48,84
PAILON,atencion odontologica,exodoncia,2016-10-01,2,3,17,18,5,6,11,37,1,1,0,0,0,0,36,65,101
PALCA,atencion odontologica,exodoncia,2016-10-01,0,1,6,9,1,13,16,27,19,11,0,0,0,0,42,61,103
PALOS BLANCOS,atencion odontologica,exodoncia,2016-10-01,1,0,7,5,1,9,13,21,3,8,0,0,0,0,25,43,68
PAMPA AULLAGAS,atencion odontologica,exodoncia,2016-10-01,0,0,2,0,2,1,0,1,0,0,0,0,0,0,4,2,6
PAMPA GRANDE,atencion odontologica,exodoncia,2016-10-01,0,0,5,4,1,2,0,6,0,0,0,0,0,0,6,12,18
PAPEL PAMPA,atencion odontologica,exodoncia,2016-10-01,0,0,2,0,1,1,0,3,4,5,0,0,0,0,7,9,16
PASORAPA,atencion odontologica,exodoncia,2016-10-01,0,0,7,2,1,1,5,7,5,6,0,0,0,0,18,16,34
PATACAMAYA,atencion odontologica,exodoncia,2016-10-01,1,2,2,3,1,2,11,20,4,5,0,0,0,0,19,32,51
PAZÑA,atencion odontologica,exodoncia,2016-10-01,0,0,10,26,1,6,1,14,0,3,0,0,0,0,12,49,61
PELECHUCO,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,2,5,8,9,4,2,0,0,0,0,15,17,32
POCOATA,atencion odontologica,exodoncia,2016-10-01,0,0,1,2,3,4,9,23,27,54,0,0,0,0,40,83,123
POCONA,atencion odontologica,exodoncia,2016-10-01,0,0,32,36,4,3,5,24,24,13,0,0,0,0,65,76,141
POJO (CBBA),atencion odontologica,exodoncia,2016-10-01,0,0,13,16,1,0,4,14,1,6,0,0,0,0,19,36,55
POOPO,atencion odontologica,exodoncia,2016-10-01,0,0,8,5,2,1,2,1,4,3,0,0,0,0,16,10,26
PORCO,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
POROMA,atencion odontologica,exodoncia,2016-10-01,0,0,6,11,3,10,15,69,8,21,0,0,0,0,32,111,143
PORONGO,atencion odontologica,exodoncia,2016-10-01,0,0,0,1,0,0,2,14,8,2,0,0,0,0,10,17,27
PORTACHUELO,atencion odontologica,exodoncia,2016-10-01,0,0,2,4,2,4,1,21,2,2,0,0,0,0,7,31,38
PORVENIR,atencion odontologica,exodoncia,2016-10-01,0,0,2,2,1,2,1,8,1,0,0,0,0,0,5,12,17
POSTRER VALLE,atencion odontologica,exodoncia,2016-10-01,0,1,1,0,0,0,0,5,0,0,0,0,0,0,1,6,7
POTOSI,atencion odontologica,exodoncia,2016-10-01,2,1,46,59,77,78,149,245,48,54,0,0,0,0,322,437,759
PRESTO,atencion odontologica,exodoncia,2016-10-01,0,2,18,19,0,6,5,30,4,5,0,0,0,0,27,62,89
PUCARA,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,1,0,0,1,8,0,0,0,0,0,9,1,10
PUCARANI,atencion odontologica,exodoncia,2016-10-01,7,4,30,30,19,21,25,61,22,48,0,0,0,0,103,164,267
PUERTO CARABUCO,atencion odontologica,exodoncia,2016-10-01,0,2,8,10,10,14,18,40,13,13,0,0,0,0,49,79,128
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2016-10-01,0,0,13,7,5,6,5,31,7,2,0,0,0,0,30,46,76
PUERTO PEREZ,atencion odontologica,exodoncia,2016-10-01,1,0,0,0,1,0,5,4,4,5,0,0,0,0,11,9,20
PUERTO QUIJARRO,atencion odontologica,exodoncia,2016-10-01,0,0,1,2,10,0,1,3,2,0,0,0,0,0,14,5,19
PUERTO RICO,atencion odontologica,exodoncia,2016-10-01,0,0,14,18,13,8,16,11,15,2,0,0,0,0,58,39,97
PUERTO SUAREZ,atencion odontologica,exodoncia,2016-10-01,1,0,2,1,0,0,2,6,3,4,0,0,0,0,8,11,19
PUERTO VILLARROEL,atencion odontologica,exodoncia,2016-10-01,2,0,23,11,1,1,9,36,8,18,0,0,0,0,43,66,109
PUNA,atencion odontologica,exodoncia,2016-10-01,1,0,2,4,5,6,10,29,12,23,0,0,0,0,30,62,92
PUNATA,atencion odontologica,exodoncia,2016-10-01,0,0,18,20,1,3,0,15,9,11,0,0,0,0,28,49,77
QUIABAYA,atencion odontologica,exodoncia,2016-10-01,0,0,4,2,3,5,5,17,0,5,0,0,0,0,12,29,41
QUILLACOLLO,atencion odontologica,exodoncia,2016-10-01,48,31,31,64,71,40,44,62,84,61,0,0,0,0,278,258,536
QUIME,atencion odontologica,exodoncia,2016-10-01,0,1,5,12,2,8,6,17,3,7,0,0,0,0,16,45,61
QUIRUSILLAS,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,4,5
RAVELO,atencion odontologica,exodoncia,2016-10-01,1,0,6,2,4,6,9,9,36,19,0,0,0,0,56,36,92
REYES,atencion odontologica,exodoncia,2016-10-01,1,0,8,11,2,2,5,12,5,1,0,0,0,0,21,26,47
RIBERALTA,atencion odontologica,exodoncia,2016-10-01,5,11,52,54,26,27,50,96,25,24,0,0,0,0,158,212,370
RURRENABAQUE,atencion odontologica,exodoncia,2016-10-01,11,6,16,22,31,26,36,39,9,8,0,0,0,0,103,101,204
SABAYA,atencion odontologica,exodoncia,2016-10-01,0,0,3,4,0,0,3,2,5,7,0,0,0,0,11,13,24
SACABA,atencion odontologica,exodoncia,2016-10-01,2,4,152,173,10,31,12,25,26,22,0,0,0,0,202,255,457
SACABAMBA,atencion odontologica,exodoncia,2016-10-01,0,0,2,2,0,1,2,3,6,4,0,0,0,0,10,10,20
SACACA,atencion odontologica,exodoncia,2016-10-01,1,0,7,8,5,6,11,26,21,23,0,0,0,0,45,63,108
SAIPINA,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,0,0,0,1,1,6,0,0,0,0,2,8,10
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2016-10-01,0,0,28,19,0,1,4,6,17,13,0,0,0,0,49,39,88
SAMAIPATA,atencion odontologica,exodoncia,2016-10-01,0,0,1,9,0,1,0,5,3,3,0,0,0,0,4,18,22
SAN AGUSTIN,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,3
SAN ANDRES,atencion odontologica,exodoncia,2016-10-01,3,1,12,9,2,1,5,4,2,1,0,0,0,0,24,16,40
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2016-10-01,0,0,16,23,1,3,11,8,9,10,0,0,0,0,37,44,81
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2016-10-01,0,0,0,2,2,1,1,1,0,0,0,0,0,0,3,4,7
SAN BENITO,atencion odontologica,exodoncia,2016-10-01,2,0,2,1,1,0,0,1,0,1,0,0,0,0,5,3,8
SAN BORJA,atencion odontologica,exodoncia,2016-10-01,1,0,6,15,0,8,12,24,6,8,0,0,0,0,25,55,80
SAN BUENA VENTURA,atencion odontologica,exodoncia,2016-10-01,2,1,2,5,2,2,12,10,5,10,0,0,0,0,23,28,51
SAN CARLOS,atencion odontologica,exodoncia,2016-10-01,2,7,23,24,8,6,12,16,6,3,0,0,0,0,51,56,107
SAN IGNACIO,atencion odontologica,exodoncia,2016-10-01,2,2,46,15,4,9,16,22,9,6,0,0,0,0,77,54,131
SAN IGNACIO DE VELASCO,atencion odontologica,exodoncia,2016-10-01,0,0,3,3,2,0,2,20,41,43,0,0,0,0,48,66,114
SAN JAVIER(BNI),atencion odontologica,exodoncia,2016-10-01,0,0,5,1,0,0,4,2,8,2,0,0,0,0,17,5,22
SAN JAVIER(STC),atencion odontologica,exodoncia,2016-10-01,1,0,1,3,1,2,3,10,1,1,0,0,0,0,7,16,23
SAN JOAQUIN,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,6,15,13,2,0,0,0,0,19,17,36
SAN JOSE DE CHIQUITOS,atencion odontologica,exodoncia,2016-10-01,0,1,8,3,0,2,5,4,3,6,0,0,0,0,16,16,32
SAN JUAN DE YAPACANI,atencion odontologica,exodoncia,2016-10-01,0,0,3,5,0,2,4,27,1,5,0,0,0,0,8,39,47
SAN JULIAN,atencion odontologica,exodoncia,2016-10-01,2,1,4,2,2,3,2,12,18,7,0,0,0,0,28,25,53
SAN LORENZO(PND),atencion odontologica,exodoncia,2016-10-01,0,0,18,19,3,6,12,23,11,2,0,0,0,0,44,50,94
SAN LORENZO(TJA),atencion odontologica,exodoncia,2016-10-01,0,0,36,44,3,7,9,27,8,4,0,0,0,0,56,82,138
SAN LUCAS,atencion odontologica,exodoncia,2016-10-01,0,0,10,4,5,10,16,33,10,20,0,0,0,0,41,67,108
SAN MATIAS,atencion odontologica,exodoncia,2016-10-01,2,4,1,4,4,3,2,5,3,4,0,0,0,0,12,20,32
SAN MIGUEL DE VELASCO,atencion odontologica,exodoncia,2016-10-01,0,0,2,1,2,1,2,8,1,1,0,0,0,0,7,11,18
SAN PABLO DE LIPEZ,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,0,4,1,4,0,0,0,0,0,0,2,9,11
SAN PEDRO,atencion odontologica,exodoncia,2016-10-01,0,0,11,13,8,7,4,15,2,4,0,0,0,0,25,39,64
SAN PEDRO DE BUENA VISTA,atencion odontologica,exodoncia,2016-10-01,2,0,22,12,9,16,22,33,7,14,0,0,0,0,62,75,137
SAN PEDRO DE CURAHUARA,atencion odontologica,exodoncia,2016-10-01,0,0,2,1,0,2,1,5,1,10,0,0,0,0,4,18,22
SAN PEDRO DE QUEMES,atencion odontologica,exodoncia,2016-10-01,0,0,1,0,0,0,1,2,0,2,0,0,0,0,2,4,6
SAN PEDRO DE TIQUINA,atencion odontologica,exodoncia,2016-10-01,0,1,33,26,9,6,1,13,5,5,0,0,0,0,48,51,99
SAN PEDRO(PND),atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN RAFAEL,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,0,0,0,3,0,2,0,0,0,0,1,6,7
SAN RAMON BENI,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,4,2,0,6,1,0,0,0,0,0,6,9,15
SANTA ANA,atencion odontologica,exodoncia,2016-10-01,1,0,11,10,3,4,2,23,1,0,0,0,0,0,18,37,55
SANTA CRUZ DE LA SIERRA,atencion odontologica,exodoncia,2016-10-01,25,25,86,80,34,41,123,315,254,160,0,0,0,0,522,621,1143
SANTA ROSA,atencion odontologica,exodoncia,2016-10-01,0,0,9,11,5,0,0,5,0,0,0,0,0,0,14,16,30
SANTA ROSA DEL SARA,atencion odontologica,exodoncia,2016-10-01,1,3,1,3,0,0,6,9,19,2,0,0,0,0,27,17,44
SANTIAGO DE CALLAPA,atencion odontologica,exodoncia,2016-10-01,1,0,2,0,0,1,0,13,10,9,0,0,0,0,13,23,36
SANTIAGO DE HUARI,atencion odontologica,exodoncia,2016-10-01,0,0,10,11,0,2,0,5,2,3,0,0,0,0,12,21,33
SANTIAGO DE HUATA,atencion odontologica,exodoncia,2016-10-01,0,0,1,2,3,3,6,21,15,18,0,0,0,0,25,44,69
SANTIAGO DE MACHACA,atencion odontologica,exodoncia,2016-10-01,0,0,0,2,2,1,3,18,6,5,0,0,0,0,11,26,37
SANTIVAÑES,atencion odontologica,exodoncia,2016-10-01,0,0,1,1,0,1,2,0,2,0,0,0,0,0,5,2,7
SANTUARIO DE QUILLACAS,atencion odontologica,exodoncia,2016-10-01,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,5,5
SAPAHAQUI,atencion odontologica,exodoncia,2016-10-01,0,0,0,1,2,5,7,17,2,7,0,0,0,0,11,30,41
SENA,atencion odontologica,exodoncia,2016-10-01,0,0,1,4,3,7,7,15,1,0,0,0,0,0,12,26,38
SHINAOTA,atencion odontologica,exodoncia,2016-10-01,0,0,2,4,0,0,1,6,3,0,0,0,0,0,6,10,16
SICA SICA (VILLA AROMA),atencion odontologica,exodoncia,2016-10-01,0,0,4,3,3,5,1,14,14,28,0,0,0,0,22,50,72
SICAYA,atencion odontologica,exodoncia,2016-10-01,0,0,1,2,0,0,2,10,0,2,0,0,0,0,3,14,17
SIPE SIPE,atencion odontologica,exodoncia,2016-10-01,0,0,11,5,1,1,1,14,3,19,0,0,0,0,16,39,55
SOPACHUY,atencion odontologica,exodoncia,2016-10-01,0,0,6,4,1,2,3,6,6,1,0,0,0,0,16,13,29
SORACACHI,atencion odontologica,exodoncia,2016-10-01,0,0,20,24,4,3,0,9,7,9,0,0,0,0,31,45,76
SORATA,atencion odontologica,exodoncia,2016-10-01,0,1,24,27,5,4,3,15,25,7,0,0,0,0,57,54,111
SUCRE,atencion odontologica,exodoncia,2016-10-01,6,5,151,171,40,40,85,170,102,79,0,0,0,0,384,465,849
TACACHI,atencion odontologica,exodoncia,2016-10-01,0,0,4,0,0,0,0,3,0,3,0,0,0,0,4,6,10
TACACOMA,atencion odontologica,exodoncia,2016-10-01,0,0,5,6,0,4,11,19,4,3,0,0,0,0,20,32,52
TACOBAMBA,atencion odontologica,exodoncia,2016-10-01,0,0,3,1,4,0,3,8,2,7,0,0,0,0,12,16,28
TACOPAYA,atencion odontologica,exodoncia,2016-10-01,0,0,5,3,1,4,8,12,3,12,0,0,0,0,17,31,48
TAHUA,atencion odontologica,exodoncia,2016-10-01,1,0,2,0,0,0,0,6,2,1,0,0,0,0,5,7,12
TAPACARI,atencion odontologica,exodoncia,2016-10-01,0,0,5,9,8,15,5,15,16,33,0,0,0,0,34,72,106
TARABUCO,atencion odontologica,exodoncia,2016-10-01,0,0,2,4,0,8,1,5,8,4,0,0,0,0,11,21,32
TARACO,atencion odontologica,exodoncia,2016-10-01,0,1,4,2,0,1,3,4,8,8,0,0,0,0,15,16,31
TARATA,atencion odontologica,exodoncia,2016-10-01,4,0,2,4,0,0,0,10,3,12,0,0,0,0,9,26,35
TARIJA,atencion odontologica,exodoncia,2016-10-01,2,4,112,111,57,57,89,220,21,24,0,0,0,0,281,416,697
TARVITA,atencion odontologica,exodoncia,2016-10-01,1,1,5,6,4,1,11,53,7,4,0,0,0,0,28,65,93
TEOPONTE,atencion odontologica,exodoncia,2016-10-01,0,0,3,5,4,4,15,24,6,3,0,0,0,0,28,36,64
TIAWANACU,atencion odontologica,exodoncia,2016-10-01,0,0,6,5,1,4,3,14,9,13,0,0,0,0,19,36,55
TINGUIPAYA,atencion odontologica,exodoncia,2016-10-01,0,0,3,3,3,5,11,29,13,24,0,0,0,0,30,61,91
TIPUANI,atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TIQUIPAYA,atencion odontologica,exodoncia,2016-10-01,2,3,19,14,3,12,3,36,34,13,0,0,0,0,61,78,139
TIRAQUE (CBBA),atencion odontologica,exodoncia,2016-10-01,0,0,8,8,4,4,3,11,6,6,0,0,0,0,21,29,50
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,exodoncia,2016-10-01,0,0,0,0,0,1,4,3,0,2,0,0,0,0,4,6,10
TOCO,atencion odontologica,exodoncia,2016-10-01,0,0,3,1,0,1,0,2,1,1,0,0,0,0,4,5,9
TODOS SANTOS,atencion odontologica,exodoncia,2016-10-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
TOLATA,atencion odontologica,exodoncia,2016-10-01,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,4,5
TOLEDO,atencion odontologica,exodoncia,2016-10-01,0,0,4,2,1,1,2,8,3,8,0,0,0,0,10,19,29
TOMAVE,atencion odontologica,exodoncia,2016-10-01,0,0,2,3,1,4,2,8,7,0,0,0,0,0,12,15,27
TOMINA,atencion odontologica,exodoncia,2016-10-01,0,0,5,4,0,0,2,7,2,0,0,0,0,0,9,11,20
TORO TORO,atencion odontologica,exodoncia,2016-10-01,0,0,2,4,1,3,7,7,1,4,0,0,0,0,11,18,29
TOTORA(CBBA),atencion odontologica,exodoncia,2016-10-01,2,1,3,9,0,7,8,9,8,7,0,0,0,0,21,33,54
TOTORA(ORR),atencion odontologica,exodoncia,2016-10-01,0,0,4,0,1,2,6,5,4,12,0,0,0,0,15,19,34
TRIGAL,atencion odontologica,exodoncia,2016-10-01,0,0,4,1,1,1,0,7,0,2,0,0,0,0,5,11,16
TRINIDAD,atencion odontologica,exodoncia,2016-10-01,1,1,38,55,14,24,37,96,20,13,0,0,0,0,110,189,299
TUPIZA,atencion odontologica,exodoncia,2016-10-01,0,1,47,48,22,27,22,47,15,25,0,0,0,0,106,148,254
TURCO,atencion odontologica,exodoncia,2016-10-01,0,3,2,3,0,1,2,2,6,1,0,0,0,0,10,10,20
UMALA,atencion odontologica,exodoncia,2016-10-01,0,0,2,8,3,2,0,17,2,6,0,0,0,0,7,33,40
UNCIA,atencion odontologica,exodoncia,2016-10-01,0,0,4,7,1,2,5,10,4,9,0,0,0,0,14,28,42
URIONDO (A. CONCEPCION),atencion odontologica,exodoncia,2016-10-01,0,1,8,15,6,1,15,27,3,1,0,0,0,0,32,45,77
URUBICHA,atencion odontologica,exodoncia,2016-10-01,0,0,2,1,1,2,0,10,1,0,0,0,0,0,4,13,17
UYUNI,atencion odontologica,exodoncia,2016-10-01,0,0,9,9,5,10,13,49,11,17,0,0,0,0,38,85,123
VACAS,atencion odontologica,exodoncia,2016-10-01,0,0,4,2,0,4,3,12,0,11,0,0,0,0,7,29,36
VALLEGRANDE,atencion odontologica,exodoncia,2016-10-01,0,0,8,6,1,4,7,22,0,14,0,0,0,0,16,46,62
VIACHA,atencion odontologica,exodoncia,2016-10-01,10,3,96,85,12,24,5,37,32,30,0,0,0,0,155,179,334
VILA VILA,atencion odontologica,exodoncia,2016-10-01,0,0,1,0,0,1,0,2,1,1,0,0,0,0,2,4,6
VILLA CHARCAS,atencion odontologica,exodoncia,2016-10-01,0,0,2,6,1,2,2,16,1,10,0,0,0,0,6,34,40
