,group,variable,month,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO < A 6 MESES,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 6 MESES < 1 AÑO,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 1 A 4 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 5 A 9 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 10 A 14 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 15 A 19 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 20 A 39 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 40 A 49 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 50 A 59 AÑOS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TELEDISPOSITIVOS ELECTROCARDIOGRAFO 60 A MAS,TOTALES,TOTALES,TOTALES
LAGUNILLAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3
LAJA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15
LLALLAGUA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,4,0,4,3,12,8,20
LLICA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
MACHACAMARCA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MACHARETI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,4,5
MAIRANA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,4,2,10,3,7,0,0,3,3,8,24,32
MECAPACA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,3,0,2,4,3,0,1,0,1,1,0,1,0,1,8,8,18,15,33
MOCOMOCO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,2,7,2,9
MOJINETE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,0,6,2,8
OCURI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,1,2,2,3,2,5,0,3,2,1,3,3,10,17,27
OMEREQUE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,5,1,6
PAILON,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,4,3,2,1,8,6,5,6,4,2,23,18,41
PELECHUCO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,13
POCOATA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POOPO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,3,2,5,7
PORCO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
POROMA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,5,3,6,7,13
POTOSI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,3,2,1,2,5,6,7,3,7,1,23,14,37
PUCARANI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,4,2,6
PUERTO GONZALO MORENO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3
PUERTO RICO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,3,4,7
PUERTO SUAREZ,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,1,1,0,1,0,2,4,2,3,4,2,6,14,12,24,28,52
PUERTO VILLARROEL,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,1,2,6,9,5,7,9,4,5,7,26,30,56
PUNA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,1,1,3,3,9,12
QUIABAYA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,2,1,0,0,0,5,3,8
QUILLACOLLO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,15,10,12,9,23,28,63,91
QUIME,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,12,10,0,0,0,1,0,0,0,2,0,0,0,0,12,13,25
QUIRUSILLAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,5,4,8,12
RAVELO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,2,0,7,1,32,0,12,4,8,5,62,67
ROBORE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,1,3,6,9
SACABA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,1,0,1,0,1,5,11,4,11,2,6,13,13,24,44,68
SACABAMBA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAMAIPATA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,3,1,3,5,1,7,14,21
SAN ANDRES,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SAN BENITO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,1,0,0,10,11,21
SAN BORJA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,3,3,6
SAN IGNACIO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,7,0,7
SAN JAVIER(STC),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,1,0,1,2,3,7,9,16
SAN JUAN DE YAPACANI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SAN LUCAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,3,3,6,5,11
SAN RAFAEL,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,6,4,10
SAN RAMON BENI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,1,1,2,3,2,0,2,6,1,1,0,1,0,0,8,12,20
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTIAGO DE CALLAPA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,7
SANTIAGO DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,3,3,7,10
SANTUARIO DE QUILLACAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
SENA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,0,3,4,3,7,10,17
SIPE SIPE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,2,0,1,1,2,1,2,5,0,7,3,6,8,17,18,37,55
SOPACHUY,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
SORACACHI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,3,4,7
SUCRE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,1,1,0,0,2,5,1,3,0,1,2,2,6,12,18
TACACOMA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
TARATA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,2,6,2,2,6,2,3,1,4,6,5,17,22,39
TARIJA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,1,5,2,7
TARVITA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,0,5,9,14
TITO YUPANQUI (PARQUIPUJIO),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
TOCO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,4,2,6
TOLATA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,3,2,0,6,8,10,15,25
TOMINA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,11,3,6,2,0,18,22,40
TOTORA(CBBA),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,3,5
URIONDO (A. CONCEPCION),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,2,0,3,2,10,12
URUBICHA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,4,4,6,10
UYUNI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,3,1,4,4,6,1,0,8,10,12,23,26,49
VACAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,3,5
VALLEGRANDE,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,3,0,2,1,10,11
VILA VILA,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA CHARCAS,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,3,2,4,7,11
VILLA MONTES,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,8,11,4,6,5,7,8,5,25,29,54
VILLA SERRANO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,3,3,4,11,15
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLAZON,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,4
VINTO,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,3,2,8,10
VITICHI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,3,1,12,1,21,22
YAMPARAEZ,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,3,0,2,0,3,1,21,22
YANACACHI,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,5,6,0,0,1,0,0,4,0,2,1,0,2,4,9,16,25
ZUDAÑEZ,telesalud,teledispositivos electrocardiografo,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,4,4,6,10
AIQUILE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,1,5,2,2,1,1,7,11,11,20,31
ANCORAIMES,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,5,0,10,1,11
ANDAMARCA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,3,1,5,4,9
ANZALDO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,3,1,0,3,7,10
ARAMPAMPA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,3,3,6
ATOCHA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,1,1,7,8
BATALLAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BELEN DE URMIRI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,3,5,8
BETANZOS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,1,0,6,4,6,10,16,26
BOYUIBE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,1,1,2,6,8
CABEZAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,2,0,3,6,9
"CAIZA ""D""",telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
CALAMARCA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,4,1,5
CARACOLLO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,0,5,2,7
CHIMORE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,1,1,1,0,1,2,2,14,2,10,0,1,3,2,10,30,40
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CLIZA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,5,8,9,11,20
COCAPATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
COCHABAMBA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,5,6,3,4,7,8,23,12,38,32,70
COLCAPIRHUA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,3,2,5,6,10,16,26
"COLCHA ""K""",telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,1,0,1,0,0,1,4,2,3,0,2,3,8,6,19,25
COLLANA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
COLOMI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
COLQUECHACA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
COLQUENCHA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,4,2,6
CONCEPCION,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,2,1,0,0,0,0,0,3,3,1,2,0,2,9,9,14,18,32
CORIPATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,2,4
CORO CORO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,2,0,8,1,4,0,0,1,0,3,14,17
CORQUE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,5,1,4,5,0,0,0,0,0,1,0,0,0,0,0,0,9,7,16
COTOCA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,2,5,7,8,12,20
CUATRO CAÑADAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,1,0,0,0,2,0,2,12,2,6,3,5,3,4,13,27,40
CULPINA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CURAHUARA DE CARANGAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
CURVA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
EL CHORO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
EL PUENTE(STC),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2
EL VILLAR,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,1,7,8
ESCARA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,2,5,7
ESCOMA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
EUREKA (SANTOS MERCADO),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,2,1,7,8
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,3,6,9
GUAYARAMERIN,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,3,4,4,6,12,11,23
GUTIERREZ,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,1,0,0,0,0,0,0,0,3,1,4,0,1,1,2,1,2,3,13,16
HUACARETA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2,4,10,8,13,17,30
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
HUATAJATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2
HUMANATA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
ICHOCA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
INCAHUASI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,4,2,9,11
INQUISIVI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,2,4
IRUPANA (VILLA DE LANZA),telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,1,3,4,6,10
JESUS DE MACHACA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,5,7,12
LA ASUNTA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,2,3,1,8,7,8,5,0,0,19,15,34
LA GUARDIA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,6,6,11,17
LA RIVERA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
LAGUNILLAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,4,2,6
LICOMA PAMPA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,3,3,6,9
LLICA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MACHARETI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,3,4
MAIRANA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,3,1,2,2,9,7,16
MECAPACA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,8,8
MIZQUE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,1,7,3,14,8,22
MOCOMOCO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
MOJINETE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2
MOJOCOYA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,4,4
MONTEAGUDO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,1,5,3,8
OMEREQUE,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,7,1,9,10
PAILON,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,8,10,6,5,10,12,11,5,10,15,45,47,92
PATACAMAYA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,0,3,5,8
PELECHUCO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,3
PORCO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
POTOSI,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,6,5,7,7,19,26
PUERTO ACOSTA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PUERTO CARABUCO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO RICO,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,2,2,5,7
PUERTO SUAREZ,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,2,1,0,7,9,4,9,5,11,13,31,30,61
PUERTO VILLARROEL,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,1,0,0,2,1,8,14,7,14,2,13,10,6,29,49,78
PUNA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,6,1,4,5,19,24
QUIABAYA,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,1,0,2,0,0,2,1,1,1,2,1,1,0,1,3,0,9,7,16
QUIRUSILLAS,telesalud,teledispositivos electrocardiografo,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,3,3,5,8
