,group,variable,month,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO < A 6 MESES,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 6 MESES < 1 AÑO,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 1 A 4 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 5 A 9 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 10 A 14 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 15 A 19 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 20 A 39 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 40 A 49 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 50 A 59 AÑOS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TELEDISPOSITIVOS OTOSCOPIO 60 A MAS,TOTALES,TOTALES,TOTALES
PUERTO ACOSTA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,5
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,2,0,4,4,8
PUERTO GONZALO MORENO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,4,2,3,2,0,0,0,3,0,0,0,0,1,0,8,7,15
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,2,1,6,7,4,5,6,9,6,8,6,5,4,7,34,42,76
PUNA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
SALINAS DE GARCI MENDOZA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,2,3,5
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN BENITO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,3
SAN BORJA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,1,0,0,0,1,0,2,4,1,1,0,1,0,0,5,6,11
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTIAGO DE HUARI,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,2,1,4,4,8
SOPACHUY,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,6,0,1,0,23,23
SORATA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,1,1,1,0,1,3,10,0,5,3,5,7,16,14,39,53
TIAHUANACU,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,7
UMALA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
VILA VILA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLA MONTES,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,5,5
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,3,3,6
WARNES,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,1,3,1,13,14
YAMPARAEZ,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
YOTALA,telesalud,teledispositivos otoscopio,2024-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,2,1,2,8,10
ANCORAIMES,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,5,6
APOLO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3
AUCAPATA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,10,13,3,0,0,1,2,6,0,0,4,1,3,1,22,22,44
AYATA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
AYO AYO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,3,3,6
BELEN DE URMIRI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,3,5,8
CABEZAS,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,1,0,0,0,0,1,1,3,0,2,0,0,1,2,6,8,9,16,25
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,3,4,4,8,12
CAQUIAVIRI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
CARACOLLO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,1,1,0,2,1,2,0,1,1,0,0,0,0,6,3,9
CARAPARI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,3
CARIPUYO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,1,1,0,3,4,8,12
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,10,12,8,0,0,0,3,0,0,0,21,12,33
COLLANA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
COLQUIRI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,4,7,2,0,1,0,2,0,0,0,0,0,0,0,9,7,16
COMBAYA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,3,3,6
CORQUE,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,6,1,10,11
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
EL CHORO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
EL VILLAR,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
ESCOMA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,1,0,0,2,1,2,1,1,0,0,0,4,6,9,9,18
FERNANDEZ ALONSO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,2,3,6,9
GRAL. J.J. PEREZ (CHARAZANI),telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2
GUTIERREZ,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,1,1,5,8,13
HUACARETA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,1,4
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
HUACHACALLA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5
HUARINA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,1,1,2,1,2,0,3,1,0,2,1,1,7,7,0,0,16,13,29
HUMANATA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,3,2,1,5,6,9,19,28
INCAHUASI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0,0,1,4,4,8
INQUISIVI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,3,0,10,0,10,0,30,30
JESUS DE MACHACA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,3
LA ASUNTA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
LAS CARRERAS,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,1,0,2,1,0,0,2,7,2,2,0,3,7,9,14,22,36
MACHACAMARCA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,2,0,0,1,3,6,0,0,2,1,0,2,7,10,17
MIZQUE,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3
MOJINETE,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
OCURI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
OMEREQUE,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,3
PADCAYA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,4,2,4,3,11,7,23,30
PALCA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,1,4,5
PATACAMAYA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,1,0,7,7
PELECHUCO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,1,17,1,1,3,1,1,1,0,3,2,23,8,31
POOPO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PORCO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,3
POROMA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,3,3,6
PUERTO ACOSTA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,5
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,0,4,2,6
PUERTO GONZALO MORENO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,1,4,0,2,0,5,0,3,0,0,0,0,1,14,15
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,1,1,0,1,2,2,1,0,1,1,3,5,4,9,12,9,8,28,32,60
PUNA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
QUIABAYA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,5,5,7,7,14
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,2,1,2,6,5,11
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2
SAN JULIAN,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,0,0,0,0,4,7,11
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,4
SOPACHUY,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
SORATA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,1,2,2,8,10
SUCRE,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,2,0,0,0,0,1,0,1,17,0,1,0,3,1,0,3,23,26
TACACOMA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,1,1,2,1,3,15,18
TOLATA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,3
UNCIA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
VILA VILA,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA SERRANO,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,3,3,6
VILLA VACA GUZMAN (MUYUPAMPA),telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,4,1,5
WALDO BALLIVIAN,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,5,9,8,12,20
WARNES,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,1,4
YAPACANI,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,2,0,0,0,17,17
ZUDAÑEZ,telesalud,teledispositivos otoscopio,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,4,11,15
ACHOCALLA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,2,0,7,7
ANCORAIMES,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,3
AUCAPATA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,2,0,1,1,1,9,1,0,0,0,0,0,5,10,15
AYO AYO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,1,0,2,2,7,6,13
BELEN DE URMIRI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,3,6
"CAIZA ""D""",telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,3
CALAMARCA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,5,1,6
CAMATAQUI (C. VILLA ABECIA),telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,1,2,7,4,4,0,1,8,3,14,17,31
CAMIRI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CAQUIAVIRI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,4,3,6,6,12
CARACOLLO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,1,1,0,0,0,1,2,2,0,1,0,1,0,0,3,6,9
CARIPUYO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,1,0,0,1,5,4,9
CHACARILLA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHUMA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,1,4
CKOCHAS,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
COBIJA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,10,0,3,2,0,0,0,0,0,0,13,2,15
COLLANA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,2,4
COLQUECHACA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
COLQUIRI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,9
COPACABANA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CORQUE,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,2,2,5,5,10
CURAHUARA DE CARANGAS,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
CURVA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,6
EL CHORO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
ESCOMA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,2,1,2,5,6,11
GAIOC JATUN AYLLU YURA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,3,0,0,4,4,6,11,17
GUAQUI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,8,5,9,14
GUTIERREZ,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,2,3,5
HUACARETA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
HUACHACALLA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUARINA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,1,6,7,9,11,20
INCAHUASI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
JESUS DE MACHACA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,5,5,10
LA ASUNTA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LA PAZ,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,4,5
LICOMA PAMPA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LLICA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
MACHACAMARCA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,3,4,7
MOCOMOCO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,7,5,12
MOJINETE,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
OCURI,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
OKINAWA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
OMEREQUE,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,4
ORURO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,8,13,21
PALCA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,3,1,4,5,9
PELECHUCO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,2,2,2,2,2,0,2,1,0,0,0,0,0,0,8,5,13
POOPO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
PORCO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
POROMA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,1,2,0,6,4,10
PORTACHUELO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO ACOSTA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
PUERTO CARABUCO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,1,2,1,1,1,0,0,0,5,3,1,1,3,6,7,13,19,32
PUERTO RICO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,3
PUERTO SUAREZ,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,1,1,2,1,2,1,3,1,2,2,3,5,7,3,7,9,11,23,38,61
PUNA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,3
QUIABAYA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,2,1,5,4,9
SACACA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,5,11
SAMAIPATA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,3,5
SAN ANTONIO DE LOMERIO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BENITO,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
SAN PEDRO DE CURAHUARA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,8,2,6,3,0,0,0,2,0,0,0,0,0,0,14,7,21
SAN PEDRO DE QUEMES,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,4,4
SANTA CRUZ DE LA SIERRA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,3
SANTIAGO DE CALLAPA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
SANTIAGO DE HUATA,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,6
SUCRE,telesalud,teledispositivos otoscopio,2024-11-01,0,0,0,0,3,0,0,0,0,1,0,0,1,18,0,1,0,4,4,0,8,24,32
