,group,variable,month,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS DENTRO,17.24 COVID-19 2DA DOSIS FUERA,17.24 COVID-19 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
ENTRE RIOS TRJ,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,3,3,4,3,7
ENTRE RIOS CBBA,otras vacunaciones,covid-19 2da dosis,2023-08-01,26,3,51,29,77,32,109
ESCOMA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,4,5,2,7,6,13
ESMERALDA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,0,0,1,1,2
EUCALIPTUS,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,2,1,1,5,3,8
FERNANDEZ ALONSO,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,1,1,1,2
FILADELFIA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,4,4,4,5,9
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,0,1,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 2da dosis,2023-08-01,4,7,5,1,9,8,17
GUANAY,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,4,60,71,60,75,135
GUAQUI,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,8,1,1,7,9,16
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis,2023-08-01,8,15,30,33,38,48,86
GUTIERREZ,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,0,2,1,3,4
HUACHACALLA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,2,0,2,0,2
HUANUNI,otras vacunaciones,covid-19 2da dosis,2023-08-01,30,19,3,0,33,19,52
HUARINA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,4,1,1,3,5,8
HUATAJATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,5,5,5,5,10
HUAYLLAMARCA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,2,3,5,3,7,10
ICHOCA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,19,21,19,21,40
INGAVI (HUMAITA),otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,9,1,9,10
INQUISIVI,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,8,6,6,8,14,22
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 2da dosis,2023-08-01,7,3,7,8,14,11,25
IXIAMAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,6,0,6,0,6
JESUS DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-08-01,7,1,13,4,20,5,25
LA ASUNTA,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,8,14,12,18,20,38
LA GUARDIA,otras vacunaciones,covid-19 2da dosis,2023-08-01,15,11,0,0,15,11,26
LA PAZ,otras vacunaciones,covid-19 2da dosis,2023-08-01,93,174,76,120,169,294,463
LAGUNILLAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,2,1,3,1,4
LAJA,otras vacunaciones,covid-19 2da dosis,2023-08-01,7,7,16,15,23,22,45
LICOMA PAMPA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,4,2,0,3,4,7
LLALLAGUA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,1,5,6,7,7,14
LLICA,otras vacunaciones,covid-19 2da dosis,2023-08-01,3,0,0,0,3,0,3
LURIBAY,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,2,20,9,22,11,33
MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,5,0,0,6,5,11
MAGDALENA,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,1,22,17,26,18,44
MAIRANA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,5,8,6,8,14
MALLA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,3,11,11,11,14,25
MAPIRI,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,21,14,21,15,36
MECAPACA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,1,1,1,2,3
MINEROS,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,3,2,1,6,4,10
MIZQUE,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,3,1,4,3,7,10
MOCOMOCO,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,3,7,9,9,12,21
MOJINETE,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,covid-19 2da dosis,2023-08-01,17,10,44,6,61,16,77
MOROCHATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,3,5,9,9,12,21
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 2da dosis,2023-08-01,3,0,0,0,3,0,3
OKINAWA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,1,5,2,6,8
OMEREQUE,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,2,3,2,3,5
ORURO,otras vacunaciones,covid-19 2da dosis,2023-08-01,102,69,23,36,125,105,230
PADILLA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,8,0,0,1,8,9
PALOS BLANCOS,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,6,28,35,29,41,70
PAMPA AULLAGAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,3,2,2,0,5,2,7
PAMPA GRANDE,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,0,0,0,1,1
PAPEL PAMPA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,1,1,5,3,6,9
PASORAPA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,2,1,2,3
PATACAMAYA,otras vacunaciones,covid-19 2da dosis,2023-08-01,14,7,21,14,35,21,56
PAZÑA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,1,1,1,2
PELECHUCO,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,13,1,14,2,16
POCOATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,2,3,3,4,7
POCONA,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,4,17,31,22,35,57
POJO (CBBA),otras vacunaciones,covid-19 2da dosis,2023-08-01,3,8,8,12,11,20,31
POOPO,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,1,0,1,4,2,6
PORONGO,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,3,0,1,5,4,9
PORTACHUELO,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,3,0,0,1,3,4
PORVENIR,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,14,19,14,19,33
POTOSI,otras vacunaciones,covid-19 2da dosis,2023-08-01,15,16,19,25,34,41,75
PUCARANI,otras vacunaciones,covid-19 2da dosis,2023-08-01,7,7,26,16,33,23,56
PUERTO ACOSTA,otras vacunaciones,covid-19 2da dosis,2023-08-01,3,1,6,7,9,8,17
PUERTO CARABUCO,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,2,40,32,44,34,78
PUERTO GONZALO MORENO,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,3,0,5,0,8,8
PUERTO PEREZ,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,8,12,8,12,20
PUERTO SILES,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,12,15,12,15,27
PUERTO SUAREZ,otras vacunaciones,covid-19 2da dosis,2023-08-01,12,5,2,6,14,11,25
PUERTO VILLARROEL,otras vacunaciones,covid-19 2da dosis,2023-08-01,25,21,26,27,51,48,99
PUNA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,3,1,6,2,9,11
PUNATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,9,90,87,94,96,190
QUIABAYA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,2,3,2,3,5
QUILLACOLLO,otras vacunaciones,covid-19 2da dosis,2023-08-01,18,18,109,128,127,146,273
QUIME,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,0,2,4,4,4,8
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 2da dosis,2023-08-01,0,4,3,6,3,10,13
RAVELO,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,14,14,14,14,28
RIBERALTA,otras vacunaciones,covid-19 2da dosis,2023-08-01,10,13,0,0,10,13,23
ROBORE,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,2,33,1,34,3,37
RURRENABAQUE,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,44,5,45,5,50
SABAYA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,6,1,0,3,6,9
SACABA,otras vacunaciones,covid-19 2da dosis,2023-08-01,17,32,215,208,232,240,472
SACABAMBA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,2,0,0,1,2,3
SACACA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,2,6,2,6,8
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,2,14,16,15,18,33
SAMAIPATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,0,2,0,2,2
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-08-01,10,9,0,0,10,9,19
SAN BENITO,otras vacunaciones,covid-19 2da dosis,2023-08-01,8,13,0,0,8,13,21
SAN BORJA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,8,13,21,15,29,44
SAN BUENA VENTURA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,1,1,2,2,4
SAN IGNACIO,otras vacunaciones,covid-19 2da dosis,2023-08-01,31,22,27,29,58,51,109
SAN IGNACIO DE VELASCO,otras vacunaciones,covid-19 2da dosis,2023-08-01,7,1,0,1,7,2,9
SAN JAVIER(STC),otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,0,1,1,1,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,covid-19 2da dosis,2023-08-01,1,2,0,0,1,2,3
SAN LUCAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,10,9,1,0,11,9,20
SAN MATIAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,1,0,1,1,2
SAN PABLO DE LIPEZ,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,0,0,1,0,1
SAN PEDRO,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,6,2,6,2,8
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 2da dosis,2023-08-01,3,2,11,5,14,7,21
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,4,6,5,7,12
SAN PEDRO DE QUEMES,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,6,0,6,1,7
SAN PEDRO(PND),otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,3,6,3,6,9
SAN RAFAEL,otras vacunaciones,covid-19 2da dosis,2023-08-01,3,1,0,0,3,1,4
SAN RAMON BENI,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,16,13,16,14,30
SANTA ANA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 2da dosis,2023-08-01,272,245,118,114,390,359,749
SANTA ROSA DEL SARA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,0,0,1,0,1
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 2da dosis,2023-08-01,16,14,3,2,19,16,35
SANTIAGO DE HUARI,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,21,20,22,20,42
SANTIAGO DE HUATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,5,4,7,9,12,21
SANTIAGO DE MACHACA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,0,0,1,1,2
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,2,5,2,5,7
SAPAHAQUI,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,2,1,2,1,3
SENA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,1,1,1,2,3
SHINAOTA,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,8,28,6,34,14,48
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 2da dosis,2023-08-01,4,8,63,78,67,86,153
SICAYA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,2,3,7,5,9,14
SIPE SIPE,otras vacunaciones,covid-19 2da dosis,2023-08-01,15,20,72,73,87,93,180
SOPACHUY,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,0,0,0,1,1
SORACACHI,otras vacunaciones,covid-19 2da dosis,2023-08-01,3,4,19,11,22,15,37
SORATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,3,9,22,15,25,40
SUCRE,otras vacunaciones,covid-19 2da dosis,2023-08-01,12,20,4,5,16,25,41
TACACHI,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,4,1,4,1,5
TACACOMA,otras vacunaciones,covid-19 2da dosis,2023-08-01,13,13,6,0,19,13,32
TACOBAMBA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,14,12,14,12,26
TACOPAYA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,4,30,42,32,46,78
TAHUA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,0,1,0,1
TAPACARI,otras vacunaciones,covid-19 2da dosis,2023-08-01,18,31,55,49,73,80,153
TARACO,otras vacunaciones,covid-19 2da dosis,2023-08-01,10,1,0,3,10,4,14
TARATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,13,10,13,10,23
TARIJA,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,9,0,1,6,10,16
TARVITA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,2,5,10,5,12,17
TEOPONTE,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,3,10,13,15,16,31
TIAHUANACU,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,3,4,0,6,3,9
TINGUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,5,15,13,20,18,38
TIPUANI,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,14,16,15,17,32
TIQUIPAYA,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,5,14,16,20,21,41
TIRAQUE (CBBA),otras vacunaciones,covid-19 2da dosis,2023-08-01,18,24,20,29,38,53,91
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,1,4,1,5,6
TOCO,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,8,5,6,10,14,24
TOLATA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,1,1,1,1,2
TOLEDO,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,5,5,8,11,13,24
TOMAVE,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,3,8,12,9,15,24
TOMINA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,2,1,3,2,5
TORO TORO,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,4,1,4,1,5
TOTORA(CBBA),otras vacunaciones,covid-19 2da dosis,2023-08-01,12,12,22,27,34,39,73
TOTORA(ORR),otras vacunaciones,covid-19 2da dosis,2023-08-01,2,4,0,0,2,4,6
TRINIDAD,otras vacunaciones,covid-19 2da dosis,2023-08-01,8,19,1,1,9,20,29
TUPIZA,otras vacunaciones,covid-19 2da dosis,2023-08-01,7,8,14,2,21,10,31
TURCO,otras vacunaciones,covid-19 2da dosis,2023-08-01,52,32,7,4,59,36,95
UMALA,otras vacunaciones,covid-19 2da dosis,2023-08-01,11,14,0,0,11,14,25
UNCIA,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,4,2,2,7,6,13
URIONDO (A. CONCEPCION),otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,0,1,0,2,2
URUBICHA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,1,1,0,3,1,4
UYUNI,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,2,4,0,8,2,10
VACAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,2,1,2,5,4,9
VALLEGRANDE,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,0,0,1,2,1,3
VIACHA,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,2,35,9,37,11,48
VILA VILA,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,0,6,0,6,6
VILLA CHARCAS,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,12,0,0,2,12,14
VILLA MONTES,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,2,17,2,21,4,25
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,8,3,8,3,11
VILLA RIVERO,otras vacunaciones,covid-19 2da dosis,2023-08-01,6,3,13,12,19,15,34
VILLA TUNARI,otras vacunaciones,covid-19 2da dosis,2023-08-01,22,27,92,57,114,84,198
VILLAZON,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,3,19,11,24,14,38
VINTO,otras vacunaciones,covid-19 2da dosis,2023-08-01,8,12,18,25,26,37,63
VITICHI,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,3,0,0,1,3,4
WALDO BALLIVIAN,otras vacunaciones,covid-19 2da dosis,2023-08-01,4,3,0,0,4,3,7
WARNES,otras vacunaciones,covid-19 2da dosis,2023-08-01,44,21,7,4,51,25,76
YACO,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,1,20,10,20,11,31
YACUIBA,otras vacunaciones,covid-19 2da dosis,2023-08-01,5,4,6,12,11,16,27
YAMPARAEZ,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,1,0,0,1,1,2
YANACACHI,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,0,9,13,11,13,24
YAPACANI,otras vacunaciones,covid-19 2da dosis,2023-08-01,2,2,0,0,2,2,4
YOCALLA,otras vacunaciones,covid-19 2da dosis,2023-08-01,1,0,7,3,8,3,11
ZUDAÑEZ,otras vacunaciones,covid-19 2da dosis,2023-08-01,0,0,5,9,5,9,14
ACHACACHI,otras vacunaciones,covid-19 2da dosis,2023-09-01,6,9,29,26,35,35,70
ACHOCALLA,otras vacunaciones,covid-19 2da dosis,2023-09-01,9,7,8,11,17,18,35
AIQUILE,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,10,9,12,10,22,32
ALALAY,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,2,2,6,3,8,11
ANCORAIMES,otras vacunaciones,covid-19 2da dosis,2023-09-01,2,3,1,4,3,7,10
ANDAMARCA,otras vacunaciones,covid-19 2da dosis,2023-09-01,5,4,2,0,7,4,11
ANTEQUERA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,1,1,1,1,2
ANZALDO,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,7,10,7,11,18
APOLO,otras vacunaciones,covid-19 2da dosis,2023-09-01,2,3,6,12,8,15,23
ARANI,otras vacunaciones,covid-19 2da dosis,2023-09-01,2,2,17,30,19,32,51
ARBIETO,otras vacunaciones,covid-19 2da dosis,2023-09-01,19,17,45,66,64,83,147
ARQUE,otras vacunaciones,covid-19 2da dosis,2023-09-01,6,5,12,13,18,18,36
ATOCHA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,0,0,1,0,1
AUCAPATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,0,0,0,1,1
AYATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,2,2,14,15,16,17,33
AYO AYO,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,1,0,1,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 2da dosis,2023-09-01,4,7,9,19,13,26,39
BATALLAS,otras vacunaciones,covid-19 2da dosis,2023-09-01,12,9,4,7,16,16,32
BAURES,otras vacunaciones,covid-19 2da dosis,2023-09-01,3,1,0,0,3,1,4
BELLA FLOR,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,4,2,4,2,6
BERMEJO,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,1,1,1,2,2,4
BETANZOS,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,2,0,0,0,2,2
BOLIVAR,otras vacunaciones,covid-19 2da dosis,2023-09-01,8,12,15,27,23,39,62
BOLPEBRA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,0,0,0,1,1
CAIROMA,otras vacunaciones,covid-19 2da dosis,2023-09-01,6,14,25,29,31,43,74
CAJUATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,8,9,2,5,10,14,24
CALACOTO,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,3,2,3,2,5
CALAMARCA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,2,1,2,2,4,6
CAMARGO,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,0,1,1,1,2
CAPINOTA,otras vacunaciones,covid-19 2da dosis,2023-09-01,12,16,28,29,40,45,85
CAQUIAVIRI,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,4,1,4,2,6
CARACOLLO,otras vacunaciones,covid-19 2da dosis,2023-09-01,14,15,3,3,17,18,35
CARANAVI,otras vacunaciones,covid-19 2da dosis,2023-09-01,22,18,30,8,52,26,78
CARIPUYO,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,0,0,0,1,1
CATACORA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,0,1,0,1,1
CHACARILLA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,30,6,17,10,47,16,63
CHAQUI,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,1,0,0,1,1,2
CHARAÑA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,0,0,1,0,1
CHIMORE,otras vacunaciones,covid-19 2da dosis,2023-09-01,5,8,95,70,100,78,178
CHIPAYA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,1,0,1,1,2
CHUA COCANI,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,4,8,4,8,12
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 2da dosis,2023-09-01,7,2,28,36,35,38,73
CHUMA,otras vacunaciones,covid-19 2da dosis,2023-09-01,4,4,9,7,13,11,24
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,0,0,1,0,1
CKOCHAS,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,2,0,0,1,2,3
CLIZA,otras vacunaciones,covid-19 2da dosis,2023-09-01,5,1,41,48,46,49,95
COBIJA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,3,10,4,10,14
COCAPATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,64,41,46,54,110,95,205
COCHABAMBA,otras vacunaciones,covid-19 2da dosis,2023-09-01,69,114,523,380,592,494,1086
COLCAPIRHUA,otras vacunaciones,covid-19 2da dosis,2023-09-01,4,5,87,56,91,61,152
"COLCHA ""K""",otras vacunaciones,covid-19 2da dosis,2023-09-01,1,2,0,0,1,2,3
COLLANA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,2,0,1,1,3,4
COLOMI,otras vacunaciones,covid-19 2da dosis,2023-09-01,34,27,33,38,67,65,132
COLQUENCHA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,4,8,8,8,12,20
COLQUIRI,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,3,6,6,6,9,15
COMANCHE,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,1,2,1,2,3
COMBAYA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,2,9,3,9,12
COPACABANA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,0,0,1,0,1
CORIPATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,5,32,26,33,31,64
CORO CORO,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,21,2,22,2,24
COROICO,otras vacunaciones,covid-19 2da dosis,2023-09-01,5,5,3,0,8,5,13
CORQUE,otras vacunaciones,covid-19 2da dosis,2023-09-01,23,17,0,3,23,20,43
COTAGAITA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,5,2,5,2,7
COTOCA,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,0,1,8,2,8,10
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,5,2,5,2,7
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,6,14,6,15,21
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 2da dosis,2023-09-01,6,1,17,1,23,2,25
CURVA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,0,8,0,8,8
DESAGUADERO,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,1,3,1,3,4
EL ALTO,otras vacunaciones,covid-19 2da dosis,2023-09-01,122,203,115,144,237,347,584
EL CHORO,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,1,10,13,11,14,25
EL PUENTE(TJA),otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,1,0,1,0,1
EL TORNO,otras vacunaciones,covid-19 2da dosis,2023-09-01,1,3,0,5,1,8,9
ENTRE RIOS CBBA,otras vacunaciones,covid-19 2da dosis,2023-09-01,48,29,69,56,117,85,202
ESCOMA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,3,2,3,2,5
EUCALIPTUS,otras vacunaciones,covid-19 2da dosis,2023-09-01,2,2,0,0,2,2,4
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,1,2,1,3,4
FILADELFIA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,1,11,9,11,10,21
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 2da dosis,2023-09-01,2,6,9,5,11,11,22
GUANAY,otras vacunaciones,covid-19 2da dosis,2023-09-01,2,9,40,22,42,31,73
GUAQUI,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,4,0,0,0,4,4
GUAYARAMERIN,otras vacunaciones,covid-19 2da dosis,2023-09-01,5,12,0,0,5,12,17
HUACARETA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 2da dosis,2023-09-01,1,1,3,2,4,3,7
HUANUNI,otras vacunaciones,covid-19 2da dosis,2023-09-01,30,35,4,4,34,39,73
HUARINA,otras vacunaciones,covid-19 2da dosis,2023-09-01,2,1,5,3,7,4,11
HUATAJATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,3,2,3,2,5
HUAYLLAMARCA,otras vacunaciones,covid-19 2da dosis,2023-09-01,5,6,5,4,10,10,20
HUMANATA,otras vacunaciones,covid-19 2da dosis,2023-09-01,3,0,0,0,3,0,3
ICHOCA,otras vacunaciones,covid-19 2da dosis,2023-09-01,0,0,15,17,15,17,32
