,group,variable,month,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) DENTRO,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,17.27 COVID-19 DOSIS ANUAL (4TA DOSIS) FUERA,TOTALES,TOTALES,TOTALES
SICAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,3,8,17,19,20,27,47
SIPE SIPE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,15,27,100,140,115,167,282
SORACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,8,10,19,25,27,35,62
SORATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,4,6,1,6,5,12,17
SUCRE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,60,85,18,36,78,121,199
TACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,1,1,0,1,1,2,3
TACACOMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,3,2,10,9,13,11,24
TACOBAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,1,17,16,17,17,34
TACOPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,9,8,57,70,66,78,144
TAPACARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,60,74,64,95,124,169,293
TARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,1,0,0,0,1,0,1
TARACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,7,4,1,2,8,6,14
TARATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,1,3,30,21,31,24,55
TARIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,8,23,3,8,11,31,42
TARVITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,3,0,1,3,4,3,7
TEOPONTE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,4,3,6,11,10,14,24
TIAHUANACU,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,5,4,3,6,8,10,18
TINGUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,1,15,18,15,19,34
TIPUANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,0,49,47,49,47,96
TIQUIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,10,8,40,45,50,53,103
TIRAQUE (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,11,26,28,28,39,54,93
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,10,8,0,0,10,8,18
TOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,9,11,7,8,16,19,35
TOLATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,4,3,2,5,6,8,14
TOLEDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,32,34,5,2,37,36,73
TOMAVE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,7,7,36,53,43,60,103
TOMINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,0,3,2,3,2,5
TORO TORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,2,3,5,7,7,10,17
TOTORA(CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,23,23,19,33,42,56,98
TOTORA(ORR),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,9,7,6,6,15,13,28
TRIGAL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,1,3,0,0,1,3,4
TRINIDAD,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,1,2,6,2,7,9
TUPIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,33,53,82,101,115,154,269
TURCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,74,38,7,6,81,44,125
UMALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,1,0,0,0,1,1
UNCIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,6,8,6,13,12,21,33
URUBICHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,0,1,1,1,1,2
UYUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,64,21,3,2,67,23,90
VACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,4,6,16,21,20,27,47
VALLEGRANDE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,2,8,5,13,7,21,28
VIACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,5,9,93,11,98,20,118
VILA VILA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,0,27,29,27,29,56
VILLA CHARCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,4,0,0,0,4,4
VILLA MONTES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,17,10,5,1,22,11,33
VILLA NUEVA (LOMA ALTA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,0,2,4,2,4,6
VILLA RIVERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,7,10,18,16,25,26,51
VILLA TUNARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,65,42,196,91,261,133,394
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,8,5,14,19,22,24,46
VINTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,25,26,20,21,45,47,92
VITICHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,10,15,5,13,15,28,43
WALDO BALLIVIAN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,2,0,0,0,2,2
WARNES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,84,71,9,5,93,76,169
YACO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,2,3,17,11,19,14,33
YACUIBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,8,6,25,39,33,45,78
YAMPARAEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,2,1,4,7,6,8,14
YANACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,5,9,10,19,15,28,43
YAPACANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,4,15,0,1,4,16,20
YOCALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,2,3,8,7,10,10,20
YOTALA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,2,0,0,0,2,2
YUNCHARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,0,3,3,3,3,6
ZUDAÑEZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-08-01,0,0,9,23,9,23,32
ACHACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,12,11,17,32,29,43,72
ACHOCALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,2,2,5,5,7,12
AIQUILE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,17,16,9,22,26,38,64
ALALAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,5,2,3,2,8,10
ALTO BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,0,21,8,24,8,32
ANCORAIMES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,0,1,0,2,2
ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,16,10,5,3,21,13,34
ANTEQUERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,4,7,7,11,11,22
ANZALDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,17,18,18,18,36
APOLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,7,8,7,9,16
ARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,4,23,30,26,34,60
ARBIETO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,44,53,112,124,156,177,333
ARQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,12,46,54,53,66,119
ATOCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,3,7,3,8,11
AYATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,1,2,2,5,3,8
AYO AYO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,1,2,4,4,5,9
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,31,35,80,99,111,134,245
AZURDUY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,0,0,1,0,1
BATALLAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,3,8,6,11,9,20
BAURES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,15,13,0,0,15,13,28
BELEN DE ANDAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,11,6,11,6,17
BELLA FLOR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,20,1,20,1,21
BERMEJO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,3,2,4,2,6
BETANZOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,3,1,0,4,3,7
BOLIVAR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,4,21,24,24,28,52
BOLPEBRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,0,5,6,8,6,14
CAIROMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,5,5,19,17,24,22,46
CAJUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,5,2,2,5,7,12
CALACOTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,4,4,4,4,8
CALAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,1,4,3,7,4,11
CAMARGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,4,5,3,5,7,12
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,0,0,1,0,1
CAPINOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,32,15,45,54,77,69,146
CARACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,15,30,5,9,20,39,59
CARANAVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,15,14,20,6,35,20,55
CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,1,0,0,1,1,2
CATACORA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,0,1,0,1,1
CHALLAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,36,23,16,14,52,37,89
CHARAÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,1,3,2,3,5
CHIMORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,19,17,165,123,184,140,324
CHIPAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,5,4,5,5,10
CHOQUE COTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,0,1,0,3,0,3
CHUA COCANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,3,2,4,5,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,13,12,12,14,25,26,51
CHUMA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,2,9,8,12,10,22
CKOCHAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,0,1,0,2,2
CLIZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,5,14,68,115,73,129,202
COBIJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,6,10,9,12,15,27
COCAPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,15,13,6,14,21,27,48
COCHABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,305,465,870,1174,1175,1639,2814
COIPASA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,3,0,0,0,3,3
COLCAPIRHUA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,16,239,254,246,270,516
"COLCHA ""K""",otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,1,0,0,7,1,8
COLLANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,0,2,0,4,0,4
COLOMI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,21,25,12,13,33,38,71
COLQUENCHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,11,9,5,13,16,29
COLQUIRI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,3,6,5,8,8,16
COMANCHE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,0,1,0,1,1
COMBAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,6,8,6,9,15
COPACABANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,2,2,3,2,5
CORIPATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,2,13,13,14,15,29
CORO CORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,7,12,8,18,15,33
COROICO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,3,6,3,12,6,18
CORQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,54,40,0,0,54,40,94
COTAGAITA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,5,13,20,16,25,41
COTOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,8,1,9,7,17,24
CRUZ DE MACHACAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,0,2,0,2,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,6,6,14,6,20,26
CULPINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,1,2,4,4,5,9
CURAHUARA DE CARANGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,3,1,0,3,3,6
CURVA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,1,1,1,1,2
DESAGUADERO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,1,0,2,1,3,4
EL ALTO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,130,220,124,138,254,358,612
EL CHORO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,1,4,4,5,5,10
EL PUENTE(TJA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,2,3,2,3,5
EL TORNO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,0,4,8,7,8,15
ENTRE RIOS CBBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,37,41,69,50,106,91,197
ESMERALDA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,7,1,0,8,7,15
EUCALIPTUS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,7,1,8,4,12
EUREKA (SANTOS MERCADO),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,2,0,3,1,5,6
FILADELFIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,2,4,3,4,7
GAIOC JATUN AYLLU YURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,0,0,2,2,2,4
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,8,1,8,1,9
GUANAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,5,8,34,23,39,31,70
GUAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,3,0,0,2,3,5
GUAYARAMERIN,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,68,54,0,0,68,54,122
HUACARETA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,1,2,1,2,3
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,2,17,21,17,23,40
HUACHACALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,3,4,3,4,7
HUANUNI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,52,40,7,10,59,50,109
HUARINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,10,7,11,7,18
HUATAJATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,1,0,0,1,1,2
HUAYLLAMARCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,11,10,5,18,16,28,44
HUMANATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,0,0,0,1,1
ICHOCA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,12,15,12,15,27
ICLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,6,6,6,8,12,20
INCAHUASI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,7,6,13,12,20,32
INGAVI (HUMAITA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,2,1,2,1,3
INQUISIVI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,2,6,7,10,9,19
IRUPANA (VILLA DE LANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,12,24,22,31,34,65
IXIAMAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,5,6,5,6,11
JESUS DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,5,6,21,15,26,21,47
LA ASUNTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,3,9,7,16,10,26
LA GUARDIA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,22,20,0,4,22,24,46
LA PAZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,336,616,669,418,1005,1034,2039
LA RIVERA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,1,3,1,3,4
LAJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,13,7,12,13,25,38
LAS CARRERAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,21,15,22,15,37
LICOMA PAMPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,2,4,5,5,7,12
LURIBAY,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,1,0,1,0,1
MACHARETI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,9,8,20,14,29,43
MAGDALENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,72,55,72,55,127
MALLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,0,0,0,1,1
MIZQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,5,15,18,29,23,44,67
MOCOMOCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,6,2,4,6,10,16
MONTEAGUDO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,0,3,1,3,4
MOROCHATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,26,34,65,61,91,95,186
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,4,2,4,2,6
NAZACARA DE PACAJES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,4,6,4,6,10
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,3,3,3,3,6
OMEREQUE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,6,8,6,8,14
ORURO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,125,119,89,100,214,219,433
PADILLA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,8,1,0,8,8,16
PALOS BLANCOS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,8,6,6,12,14,26
PAMPA AULLAGAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,2,2,1,5,3,8
PASORAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,16,13,17,13,30
PATACAMAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,10,8,7,0,17,8,25
PAZÑA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,1,14,23,20,24,44
PELECHUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,2,0,5,3,7,10
POCONA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,13,13,45,64,58,77,135
POJO (CBBA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,17,20,20,23,37,43,80
POOPO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,3,4,4,7,7,11,18
PORONGO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,5,1,2,5,7,12
PORVENIR,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,1,1,2,4,6
POTOSI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,35,70,38,48,73,118,191
PUCARANI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,4,2,3,4,7,11
PUERTO ACOSTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,5,6,9,8,14,22
PUERTO CARABUCO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,10,5,11,8,19
PUERTO PEREZ,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,2,6,4,6,6,12
PUERTO VILLARROEL,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,18,21,72,62,90,83,173
PUNATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,21,29,32,40,53,69,122
QUIABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,1,13,17,13,18,31
QUILLACOLLO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,104,173,784,763,888,936,1824
QUIME,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,7,9,11,10,18,19,37
RAQAYPAMPA(ETA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,13,22,29,20,42,42,84
RAVELO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,18,17,19,20,39
RIBERALTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,8,15,0,0,8,15,23
ROBORE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,5,5,0,7,5,12
SABAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,13,13,20,31,33,44,77
SACABA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,77,130,423,553,500,683,1183
SACABAMBA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,2,3,10,3,12,15
SACACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,6,3,6,3,9
SALINAS DE GARCI MENDOZA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,11,9,7,10,18,19,37
SAN ANDRES DE MACHACA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,5,1,6,1,7
SAN BENITO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,35,34,0,0,35,34,69
SAN BORJA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,1,3,2,6,8
SAN BUENA VENTURA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,8,13,9,13,22
SAN IGNACIO,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,1,14,12,16,13,29
SAN LUCAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,6,6,0,0,6,6,12
SAN PEDRO DE BUENA VISTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,5,0,0,1,5,6
SAN PEDRO DE CURAHUARA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,6,1,1,3,7,10
SAN PEDRO DE MACHA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,1,0,0,4,1,5
SAN PEDRO DE TIQUINA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,2,1,0,0,2,1,3
SAN PEDRO(PND),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,11,7,11,7,18
SAN RAMON BENI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,1,0,0,4,1,5
SANTA ANA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,331,243,181,145,512,388,900
SANTIAGO DE CALLAPA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,2,0,0,0,2,2
SANTIAGO DE HUARI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,23,31,24,34,58
SANTIAGO DE HUATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,4,5,6,8,10,13,23
SANTIVAÑES,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,14,11,1,3,15,14,29
SANTUARIO DE QUILLACAS,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,16,23,16,23,39
SAPAHAQUI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,1,7,5,8,6,14
SENA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,0,0,3,1,3,1,4
SHINAOTA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,10,29,58,55,68,84,152
SICA SICA (VILLA AROMA),otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,8,4,19,25,27,29,56
SICAYA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,5,13,13,26,18,39,57
SIPE SIPE,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,23,28,166,227,189,255,444
SORACACHI,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,9,9,17,17,26,26,52
SORATA,otras vacunaciones,covid-19 dosis anual (4ta dosis),2023-09-01,1,3,5,8,6,11,17
