municipality,group,variable,month,9. Días camas disponibles maternidad,TOTAL
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,31,31
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,372,372
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
ICHOCA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,2,2
ICLA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,403,403
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,403,403
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,30,30
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,340,340
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,338,338
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1076,1076
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,14351,14351
LAJA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,341,341
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,372,372
LLICA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,61,61
LORETO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,23,23
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,92,92
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,308,308
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
MALLA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,217,217
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,87,87
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,649,649
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,30,30
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,309,309
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,960,960
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,2928,2928
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,118,118
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,58,58
OCURI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,744,744
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,186,186
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
ORURO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,4806,4806
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,341,341
PAILON,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,197,197
PALCA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,148,148
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,248,248
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,31,31
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
PASORAPA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,276,276
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,31,31
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,744,744
POCONA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,402,402
POJO (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,279,279
POOPO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,92,92
PORCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,85,85
POROMA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,928,928
PORONGO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
PORTACHUELO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,429,429
POTOSI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,3743,3743
PRESTO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,310,310
PUCARANI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,340,340
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,149,149
PUERTO PEREZ,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,31,31
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,279,279
PUERTO RICO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,90,90
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1240,1240
PUNA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,527,527
PUNATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1023,1023
QUIABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
QUILLACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1953,1953
QUIME,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
QUIRUSILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,527,527
REYES,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
RIBERALTA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1612,1612
ROBORE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,368,368
RURRENABAQUE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,248,248
SABAYA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SACABA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1952,1952
SACABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
SACACA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,157,157
SAIPINA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,58,58
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,310,310
SAMAIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SAN ANDRES,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,3,3
SAN BENITO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,186,186
SAN BORJA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,373,373
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,31,31
SAN IGNACIO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,310,310
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1364,1364
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,155,155
SAN JOAQUIN,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,169,169
SAN JUAN DE YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,106,106
SAN JULIAN,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,702,702
SAN LORENZO(PND),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,27,27
SAN LUCAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1397,1397
SAN MATIAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,280,280
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,155,155
SAN PEDRO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,157,157
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,246,246
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,496,496
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,61,61
SAN RAFAEL,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SAN RAMON BENI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SANTA ANA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,248,248
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,21070,21070
SANTA ROSA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,122,122
SANTIAGO DE CALLAPA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
SANTIAGO DE HUARI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,279,279
SANTIAGO DE HUATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
SANTIAGO DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,31,31
SANTIVAÑES,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,155,155
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
SAPAHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SENA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,69,69
SHINAOTA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,465,465
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SICAYA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,123,123
SIPE SIPE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,372,372
SOPACHUY,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,310,310
SORACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,64,64
SORATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
SUCRE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,2855,2855
TACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
TACACOMA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,61,61
TACOBAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,122,122
TACOPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,155,155
TAPACARI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
TARABUCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,465,465
TARACO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,59,59
TARATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
TARIJA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1998,1998
TARVITA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,868,868
TEOPONTE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
TIAHUANACU,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
TIPUANI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,155,155
TIQUIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,717,717
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,651,651
TOCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,151,151
TOLATA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,310,310
TOMINA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,682,682
TORO TORO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,208,208
TOTORA(CBBA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,397,397
TOTORA(ORR),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
TRINIDAD,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1371,1371
TUPIZA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,527,527
TURCO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,279,279
UNCIA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,186,186
URUBICHA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,8,8
UYUNI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,558,558
VACAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,248,248
VALLEGRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,320,320
VIACHA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1056,1056
VILA VILA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,155,155
VILLA CHARCAS,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,372,372
VILLA MONTES,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,372,372
VILLA RIVERO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,186,186
VILLA SERRANO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,465,465
VILLA TUNARI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,1634,1634
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles maternidad,2024-10-01,403,403
VILLAZON,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,589,589
VINTO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,682,682
VITICHI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,93,93
WARNES,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,763,763
YACO,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,124,124
YACUIBA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,943,943
YAMPARAEZ,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,310,310
YANACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,62,62
YAPACANI,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,476,476
YOTALA,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,310,310
ZUDAÑEZ,internaciones dias camas,dias camas disponibles maternidad,2024-10-01,279,279
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,420,420
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,210,210
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,150,150
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
APOLO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,118,118
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,118,118
ARANI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,240,240
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,390,390
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,420,420
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,208,208
AUCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
AYATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2024-11-01,863,863
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,510,510
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
BAURES,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,444,444
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,571,571
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,200,200
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,56,56
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2024-11-01,351,351
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,77,77
CALACOTO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,118,118
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,300,300
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,384,384
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,330,330
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
CARACOLLO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,266,266
CARANAVI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,420,420
CARAPARI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
CARIPUYO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,86,86
CHALLAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,420,420
CHAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,210,210
CHARAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,750,750
CHARAÑA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
CHAYANTA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
CHIMORE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,271,271
CHIPAYA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
CHOQUE COTA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
CHUMA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,45,45
CKOCHAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,360,360
CLIZA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,450,450
COBIJA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,1396,1396
COCAPATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,570,570
COCHABAMBA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,10230,10230
COLCAPIRHUA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,540,540
"COLCHA ""K""",internaciones dias camas,dias camas disponibles maternidad,2024-11-01,330,330
COLLANA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,28,28
COLOMI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,450,450
COLPA BELGICA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
COLQUECHACA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,300,300
COLQUENCHA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
COLQUIRI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,95,95
COMARAPA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
CONCEPCION,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,150,150
CORIPATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,179,179
COROICO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,270,270
CORQUE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,360,360
COTAGAITA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,210,210
COTOCA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,600,600
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
CUEVO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
CULPINA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,568,568
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,150,150
DESAGUADERO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,88,88
EL ALTO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,7089,7089
EL CHORO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,360,360
EL PUENTE(STC),internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
EL TORNO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,750,750
EL VILLAR,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,240,240
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,450,450
ESCARA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
ESCOMA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
EUCALIPTUS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
EXALTACION,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,84,84
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,58,58
GUANAY,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,276,276
GUAQUI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
GUAYARAMERIN,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,690,690
GUTIERREZ,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
HUACARAJE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
HUACARETA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,531,531
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
HUACHACALLA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
HUANUNI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,360,360
HUARINA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
HUATAJATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,62,62
HUMANATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
ICHOCA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,2,2
ICLA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,390,390
INCAHUASI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,390,390
INQUISIVI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
IXIAMAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,84,84
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,299,299
LA ASUNTA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,415,415
LA GUARDIA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,1080,1080
LA PAZ,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,12121,12121
LAGUNILLAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,21,21
LAJA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
LAS CARRERAS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
LICOMA PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,89,89
LLALLAGUA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,360,360
LLICA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,57,57
LURIBAY,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,117,117
MACHACAMARCA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,12,12
MACHARETI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,330,330
MAGDALENA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
MAIRANA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
MALLA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
MAPIRI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,180,180
MECAPACA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,31,31
MINEROS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
MIZQUE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,630,630
MOCOMOCO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,29,29
MOJOCOYA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,300,300
MONTEAGUDO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,810,810
MONTERO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,2910,2910
MOROCHATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,117,117
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
OCURI,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,720,720
OKINAWA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,186,186
OMEREQUE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
ORURO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,4373,4373
PADILLA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,330,330
PAILON,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,218,218
PALCA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,144,144
PALOS BLANCOS,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,300,300
PAMPA GRANDE,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,90,90
PAPEL PAMPA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,30,30
PATACAMAYA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,240,240
PAZÑA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,120,120
PELECHUCO,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,60,60
POCOATA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,720,720
POCONA,internaciones dias camas,dias camas disponibles maternidad,2024-11-01,420,420
