,group,variable,month,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) DENTRO,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTAL PENTAVALENTE 5TA. DOSIS (2DO. REFUERZO) FUERA,TOTALES
LAGUNILLAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,5,3,10
LAJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,9,9,11,16,45
LAS CARRERAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,1,6,9
LICOMA PAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,0,0,2
LLALLAGUA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,8,15,23,51
LLICA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,1,6,3,10
LORETO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,2,0,1,6
LURIBAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,2,1,0,3
MACHACAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,2,0,0,3
MACHARETI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,9,5,4,4,22
MAGDALENA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,2,0,0,4
MAIRANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,6,0,0,11
MALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,1,0,1
MAPIRI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,11,5,6,4,26
MECAPACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,2,6,3,12
MINEROS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,1,3,1,5
MIZQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,10,8,10,6,34
MOCOMOCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,4,7,3,17
MOJINETE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,0,1
MOJOCOYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,3,0,1,5
MONTEAGUDO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,16,6,7,4,33
MONTERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,55,48,23,17,143
MORO MORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,1,5,1,9
MOROCHATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,2,4,9,15
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,0,1,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,0,1
OCURI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,0,1,3
OKINAWA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,3,1,2,10
OMEREQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,0,8,4,14
ORURO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,96,89,23,14,222
PADCAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,3,0,1,8
PADILLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,7,7,0,0,14
PAILON,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,10,30,34,79
PALCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,3,5,5,16
PALOS BLANCOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,7,9,1,2,19
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,0,0,0,2
PAMPA GRANDE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,8,5,2,3,18
PASORAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,5,2,8
PATACAMAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,9,0,0,14
PAZÑA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,4,3,0,9
PELECHUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,0,0,0,4
POCOATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,21,31,54
POCONA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,1,11,11,28
POJO (CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,1,5,7,16
POOPO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,1,0,0,1
PORCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,19,13,33
POROMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,11,2,8,10,31
PORONGO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,6,6,4,21
PORTACHUELO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,8,6,0,0,14
PORVENIR,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,3,8,4,20
POSTRER VALLE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,1,1,3,5
POTOSI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,63,60,41,26,190
PRESTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,4,7,13
PUCARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,0,1
PUCARANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,11,5,7,1,24
PUERTO ACOSTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,6,3,9
PUERTO CARABUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,5,3,9
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,2,5,5,15
PUERTO PEREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,0,1,1,6
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,5,0,1,10
PUERTO RICO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,1,1,2
PUERTO SILES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,1,2
PUERTO SUAREZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,7,3,3,19
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,21,25,11,5,62
PUNA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,6,11,11,34
PUNATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,11,3,2,22
QUIABAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,1,1,0,2
QUILLACOLLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,39,36,61,70,206
QUIME,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,2,0,0,4
RAVELO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,3,11,14,28
REYES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,4,0,0,9
RIBERALTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,31,35,21,23,110
ROBORE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,10,1,0,17
RURRENABAQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,10,13,0,0,23
SABAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,0,0,2
SACABA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,30,39,19,17,105
SACABAMBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,1,0,1,2
SACACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,0,4,4,11
SAIPINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,0,0,2
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,2,4,7,15
SAMAIPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,8,2,3,19
SAN AGUSTIN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,1,16,17,37
SAN ANDRES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,8,9,6,24
SAN ANDRES DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,0,1,3
SAN ANTONIO DE ESMORUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,4,5,2,12
SAN BENITO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,4,5,7,20
SAN BORJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,15,17,12,13,57
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,6,0,0,10
SAN CARLOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,12,7,15,10,44
SAN IGNACIO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,8,10,8,8,34
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,12,18,10,8,48
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,2,1,4
SAN JAVIER(STC),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,7,6,5,5,23
SAN JOAQUIN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,2,0,0,3
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,13,8,15,14,50
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,1,2,1,7
SAN JULIAN,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,27,25,34,36,122
SAN LORENZO(PND),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,2,3,0,6
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,11,10,1,1,23
SAN LUCAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,17,17,13,17,64
SAN MATIAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,0,0,2
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,10,20,22,55
SAN PEDRO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,9,10,3,1,23
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,14,8,40,26,88
SAN PEDRO DE CURAHUARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,1,0,0,3
SAN PEDRO DE QUEMES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,0,0,0,2
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,3,4,2,11
SAN PEDRO(PND),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,1,0,1
SAN RAFAEL,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,0,1
SAN RAMON BENI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,1,0,6,9
SAN RAMON SCZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,4,1,1,11
SANTA ANA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,2,14,8,28
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,545,514,167,215,1441
SANTA ROSA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,5,0,0,10
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,6,2,0,11
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,0,0,2,4
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,1,1,2
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,2,2,4
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,1,0,2
SANTIVAÑES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,3,0,1,9
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,0,0,2
SAPAHAQUI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,1,3,3,10
SENA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,2,6,14,24
SHINAOTA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,11,9,2,4,26
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,5,2,4,15
SICAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,0,4,7,14
SIPE SIPE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,26,17,20,15,78
SOPACHUY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,1,0,1,7
SORACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,2,0,2
SORATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,8,8,5,23
SUCRE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,138,110,109,115,472
TACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,0,1,0,1
TACACOMA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,2,1,2,9
TACOBAMBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,6,6,4,18
TACOPAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,3,6,11
TAPACARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,5,11,14,36
TARABUCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,10,8,5,27
TARACO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,2,0,0,2
TARATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,2,0,3,8
TARIJA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,65,71,58,77,271
TARVITA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,7,7,7,6,27
TEOPONTE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,2,2,1,6
TIAWANACU,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,2,2,1,6
TINGUIPAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,2,30,26,63
TIPUANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,0,1,3,6
TIQUIPAYA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,22,22,19,19,82
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,4,2,5,13
TITO YUPANQUI (PARQUIPUJIO),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,2,0,0,2
TOCO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,0,0,0,4
TOLATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,2,1,4,8
TOLEDO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,1,1,0,2
TOMAVE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,16,9,26
TOMINA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,8,4,4,19
TORO TORO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,9,8,28,30,75
TOTORA(CBBA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,5,5,4,18
TOTORA(ORR),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,3,0,0,3
TRIGAL,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,1,2
TRINIDAD,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,42,32,94,62,230
TUPIZA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,24,27,11,10,72
UMALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,1,1,4,9
UNCIA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,8,9,13,7,37
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,1,1,2,7
UYUNI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,3,0,0,8
VACAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,2,0,0,6
VALLEGRANDE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,12,9,1,4,26
VIACHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,21,28,12,16,77
VILA VILA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,0,0,2,3
VILLA CHARCAS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,13,9,9,37
VILLA MONTES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,19,18,6,5,48
VILLA NUEVA (LOMA ALTA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,2,3,5,10
VILLA RIVERO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,4,1,4,12
VILLA SERRANO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,5,0,1,10
VILLA TUNARI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,37,51,8,6,102
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,6,2,1,2,11
VILLAZON,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,14,18,2,2,36
VINTO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,27,18,33,41,119
VITICHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,4,2,0,3,9
WARNES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,67,51,12,13,143
YACUIBA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,37,40,15,28,120
YAMPARAEZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,4,2,1,9
YANACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,1,1,1,0,3
YAPACANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,16,13,36,25,90
YOCALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,3,1,0,1,5
YOTALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,2,1,3,4,10
YUNCHARA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,0,2,5,3,10
ZUDAÑEZ,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-10-01,5,0,5,3,13
ACACIO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,2,2,2,2,8
ACHACACHI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,4,5,11,6,26
ACHOCALLA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,1,3,1,3,8
AIQUILE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,3,3,19,18,43
ALALAY,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,1,1,5,2,9
ALCALA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,1,1,2,1,5
ALTO BENI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,9,4,1,1,15
ANCORAIMES,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,2,3,6,10,21
ANDAMARCA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,3,1,0,1,5
ANTEQUERA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,4,4,3,3,14
ANZALDO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,2,2,26,16,46
APOLO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,8,5,4,6,23
ARAMPAMPA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,1,1,0,2,4
ARANI,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,2,5,3,4,14
ARBIETO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,15,12,14,17,58
ARQUE,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,6,6,13,5,30
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,19,15,18,22,74
ATOCHA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,5,2,0,0,7
AUCAPATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,1,0,0,0,1
AYATA,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,0,0,4,1,5
AYO AYO,vacunacion en ninos de 4 anos,total pentavalente 5ta. dosis (2do. refuerzo),2015-11-01,1,0,0,2,3
