,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,23,4,27
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,10,9,19
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,44,3,47
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,7,12,19
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,35,2,37
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,115,7,122
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,5,2,7
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,14,8,22
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,86,15,101
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,1,2,3
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,11,1,12
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,9,7,16
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,129,14,143
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,9,4,13
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,67,9,76
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,105,0,105
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,11,4,15
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,2,0,2
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,249,38,287
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,5,3,8
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,179,20,199
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,9,1,10
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,2,13,15
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,118,11,129
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,15,10,25
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,8,6,14
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,2,7,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-10-01,3,4,7
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,3,7
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,38,25,63
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,17,10,27
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,20,19,39
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,3,4
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,4,8
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,23,2,25
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,7,15
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,2,4
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,2,8
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,20,12,32
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,0,5,5
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,24,1,25
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,23,12,35
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,20,7,27
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,59,1,60
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,17,8,25
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,1,7
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,5,11
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,12,1,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,21,25,46
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,7,6,13
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,23,15,38
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,9,0,9
BELEN DE URMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,0,3,3
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,3,4
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,39,20,59
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,34,14,48
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,9,7,16
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,1,3
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,1,9
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,11,3,14
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,46,53,99
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,9,6,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,14,4,18
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,14,3,17
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,0,6,6
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,12,6,18
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,19,9,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,0,1
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,61,2,63
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,32,6,38
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,11,2,13
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,17,17,34
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,68,21,89
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,22,7,29
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,13,19
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,5,5,10
CATACORA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,1,2
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,46,13,59
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,12,6,18
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,26,59,85
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,15,14,29
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,51,9,60
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,0,3
CHUA COCANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,1,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,22,7,29
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,10,12,22
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,13,5,18
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,28,11,39
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,21,11,32
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,108,13,121
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,13,20,33
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1157,14,1171
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,112,10,122
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,3,11
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,30,12,42
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,12,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,28,47,75
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,12,2,14
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,12,27,39
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,3,7
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,27,2,29
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,5,1,6
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,34,4,38
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,11,6,17
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,17,3,20
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,5,11
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,21,10,31
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,7,4,11
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,23,7,30
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,126,9,135
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,36,12,48
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,5,9
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,13,22,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,7,3,10
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,3,5
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,0,6
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1334,192,1526
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,20,2,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,14,3,17
EL TORNO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,88,10,98
EL VILLAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,5,4,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,20,16,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,68,7,75
ESCARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,0,2
ESCOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,10,4,14
EUCALIPTUS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,1,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,9,0,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,24,6,30
FILADELFIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,5,13
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,23,4,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,0,12,12
GUANAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,24,12,36
GUAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,5,4,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,97,24,121
GUTIERREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,14,13,27
HUACARETA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,23,7,30
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,4,7
HUACHACALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,45,4,49
HUARACAJE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,0,3
HUARINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,3,6
HUATAJATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,1,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,3,4
HUMANATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,5,7
ICHOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,4,7
ICLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,8,16
INCAHUASI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,17,12,29
INQUISIVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,9,15
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,20,7,27
IXIAMAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,16,2,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,10,2,12
LA ASUNTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,74,8,82
LA GUARDIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,166,1,167
LA PAZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1176,23,1199
LAGUNILLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,1,9
LAJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,19,4,23
LAS CARRERAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,5,8
LLALLAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,42,50,92
LLICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,5,0,5
LORETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,32,33
LURIBAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,7,15
MACHACAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,13,1,14
MAGDALENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,20,3,23
MAIRANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,19,2,21
MALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,5,8
MAPIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,25,0,25
MECAPACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,12,6,18
MINEROS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,41,6,47
MIZQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,42,14,56
MOCOMOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,10,10,20
MOJINETE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,4,8
MONTEAGUDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,32,3,35
MONTERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,229,4,233
MORO MORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,5,1,6
MOROCHATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,0,18,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,0,2,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,0,3
OCURI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,21,24
OKINAWA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,36,2,38
OMEREQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,7,5,12
ORURO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,534,0,534
PADCAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,22,2,24
PADILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,15,2,17
PAILON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,47,83,130
PALCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,4,10
PALOS BLANCOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,41,11,52
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,13,3,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,7,0,7
PASORAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,34,12,46
PAZÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,6,4,10
PELECHUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,9,2,11
POCOATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,7,46,53
POCONA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,8,11
POJO (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,19,6,25
POOPO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,11,2,13
PORCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,27,3,30
POROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,16,18,34
PORONGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,14,10,24
PORTACHUELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,43,1,44
PORVENIR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,3,11
POSTRER VALLE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,1,1,2
POTOSI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,367,12,379
PRESTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,3,11,14
PUCARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,27,17,44
PUERTO ACOSTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,10,18,28
PUERTO CARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,5,23,28
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,7,7,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,8,1,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,19,4,23
PUERTO RICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,11,6,17
PUERTO SILES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,4,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,33,4,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,110,6,116
PUNA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,15,14,29
PUNATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,47,2,49
QUIABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,2,1,3
QUILLACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2013-11-01,190,21,211
