,group,variable,month,PENTAVALENTE 2DA. DOSIS,PENTAVALENTE 2DA. DOSIS,TOTALES
COCAPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,14,20,34
COCHABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1158,14,1172
COLCAPIRHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,111,10,121
"COLCHA ""K""",vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,3,11
COLLANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,0,4
COLOMI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,30,12,42
COLPA BELGICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,12,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,28,47,75
COLQUENCHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,12,2,14
COLQUIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,12,27,39
COMANCHE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,3,7
COMARAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,27,2,29
COMBAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,1,6
CONCEPCION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,34,4,38
COPACABANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,6,17
CORIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,30,3,33
CORO CORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,5,11
COROICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,21,10,31
CORQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,4,11
COTAGAITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,23,7,30
COTOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,125,9,134
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,36,12,48
CUEVO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,5,9
CULPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,13,22,35
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,3,10
CURVA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,3,5
DESAGUADERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,0,6
EL ALTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1367,192,1559
EL CHORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,4,8
EL PUENTE(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,20,2,22
EL PUENTE(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,14,3,17
EL TORNO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,80,10,90
EL VILLAR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,4,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,20,16,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,68,7,75
ESCARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,0,2
ESCOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,4,14
EUCALIPTUS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,1,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,0,9
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,24,6,30
FILADELFIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,5,13
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,23,4,27
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,0,12,12
GUANAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,24,12,36
GUAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,4,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,101,27,128
GUTIERREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,14,13,27
HUACARETA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,23,7,30
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,4,7
HUACHACALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,45,4,49
HUARACAJE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
HUARINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,3,6
HUATAJATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,1,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,3,4
HUMANATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,5,7
ICHOCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,4,7
ICLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,8,16
INCAHUASI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,17,12,29
INQUISIVI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,9,15
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,20,7,27
IXIAMAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,16,2,18
JESUS DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,2,12
LA ASUNTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,74,8,82
LA GUARDIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,161,1,162
LA PAZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1177,23,1200
LAGUNILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,1,9
LAJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,19,4,23
LAS CARRERAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,5,8
LLALLAGUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,42,51,93
LLICA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,1,5
LORETO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,36,37
LURIBAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,7,15
MACHACAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,0,6
MACHARETI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,13,1,14
MAGDALENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,20,3,23
MAIRANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,19,2,21
MALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,5,8
MAPIRI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,25,0,25
MECAPACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,12,6,18
MINEROS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,41,6,47
MIZQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,42,14,56
MOCOMOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,10,20
MOJINETE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,0,2
MOJOCOYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,4,8
MONTEAGUDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,32,3,35
MONTERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,226,4,230
MORO MORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,0,5
MOROCHATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,0,18,18
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,0,2,2
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
OCURI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,21,24
OKINAWA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,36,2,38
OMEREQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,5,12
ORURO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,537,0,537
PADCAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,22,2,24
PADILLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,15,2,17
PAILON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,47,83,130
PALCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,4,10
PALOS BLANCOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,41,11,52
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,1,4
PAMPA GRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,13,3,16
PAPEL PAMPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,0,7
PASORAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,0,2
PATACAMAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,34,12,46
PAZÑA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,4,10
PELECHUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,2,11
POCOATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,46,53
POCONA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,8,11
POJO (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,19,6,25
POOPO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,2,13
PORCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,27,3,30
POROMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,16,18,34
PORONGO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,14,10,24
PORTACHUELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,43,1,44
PORVENIR,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,3,11
POSTRER VALLE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,1,2
POTOSI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,366,12,378
PRESTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,11,14
PUCARANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,27,17,44
PUERTO ACOSTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,18,28
PUERTO CARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,23,28
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,7,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,1,9
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,19,4,23
PUERTO RICO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,6,17
PUERTO SILES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,33,4,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,110,7,117
PUNA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,15,14,29
PUNATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,47,2,49
QUIABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,1,3
QUILLACOLLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,190,21,211
QUIME,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,5,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,1,3
RAVELO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,17,14,31
REYES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,22,14,36
RIBERALTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,228,47,275
ROBORE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,25,3,28
RURRENABAQUE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,30,10,40
SABAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
SACABA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,231,3,234
SACABAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
SACACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,27,40,67
SAIPINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,7,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,7,16
SAMAIPATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,3,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,8,17
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,4,8
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,6,12
SAN BENITO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,14,7,21
SAN BORJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,83,32,115
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,20,3,23
SAN CARLOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,30,3,33
SAN IGNACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,38,23,61
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,114,17,131
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,4,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,23,0,23
SAN JOAQUIN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,1,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,25,1,26
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,15,4,19
SAN JULIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,82,41,123
SAN LORENZO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,11,18
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,28,5,33
SAN LUCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,29,27,56
SAN MATIAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,19,9,28
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,16,0,16
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,18,0,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,28,38,66
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,8,13
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,1,10
SAN PEDRO(PND),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,0,1,1
SAN RAFAEL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,4,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,11,17
SAN RAMON SCZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,15,2,17
SANTA ANA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,33,6,39
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2648,63,2711
SANTA ROSA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,20,2,22
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,27,2,29
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,5,8
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,4,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,7,10
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,1,4
SANTIVAÑES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,1,7
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,1,6
SAPAHAQUI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,1,12
SENA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,2,5
SHINAOTA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,41,4,45
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,19,10,29
SICAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,0,4
SIPE SIPE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,100,1,101
SOPACHUY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,8,12
SORACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,5,15
SORATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,18,27
SUCRE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,531,32,563
TACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,0,1
TACACOMA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,1,12
TACOBAMBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,3,14
TACOPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,3,14
TAHUA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,0,3,3
TAPACARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,31,14,45
TARABUCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,9,17
TARACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,1,11
TARATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,6,16
TARIJA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,365,16,381
TARVITA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,15,13,28
TEOPONTE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,14,2,16
TIAWANACU,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,17,8,25
TINGUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,33,8,41
TIPUANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,4,11
TIQUIPAYA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,97,37,134
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,23,19,42
TOCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
TOLATA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,5,9
TOLEDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,1,4
TOMAVE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,15,26
TOMINA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,10,12
TORO TORO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,13,14,27
TOTORA(CBBA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,19,5,24
TOTORA(ORR),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,2,1,3
TRIGAL,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,6,0,6
TRINIDAD,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,253,7,260
TUPIZA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,80,9,89
TURCO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,1,4
UMALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,4,5,9
UNCIA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,35,11,46
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,22,2,24
URUBICHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,12,4,16
UYUNI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,55,7,62
VACAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,7,8,15
VALLEGRANDE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,14,2,16
VIACHA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,83,30,113
VILA VILA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,7,16
VILLA CHARCAS,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,18,4,22
VILLA MONTES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,62,17,79
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,0,3
VILLA RIVERO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,8,6,14
VILLA SERRANO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,7,17
VILLA TUNARI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,101,15,116
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,13,6,19
VILLAZON,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,71,6,77
VINTO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,62,1,63
VITICHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,10,3,13
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,2,7
WARNES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,202,6,208
YACO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,1,2,3
YACUIBA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,123,18,141
YAMPARAEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,11,3,14
YANACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,9,2,11
YAPACANI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,104,7,111
YOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,15,1,16
YOTALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,5,3,8
YUNCHARA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,7,10
ZUDAÑEZ,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-11-01,3,8,11
ACACIO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,2,10,12
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,31,12,43
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,13,4,17
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,31,6,37
ALALAY,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,0,2,2
ALCALA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,2,0,2
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,15,1,16
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,12,6,18
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,3,1,4
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,7,0,7
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,1,7,8
APOLO,vacunaciones en menores de 1 ano,pentavalente 2da. dosis,2013-12-01,29,12,41
