,group,variable,month,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) DENTRO,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,PENTAVALENTE 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
UYUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,9,6,3,4,22
VACAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,0,0,4,5,9
VALLEGRANDE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,2,3,0,0,5
VIACHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,6,4,2,3,15
VILA VILA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,0,1,0,1,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,0,1,2,1,4
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,4,5,8,7,24
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,0,0,2,6,8
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,2,1,5,3,11
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,1,0,1,2,4
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,27,16,11,19,73
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,1,0,0,0,1
VILLAZON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,1,5,2,2,10
VINTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,3,3,17,11,34
VITICHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,3,1,0,2,6
WARNES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,28,31,1,1,61
YACUIBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,6,9,10,3,28
YAMPARAEZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,0,1,0,1,2
YANACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,1,0,0,0,1
YAPACANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,9,11,4,4,28
YOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,1,1,0,0,2
YOTALA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-10-01,1,0,0,0,1
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,4,0,3,12
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,1,7,2,13
AIQUILE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,6,4,12
ALALAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,0,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,1,1
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,2,1,3
ANTEQUERA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,0,1
ANZALDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,3,4,1,9
APOLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,1,1,3
ARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,5,4,12
ARQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,2,0,2,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,5,0,0,10
ATOCHA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,4,1,0,3,8
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,2,2,5
AYATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
AYO AYO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,4,12,4,21
BATALLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,4,5,0,10
BAURES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,1,2
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,1,2
BERMEJO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,3,0,0,4
BETANZOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,0,0,2,4
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,4,0,0,6
CABEZAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,4,4,18,14,40
CAIROMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,1,3,6
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,2,1,4,7
CAJUATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,0,0,3
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,3,1,0,9
CAMARGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,1,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,7,5,0,2,14
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,1,1,4
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,2,0,0,4
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,4,2,3,3,12
CARANAVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,9,9,7,15,40
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,2,0,0,3
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,7,2,4,15
CHAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,4,0,0,6
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,4,1,21,29,55
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,2,1,1,5
CHIMORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,0,11,5,18
CHIPAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,4,3,1,2,10
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,3,3,6
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,2,2,1,5
CLIZA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,4,4,11
COBIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,10,5,9,5,29
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,115,120,33,38,306
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,11,13,6,7,37
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,4,0,3,9
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,0,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,5,2,10
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,6,3,12,2,23
COMARAPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,0,0,2
COMBAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,6,9,7,8,30
COPACABANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,1,0,2
CORIPATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,7,5,1,0,13
CORO CORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,3,0,3,11
CORQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,0,0,2
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,5,1,1,7
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,22,20,2,1,45
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,3,0,1,5
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,2,1,1,4
CULPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,2,1,3,6
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,1,1,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,102,103,93,105,403
EL CHORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,0,0,2
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,2,1,1,5
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,6,8,2,1,17
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,2,0,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,3,0,4,12
ESCOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,1,2
EUCALIPTUS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,1,0,2
EXALTACION,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,2,0,0,5
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,1,3,1,8
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,0,1,3
GUANAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,2,0,3
GUAQUI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,14,7,10,14,45
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,0,0,0,5
HUACARETA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,3,0,0,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,0,1
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,1,7,8,19
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,0,0,1
HUARINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,2,1,3
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,0,2,2,7
HUAYLLAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,1,2
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,0,0,1,3
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,0,0,0,3
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,2,3,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,1,1,0,7
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,3,0,1,9
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,1,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,6,4,3,2,15
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,21,23,17,23,84
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,114,124,32,25,295
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,2,2,2,7
LAJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,2,1,1,7
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,7,3,14,9,33
LLICA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,4,5
LORETO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,3,4
LURIBAY,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,0,1,4
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,0,0,0,2
MACHARETI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,9,18,30
MAIRANA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,2,0,0,3
MAPIRI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,3,1,2,8
MECAPACA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,2,3,5
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,4,5,4,15
MIZQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,9,8,11,9,37
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,2,1,2,6
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,1,1
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,2,1,1,9
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,13,23,2,6,44
MORO MORO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,0,0,2
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,1,3,5
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,6,4,0,0,10
OCURI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,0,0,0,2
OKINAWA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,0,0,1,4
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,1,2
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,30,38,15,29,112
PADCAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,4,0,0,7
PADILLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,4,4,20,11,39
PALCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,6,4,3,5,18
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,4,3,0,8
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,2,1,4
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,1,1,3
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,6,1,0,12
PAZÑA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,4,0,0,4
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,0,1,4
POCOATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,2,1,4
POCONA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,2,0,2
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,1,3,1,7
POOPO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,2,3,0,6
PORCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
POROMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,2,1,3
PORONGO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,0,3,1,6
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,12,3,0,0,15
PORVENIR,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,3,3
POSTRER VALLE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,0,2,2
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,12,13,6,4,35
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,1,2
PUERTO ACOSTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,3,0,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,1,2,5
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,2,3
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,3,1,5
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,5,2,0,0,7
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,1,2,1,5
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,9,1,1,1,12
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,8,13,4,3,28
PUNA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,0,1,0,1
PUNATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,10,1,3,16
QUIABAYA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,2,0,1,6
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,14,13,35,26,88
QUIME,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,2,0,0,5
QUIRUSILLAS,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,0,1,0,0,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,1,0,2,2,5
REYES,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,2,3,0,0,5
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,23,21,9,8,61
ROBORE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,4,2,1,3,10
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,pentavalente 4ta. dosis (1er. refuerzo),2016-11-01,3,4,0,1,8
