,group,variable,month,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL < DE 1 AÑO,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 1 A MENOR DE 2 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTAL TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
LORETO,estado nutricional,total talla normal,2014-09-01,42,38,49,39,69,80,160,157,317
LURIBAY,estado nutricional,total talla normal,2014-09-01,51,58,42,42,39,28,132,128,260
MACHACAMARCA,estado nutricional,total talla normal,2014-09-01,31,39,27,28,34,20,92,87,179
MACHARETI,estado nutricional,total talla normal,2014-09-01,69,67,54,59,97,87,220,213,433
MAGDALENA,estado nutricional,total talla normal,2014-09-01,118,94,84,86,83,72,285,252,537
MAIRANA,estado nutricional,total talla normal,2014-09-01,0,2,0,0,0,1,0,3,3
MALLA,estado nutricional,total talla normal,2014-09-01,11,14,15,12,20,15,46,41,87
MAPIRI,estado nutricional,total talla normal,2014-09-01,118,138,107,103,111,101,336,342,678
MECAPACA,estado nutricional,total talla normal,2014-09-01,94,67,72,62,66,73,232,202,434
MINEROS,estado nutricional,total talla normal,2014-09-01,177,173,168,158,152,147,497,478,975
MIZQUE,estado nutricional,total talla normal,2014-09-01,296,335,224,221,126,217,646,773,1419
MOCOMOCO,estado nutricional,total talla normal,2014-09-01,77,61,67,78,68,63,212,202,414
MOJINETE,estado nutricional,total talla normal,2014-09-01,5,11,10,5,10,6,25,22,47
MOJOCOYA,estado nutricional,total talla normal,2014-09-01,55,49,41,38,112,118,208,205,413
MONTEAGUDO,estado nutricional,total talla normal,2014-09-01,239,216,190,190,258,249,687,655,1342
MONTERO,estado nutricional,total talla normal,2014-09-01,1137,1096,879,781,559,583,2575,2460,5035
MORO MORO,estado nutricional,total talla normal,2014-09-01,19,13,17,17,29,21,65,51,116
MOROCHATA,estado nutricional,total talla normal,2014-09-01,80,66,46,67,91,95,217,228,445
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla normal,2014-09-01,19,17,14,8,15,16,48,41,89
NAZACARA DE PACAJES,estado nutricional,total talla normal,2014-09-01,4,3,1,6,6,0,11,9,20
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,total talla normal,2014-09-01,38,21,27,18,49,26,114,65,179
OCURI,estado nutricional,total talla normal,2014-09-01,105,132,68,84,82,76,255,292,547
OKINAWA,estado nutricional,total talla normal,2014-09-01,154,127,115,90,90,80,359,297,656
OMEREQUE,estado nutricional,total talla normal,2014-09-01,72,78,68,72,94,73,234,223,457
ORURO,estado nutricional,total talla normal,2014-09-01,2059,2302,1741,1729,1203,1142,5003,5173,10176
PADCAYA,estado nutricional,total talla normal,2014-09-01,139,148,146,126,157,149,442,423,865
PAILON,estado nutricional,total talla normal,2014-09-01,226,220,143,122,129,125,498,467,965
PALCA,estado nutricional,total talla normal,2014-09-01,109,102,86,70,48,59,243,231,474
PALOS BLANCOS,estado nutricional,total talla normal,2014-09-01,301,243,175,202,217,196,693,641,1334
PAMPA AULLAGAS,estado nutricional,total talla normal,2014-09-01,27,25,17,16,13,12,57,53,110
PAMPA GRANDE,estado nutricional,total talla normal,2014-09-01,2,1,5,5,0,2,7,8,15
PAPEL PAMPA,estado nutricional,total talla normal,2014-09-01,39,31,41,50,49,42,129,123,252
PASORAPA,estado nutricional,total talla normal,2014-09-01,29,18,35,18,25,31,89,67,156
PATACAMAYA,estado nutricional,total talla normal,2014-09-01,131,155,113,120,62,86,306,361,667
PAZÑA,estado nutricional,total talla normal,2014-09-01,52,53,41,43,68,58,161,154,315
PELECHUCO,estado nutricional,total talla normal,2014-09-01,62,46,47,35,54,65,163,146,309
POCOATA,estado nutricional,total talla normal,2014-09-01,163,153,126,152,135,129,424,434,858
POCONA,estado nutricional,total talla normal,2014-09-01,87,83,65,79,77,78,229,240,469
POJO (CBBA),estado nutricional,total talla normal,2014-09-01,100,93,81,67,78,90,259,250,509
POOPO,estado nutricional,total talla normal,2014-09-01,49,44,39,53,27,32,115,129,244
PORCO,estado nutricional,total talla normal,2014-09-01,114,87,45,70,50,53,209,210,419
POROMA,estado nutricional,total talla normal,2014-09-01,115,90,91,110,166,152,372,352,724
PORONGO,estado nutricional,total talla normal,2014-09-01,65,49,57,55,65,70,187,174,361
PORTACHUELO,estado nutricional,total talla normal,2014-09-01,99,89,44,46,30,22,173,157,330
PORVENIR,estado nutricional,total talla normal,2014-09-01,4,3,0,1,4,3,8,7,15
POTOSI,estado nutricional,total talla normal,2014-09-01,1430,1414,956,954,708,666,3094,3034,6128
PRESTO,estado nutricional,total talla normal,2014-09-01,57,57,55,46,67,89,179,192,371
PUCARA,estado nutricional,total talla normal,2014-09-01,10,6,13,6,27,15,50,27,77
PUCARANI,estado nutricional,total talla normal,2014-09-01,173,189,160,159,105,127,438,475,913
PUERTO ACOSTA,estado nutricional,total talla normal,2014-09-01,52,57,50,52,50,43,152,152,304
PUERTO CARABUCO,estado nutricional,total talla normal,2014-09-01,92,69,64,94,113,94,269,257,526
PUERTO GONZALO MORENO,estado nutricional,total talla normal,2014-09-01,120,59,101,80,91,128,312,267,579
PUERTO PEREZ,estado nutricional,total talla normal,2014-09-01,34,29,34,41,42,37,110,107,217
PUERTO QUIJARRO,estado nutricional,total talla normal,2014-09-01,166,133,110,128,75,82,351,343,694
PUERTO RICO,estado nutricional,total talla normal,2014-09-01,68,101,52,70,50,50,170,221,391
PUERTO SILES,estado nutricional,total talla normal,2014-09-01,15,7,6,2,7,9,28,18,46
PUERTO SUAREZ,estado nutricional,total talla normal,2014-09-01,143,120,76,93,54,68,273,281,554
PUERTO VILLARROEL,estado nutricional,total talla normal,2014-09-01,782,691,550,480,421,432,1753,1603,3356
PUNA,estado nutricional,total talla normal,2014-09-01,161,143,151,127,150,154,462,424,886
PUNATA,estado nutricional,total talla normal,2014-09-01,36,31,16,17,13,21,65,69,134
QUIABAYA,estado nutricional,total talla normal,2014-09-01,21,32,17,15,28,24,66,71,137
QUILLACOLLO,estado nutricional,total talla normal,2014-09-01,1815,1558,1251,1164,1265,1174,4331,3896,8227
QUIME,estado nutricional,total talla normal,2014-09-01,76,94,61,64,76,70,213,228,441
QUIRUSILLAS,estado nutricional,total talla normal,2014-09-01,4,0,1,2,1,4,6,6,12
RAVELO,estado nutricional,total talla normal,2014-09-01,14,9,11,12,12,13,37,34,71
REYES,estado nutricional,total talla normal,2014-09-01,103,110,69,71,776,64,948,245,1193
RIBERALTA,estado nutricional,total talla normal,2014-09-01,725,768,620,559,421,519,1766,1846,3612
ROBORE,estado nutricional,total talla normal,2014-09-01,116,109,75,77,42,46,233,232,465
RURRENABAQUE,estado nutricional,total talla normal,2014-09-01,124,157,53,73,34,58,211,288,499
SABAYA,estado nutricional,total talla normal,2014-09-01,26,13,22,14,25,23,73,50,123
SACABA,estado nutricional,total talla normal,2014-09-01,1135,1213,897,859,553,563,2585,2635,5220
SACABAMBA,estado nutricional,total talla normal,2014-09-01,35,45,26,26,25,19,86,90,176
SACACA,estado nutricional,total talla normal,2014-09-01,38,50,50,42,37,54,125,146,271
SAIPINA,estado nutricional,total talla normal,2014-09-01,54,59,38,57,63,61,155,177,332
SALINAS DE GARCI MENDOZA,estado nutricional,total talla normal,2014-09-01,107,120,70,85,97,98,274,303,577
SAMAIPATA,estado nutricional,total talla normal,2014-09-01,0,1,0,2,1,0,1,3,4
SAN AGUSTIN,estado nutricional,total talla normal,2014-09-01,16,14,11,9,15,18,42,41,83
SAN ANDRES,estado nutricional,total talla normal,2014-09-01,86,84,74,81,115,132,275,297,572
SAN ANDRES DE MACHACA,estado nutricional,total talla normal,2014-09-01,12,10,23,17,13,12,48,39,87
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla normal,2014-09-01,9,9,14,9,5,3,28,21,49
SAN ANTONIO DE LOMERIO,estado nutricional,total talla normal,2014-09-01,46,59,50,67,144,169,240,295,535
SAN BENITO,estado nutricional,total talla normal,2014-09-01,146,110,75,77,67,95,288,282,570
SAN BORJA,estado nutricional,total talla normal,2014-09-01,413,460,298,304,293,297,1004,1061,2065
SAN BUENA VENTURA,estado nutricional,total talla normal,2014-09-01,79,82,65,86,73,67,217,235,452
SAN CARLOS,estado nutricional,total talla normal,2014-09-01,189,210,157,159,164,147,510,516,1026
SAN IGNACIO,estado nutricional,total talla normal,2014-09-01,272,233,178,168,242,263,692,664,1356
SAN IGNACIO DE VELASCO,estado nutricional,total talla normal,2014-09-01,658,689,427,379,398,388,1483,1456,2939
SAN JAVIER(BNI),estado nutricional,total talla normal,2014-09-01,23,21,17,11,46,35,86,67,153
SAN JAVIER(STC),estado nutricional,total talla normal,2014-09-01,141,95,83,80,105,110,329,285,614
SAN JOAQUIN,estado nutricional,total talla normal,2014-09-01,54,38,33,32,24,18,111,88,199
SAN JOSE DE CHIQUITOS,estado nutricional,total talla normal,2014-09-01,105,118,94,92,67,75,266,285,551
SAN JUAN DE YAPACANI,estado nutricional,total talla normal,2014-09-01,69,80,65,49,42,40,176,169,345
SAN JULIAN,estado nutricional,total talla normal,2014-09-01,443,416,478,410,434,442,1355,1268,2623
SAN LORENZO(PND),estado nutricional,total talla normal,2014-09-01,50,54,43,46,57,50,150,150,300
SAN LORENZO(TJA),estado nutricional,total talla normal,2014-09-01,231,224,158,138,150,143,539,505,1044
SAN LUCAS,estado nutricional,total talla normal,2014-09-01,149,132,132,132,231,261,512,525,1037
SAN MATIAS,estado nutricional,total talla normal,2014-09-01,102,99,66,47,51,43,219,189,408
SAN MIGUEL DE VELASCO,estado nutricional,total talla normal,2014-09-01,124,133,70,84,119,102,313,319,632
SAN PABLO DE LIPEZ,estado nutricional,total talla normal,2014-09-01,23,24,13,20,23,16,59,60,119
SAN PEDRO,estado nutricional,total talla normal,2014-09-01,113,131,105,93,100,86,318,310,628
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla normal,2014-09-01,181,175,161,148,143,150,485,473,958
SAN PEDRO DE CURAHUARA,estado nutricional,total talla normal,2014-09-01,30,31,28,28,34,23,92,82,174
SAN PEDRO DE QUEMES,estado nutricional,total talla normal,2014-09-01,6,6,4,7,5,2,15,15,30
SAN PEDRO DE TIQUINA,estado nutricional,total talla normal,2014-09-01,24,20,28,25,38,27,90,72,162
SAN PEDRO(PND),estado nutricional,total talla normal,2014-09-01,9,11,13,10,27,20,49,41,90
SAN RAFAEL,estado nutricional,total talla normal,2014-09-01,68,44,58,42,57,59,183,145,328
SAN RAMON BENI,estado nutricional,total talla normal,2014-09-01,39,50,35,26,26,39,100,115,215
SAN RAMON SCZ,estado nutricional,total talla normal,2014-09-01,72,93,73,50,66,59,211,202,413
SANTA ANA,estado nutricional,total talla normal,2014-09-01,240,195,97,108,93,95,430,398,828
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla normal,2014-09-01,9727,8905,5173,4757,4200,3829,19100,17491,36591
SANTA ROSA,estado nutricional,total talla normal,2014-09-01,115,97,77,73,54,81,246,251,497
SANTA ROSA DEL SARA,estado nutricional,total talla normal,2014-09-01,120,136,101,116,79,86,300,338,638
SANTIAGO DE CALLAPA,estado nutricional,total talla normal,2014-09-01,15,12,18,13,14,22,47,47,94
SANTIAGO DE HUARI,estado nutricional,total talla normal,2014-09-01,94,95,70,69,83,57,247,221,468
SANTIAGO DE HUATA,estado nutricional,total talla normal,2014-09-01,39,30,41,36,43,51,123,117,240
SANTIAGO DE MACHACA,estado nutricional,total talla normal,2014-09-01,23,21,17,34,10,15,50,70,120
SANTIVAÑES,estado nutricional,total talla normal,2014-09-01,82,59,63,35,48,52,193,146,339
SANTUARIO DE QUILLACAS,estado nutricional,total talla normal,2014-09-01,29,30,30,15,20,17,79,62,141
SAPAHAQUI,estado nutricional,total talla normal,2014-09-01,58,48,52,53,52,57,162,158,320
SENA,estado nutricional,total talla normal,2014-09-01,64,68,55,41,35,42,154,151,305
SHINAOTA,estado nutricional,total talla normal,2014-09-01,357,320,283,245,284,224,924,789,1713
SICA SICA (VILLA AROMA),estado nutricional,total talla normal,2014-09-01,150,145,107,123,154,119,411,387,798
SICAYA,estado nutricional,total talla normal,2014-09-01,39,31,19,26,29,24,87,81,168
SIPE SIPE,estado nutricional,total talla normal,2014-09-01,474,420,389,340,261,248,1124,1008,2132
SOPACHUY,estado nutricional,total talla normal,2014-09-01,52,60,41,58,74,77,167,195,362
SORACACHI,estado nutricional,total talla normal,2014-09-01,92,83,81,98,84,96,257,277,534
SORATA,estado nutricional,total talla normal,2014-09-01,116,99,101,97,139,125,356,321,677
SUCRE,estado nutricional,total talla normal,2014-09-01,2435,2409,1925,1921,1879,1879,6239,6209,12448
TACACHI,estado nutricional,total talla normal,2014-09-01,6,3,6,4,3,16,15,23,38
TACACOMA,estado nutricional,total talla normal,2014-09-01,31,37,19,26,30,28,80,91,171
TACOBAMBA,estado nutricional,total talla normal,2014-09-01,66,79,63,70,34,36,163,185,348
TACOPAYA,estado nutricional,total talla normal,2014-09-01,41,55,50,55,56,75,147,185,332
TAHUA,estado nutricional,total talla normal,2014-09-01,8,10,9,15,6,10,23,35,58
TAPACARI,estado nutricional,total talla normal,2014-09-01,167,154,177,158,173,170,517,482,999
TARABUCO,estado nutricional,total talla normal,2014-09-01,90,108,89,87,142,128,321,323,644
TARACO,estado nutricional,total talla normal,2014-09-01,27,24,18,15,19,19,64,58,122
TARATA,estado nutricional,total talla normal,2014-09-01,35,21,24,9,22,22,81,52,133
TARIJA,estado nutricional,total talla normal,2014-09-01,1808,1587,1281,1136,1064,921,4153,3644,7797
TARVITA,estado nutricional,total talla normal,2014-09-01,100,96,86,74,144,150,330,320,650
TEOPONTE,estado nutricional,total talla normal,2014-09-01,97,67,96,104,175,160,368,331,699
TIAWANACU,estado nutricional,total talla normal,2014-09-01,62,67,76,55,39,42,177,164,341
TINGUIPAYA,estado nutricional,total talla normal,2014-09-01,136,114,87,92,75,67,298,273,571
TIPUANI,estado nutricional,total talla normal,2014-09-01,121,109,99,64,103,91,323,264,587
TIQUIPAYA,estado nutricional,total talla normal,2014-09-01,475,414,359,363,343,283,1177,1060,2237
TIRAQUE (CBBA),estado nutricional,total talla normal,2014-09-01,136,144,114,122,102,93,352,359,711
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla normal,2014-09-01,11,3,2,5,9,12,22,20,42
TOCO,estado nutricional,total talla normal,2014-09-01,55,55,38,42,49,65,142,162,304
TODOS SANTOS,estado nutricional,total talla normal,2014-09-01,0,0,1,1,1,0,2,1,3
TOLATA,estado nutricional,total talla normal,2014-09-01,24,22,5,5,9,15,38,42,80
TOLEDO,estado nutricional,total talla normal,2014-09-01,52,49,33,23,34,25,119,97,216
TOMAVE,estado nutricional,total talla normal,2014-09-01,106,93,76,80,71,64,253,237,490
TORO TORO,estado nutricional,total talla normal,2014-09-01,66,66,34,37,45,44,145,147,292
TOTORA(CBBA),estado nutricional,total talla normal,2014-09-01,54,64,47,54,39,33,140,151,291
TOTORA(ORR),estado nutricional,total talla normal,2014-09-01,48,40,31,34,65,42,144,116,260
TRIGAL,estado nutricional,total talla normal,2014-09-01,8,5,10,9,15,14,33,28,61
TRINIDAD,estado nutricional,total talla normal,2014-09-01,1214,1041,699,613,658,601,2571,2255,4826
TUPIZA,estado nutricional,total talla normal,2014-09-01,348,315,277,240,307,287,932,842,1774
TURCO,estado nutricional,total talla normal,2014-09-01,45,24,25,34,22,42,92,100,192
UMALA,estado nutricional,total talla normal,2014-09-01,40,38,36,42,49,48,125,128,253
UNCIA,estado nutricional,total talla normal,2014-09-01,158,160,107,115,130,134,395,409,804
URIONDO (A. CONCEPCION),estado nutricional,total talla normal,2014-09-01,155,171,122,153,111,124,388,448,836
URUBICHA,estado nutricional,total talla normal,2014-09-01,80,64,57,57,53,35,190,156,346
UYUNI,estado nutricional,total talla normal,2014-09-01,220,232,111,149,46,63,377,444,821
VACAS,estado nutricional,total talla normal,2014-09-01,43,48,51,68,66,59,160,175,335
VALLEGRANDE,estado nutricional,total talla normal,2014-09-01,157,119,92,87,99,111,348,317,665
VIACHA,estado nutricional,total talla normal,2014-09-01,562,471,348,292,319,265,1229,1028,2257
VILA VILA,estado nutricional,total talla normal,2014-09-01,32,40,34,21,26,39,92,100,192
VILLA CHARCAS,estado nutricional,total talla normal,2014-09-01,140,129,103,93,133,151,376,373,749
VILLA MONTES,estado nutricional,total talla normal,2014-09-01,371,377,256,238,245,219,872,834,1706
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla normal,2014-09-01,38,24,32,31,51,41,121,96,217
VILLA RIVERO,estado nutricional,total talla normal,2014-09-01,115,93,67,81,65,64,247,238,485
VILLA TUNARI,estado nutricional,total talla normal,2014-09-01,1029,1083,818,734,920,893,2767,2710,5477
VILLAZON,estado nutricional,total talla normal,2014-09-01,32,26,12,4,6,3,50,33,83
VINTO,estado nutricional,total talla normal,2014-09-01,418,451,278,468,193,187,889,1106,1995
VITICHI,estado nutricional,total talla normal,2014-09-01,76,61,58,61,89,76,223,198,421
WALDO BALLIVIAN,estado nutricional,total talla normal,2014-09-01,12,15,16,9,12,17,40,41,81
WARNES,estado nutricional,total talla normal,2014-09-01,317,336,202,204,181,172,700,712,1412
YACO,estado nutricional,total talla normal,2014-09-01,53,59,42,60,39,47,134,166,300
YACUIBA,estado nutricional,total talla normal,2014-09-01,774,702,586,515,541,507,1901,1724,3625
YAMPARAEZ,estado nutricional,total talla normal,2014-09-01,59,41,43,45,77,85,179,171,350
YANACACHI,estado nutricional,total talla normal,2014-09-01,1,1,1,0,2,0,4,1,5
YAPACANI,estado nutricional,total talla normal,2014-09-01,519,543,434,394,319,340,1272,1277,2549
YOCALLA,estado nutricional,total talla normal,2014-09-01,73,75,72,75,66,59,211,209,420
YOTALA,estado nutricional,total talla normal,2014-09-01,58,50,41,47,120,118,219,215,434
YUNCHARA,estado nutricional,total talla normal,2014-09-01,42,27,33,34,80,87,155,148,303
YUNGUYO DE LITORAL,estado nutricional,total talla normal,2014-09-01,1,1,4,0,2,2,7,3,10
ZUDAÑEZ,estado nutricional,total talla normal,2014-09-01,55,52,45,33,82,98,182,183,365
ACACIO,estado nutricional,total talla normal,2014-10-01,30,30,23,33,46,44,99,107,206
ACHACACHI,estado nutricional,total talla normal,2014-10-01,105,138,65,73,49,49,219,260,479
AIQUILE,estado nutricional,total talla normal,2014-10-01,213,208,170,156,174,189,557,553,1110
ALALAY,estado nutricional,total talla normal,2014-10-01,5,6,12,6,2,5,19,17,36
ALCALA,estado nutricional,total talla normal,2014-10-01,6,3,4,2,3,0,13,5,18
ALTO BENI,estado nutricional,total talla normal,2014-10-01,17,31,15,12,26,13,58,56,114
ANCORAIMES,estado nutricional,total talla normal,2014-10-01,34,36,21,24,39,38,94,98,192
ANDAMARCA,estado nutricional,total talla normal,2014-10-01,34,31,20,32,41,65,95,128,223
ANTEQUERA,estado nutricional,total talla normal,2014-10-01,30,22,18,18,24,25,72,65,137
ANZALDO,estado nutricional,total talla normal,2014-10-01,1,6,5,9,8,12,14,27,41
APOLO,estado nutricional,total talla normal,2014-10-01,56,34,33,21,35,25,124,80,204
ARAMPAMPA,estado nutricional,total talla normal,2014-10-01,1,1,0,0,0,0,1,1,2
ARANI,estado nutricional,total talla normal,2014-10-01,100,64,82,81,28,54,210,199,409
ARBIETO,estado nutricional,total talla normal,2014-10-01,217,199,132,137,155,182,504,518,1022
ARQUE,estado nutricional,total talla normal,2014-10-01,59,66,108,92,73,54,240,212,452
ATOCHA,estado nutricional,total talla normal,2014-10-01,71,79,58,63,92,84,221,226,447
AUCAPATA,estado nutricional,total talla normal,2014-10-01,24,24,12,16,13,22,49,62,111
AYATA,estado nutricional,total talla normal,2014-10-01,8,17,14,5,3,6,25,28,53
AYO AYO,estado nutricional,total talla normal,2014-10-01,64,52,41,40,31,39,136,131,267
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla normal,2014-10-01,258,220,152,144,181,182,591,546,1137
AZURDUY,estado nutricional,total talla normal,2014-10-01,94,78,58,66,139,148,291,292,583
BATALLAS,estado nutricional,total talla normal,2014-10-01,101,78,73,83,59,72,233,233,466
BAURES,estado nutricional,total talla normal,2014-10-01,44,35,31,34,32,32,107,101,208
BELEN DE ANDAMARCA,estado nutricional,total talla normal,2014-10-01,6,5,4,3,6,1,16,9,25
BELEN DE URMIRI,estado nutricional,total talla normal,2014-10-01,14,7,8,8,4,9,26,24,50
BELLA FLOR,estado nutricional,total talla normal,2014-10-01,10,10,9,10,11,8,30,28,58
BERMEJO,estado nutricional,total talla normal,2014-10-01,83,81,70,83,105,101,258,265,523
BETANZOS,estado nutricional,total talla normal,2014-10-01,22,16,17,15,15,16,54,47,101
BOLIVAR,estado nutricional,total talla normal,2014-10-01,25,40,22,34,45,33,92,107,199
BOLPEBRA,estado nutricional,total talla normal,2014-10-01,11,13,19,13,16,21,46,47,93
BOYUIBE,estado nutricional,total talla normal,2014-10-01,3,8,0,3,5,0,8,11,19
BUENA VISTA,estado nutricional,total talla normal,2014-10-01,93,85,97,106,173,124,363,315,678
CABEZAS,estado nutricional,total talla normal,2014-10-01,40,46,32,34,20,26,92,106,198
CAIROMA,estado nutricional,total talla normal,2014-10-01,30,20,21,21,18,23,69,64,133
"CAIZA ""D""",estado nutricional,total talla normal,2014-10-01,5,5,6,11,8,2,19,18,37
CAJUATA,estado nutricional,total talla normal,2014-10-01,12,35,17,12,19,17,48,64,112
CALACOTO,estado nutricional,total talla normal,2014-10-01,6,9,13,16,12,31,31,56,87
CALAMARCA,estado nutricional,total talla normal,2014-10-01,78,76,66,87,85,73,229,236,465
CAMARGO,estado nutricional,total talla normal,2014-10-01,1,1,3,0,1,0,5,1,6
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla normal,2014-10-01,26,18,12,18,28,27,66,63,129
CAMIRI,estado nutricional,total talla normal,2014-10-01,71,70,68,58,71,90,210,218,428
CAPINOTA,estado nutricional,total talla normal,2014-10-01,36,27,13,13,20,31,69,71,140
CAQUIAVIRI,estado nutricional,total talla normal,2014-10-01,21,13,7,23,14,18,42,54,96
CARACOLLO,estado nutricional,total talla normal,2014-10-01,29,33,13,22,40,35,82,90,172
CARANAVI,estado nutricional,total talla normal,2014-10-01,351,344,294,227,226,246,871,817,1688
CARANGAS,estado nutricional,total talla normal,2014-10-01,3,3,2,1,3,2,8,6,14
CARAPARI,estado nutricional,total talla normal,2014-10-01,47,35,25,39,39,29,111,103,214
CARIPUYO,estado nutricional,total talla normal,2014-10-01,49,63,51,50,36,25,136,138,274
CARMEN RIVERO TORREZ,estado nutricional,total talla normal,2014-10-01,50,56,23,40,56,44,129,140,269
CATACORA,estado nutricional,total talla normal,2014-10-01,5,12,4,1,7,6,16,19,35
CHACARILLA,estado nutricional,total talla normal,2014-10-01,5,6,2,1,5,2,12,9,21
CHALLAPATA,estado nutricional,total talla normal,2014-10-01,384,341,261,241,285,295,930,877,1807
CHAQUI,estado nutricional,total talla normal,2014-10-01,30,26,27,41,17,11,74,78,152
CHARAGUA,estado nutricional,total talla normal,2014-10-01,281,251,166,149,221,207,668,607,1275
CHARAÑA,estado nutricional,total talla normal,2014-10-01,13,12,16,7,14,10,43,29,72
CHAYANTA,estado nutricional,total talla normal,2014-10-01,106,113,53,83,48,59,207,255,462
CHIMORE,estado nutricional,total talla normal,2014-10-01,126,108,119,130,174,131,419,369,788
CHIPAYA,estado nutricional,total talla normal,2014-10-01,3,3,3,3,9,8,15,14,29
CHOQUE COTA,estado nutricional,total talla normal,2014-10-01,1,3,0,1,1,2,2,6,8
CHUA COCANI,estado nutricional,total talla normal,2014-10-01,7,6,4,1,7,7,18,14,32
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla normal,2014-10-01,13,14,8,3,6,4,27,21,48
CHUMA,estado nutricional,total talla normal,2014-10-01,7,12,3,4,10,6,20,22,42
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla normal,2014-10-01,48,43,42,16,34,27,124,86,210
CKOCHAS,estado nutricional,total talla normal,2014-10-01,45,47,42,45,34,43,121,135,256
CLIZA,estado nutricional,total talla normal,2014-10-01,209,190,103,66,72,72,384,328,712
COBIJA,estado nutricional,total talla normal,2014-10-01,481,387,332,324,314,293,1127,1004,2131
COCAPATA,estado nutricional,total talla normal,2014-10-01,143,143,91,112,114,100,348,355,703
COCHABAMBA,estado nutricional,total talla normal,2014-10-01,3397,3630,2011,1841,1668,1502,7076,6973,14049
COLCAPIRHUA,estado nutricional,total talla normal,2014-10-01,282,281,228,178,197,188,707,647,1354
"COLCHA ""K""",estado nutricional,total talla normal,2014-10-01,2,3,2,8,3,4,7,15,22
COLLANA,estado nutricional,total talla normal,2014-10-01,23,21,23,11,37,37,83,69,152
COLOMI,estado nutricional,total talla normal,2014-10-01,17,24,11,8,23,15,51,47,98
COLPA BELGICA,estado nutricional,total talla normal,2014-10-01,4,3,2,2,0,0,6,5,11
COLQUECHACA,estado nutricional,total talla normal,2014-10-01,13,8,9,12,6,3,28,23,51
COLQUENCHA,estado nutricional,total talla normal,2014-10-01,17,25,16,19,11,18,44,62,106
COLQUIRI,estado nutricional,total talla normal,2014-10-01,27,43,23,15,6,8,56,66,122
COMANCHE,estado nutricional,total talla normal,2014-10-01,6,5,4,4,1,4,11,13,24
COMARAPA,estado nutricional,total talla normal,2014-10-01,97,94,63,68,63,69,223,231,454
COMBAYA,estado nutricional,total talla normal,2014-10-01,2,3,2,1,1,2,5,6,11
COPACABANA,estado nutricional,total talla normal,2014-10-01,61,57,66,45,59,52,186,154,340
CORIPATA,estado nutricional,total talla normal,2014-10-01,5,8,4,2,3,3,12,13,25
CORO CORO,estado nutricional,total talla normal,2014-10-01,34,31,16,21,30,20,80,72,152
COROICO,estado nutricional,total talla normal,2014-10-01,30,22,21,19,12,9,63,50,113
CORQUE,estado nutricional,total talla normal,2014-10-01,8,7,6,4,2,0,16,11,27
COTAGAITA,estado nutricional,total talla normal,2014-10-01,56,61,51,45,55,58,162,164,326
COTOCA,estado nutricional,total talla normal,2014-10-01,102,80,38,41,50,34,190,155,345
CRUZ DE MACHACAMARCA,estado nutricional,total talla normal,2014-10-01,0,2,0,2,2,1,2,5,7
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla normal,2014-10-01,1,5,2,0,7,7,10,12,22
CUEVO,estado nutricional,total talla normal,2014-10-01,32,30,28,19,59,55,119,104,223
CULPINA,estado nutricional,total talla normal,2014-10-01,142,124,130,118,166,184,438,426,864
CURAHUARA DE CARANGAS,estado nutricional,total talla normal,2014-10-01,28,38,22,24,26,25,76,87,163
CURVA,estado nutricional,total talla normal,2014-10-01,0,7,1,3,1,2,2,12,14
EL ALTO,estado nutricional,total talla normal,2014-10-01,3287,3242,2293,2210,2885,3426,8465,8878,17343
EL CHORO,estado nutricional,total talla normal,2014-10-01,54,41,47,32,59,66,160,139,299
EL PUENTE(TJA),estado nutricional,total talla normal,2014-10-01,71,72,59,55,77,61,207,188,395
EL TORNO,estado nutricional,total talla normal,2014-10-01,333,397,257,264,196,210,786,871,1657
EL VILLAR,estado nutricional,total talla normal,2014-10-01,32,25,21,35,57,53,110,113,223
ENTRE RIOS TRJ,estado nutricional,total talla normal,2014-10-01,176,170,153,164,132,147,461,481,942
ENTRE RIOS CBBA,estado nutricional,total talla normal,2014-10-01,334,298,229,208,159,148,722,654,1376
ESCARA,estado nutricional,total talla normal,2014-10-01,2,2,2,2,0,0,4,4,8
ESCOMA,estado nutricional,total talla normal,2014-10-01,36,29,39,37,57,50,132,116,248
EUCALIPTUS,estado nutricional,total talla normal,2014-10-01,7,3,3,6,6,7,16,16,32
