,group,variable,month,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA < DE 1 AÑO,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 1 A MENOR DE 2 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTAL TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
POOPO,estado nutricional,total talla baja,2014-09-01,3,2,7,0,7,0,17,2,19
PORCO,estado nutricional,total talla baja,2014-09-01,13,4,22,11,7,10,42,25,67
POROMA,estado nutricional,total talla baja,2014-09-01,16,10,42,31,73,69,131,110,241
PORONGO,estado nutricional,total talla baja,2014-09-01,0,0,0,0,1,1,1,1,2
PORTACHUELO,estado nutricional,total talla baja,2014-09-01,3,3,2,4,1,5,6,12,18
PORVENIR,estado nutricional,total talla baja,2014-09-01,1,1,0,0,0,0,1,1,2
POTOSI,estado nutricional,total talla baja,2014-09-01,229,112,314,202,160,164,703,478,1181
PRESTO,estado nutricional,total talla baja,2014-09-01,14,9,25,22,63,72,102,103,205
PUCARA,estado nutricional,total talla baja,2014-09-01,0,0,2,0,7,6,9,6,15
PUCARANI,estado nutricional,total talla baja,2014-09-01,9,10,20,13,13,12,42,35,77
PUERTO ACOSTA,estado nutricional,total talla baja,2014-09-01,9,5,13,12,4,7,26,24,50
PUERTO CARABUCO,estado nutricional,total talla baja,2014-09-01,16,6,10,13,12,16,38,35,73
PUERTO GONZALO MORENO,estado nutricional,total talla baja,2014-09-01,14,13,24,17,45,30,83,60,143
PUERTO PEREZ,estado nutricional,total talla baja,2014-09-01,2,1,8,1,4,1,14,3,17
PUERTO QUIJARRO,estado nutricional,total talla baja,2014-09-01,8,5,5,3,0,1,13,9,22
PUERTO RICO,estado nutricional,total talla baja,2014-09-01,4,4,5,1,6,5,15,10,25
PUERTO SUAREZ,estado nutricional,total talla baja,2014-09-01,4,1,7,2,1,0,12,3,15
PUERTO VILLARROEL,estado nutricional,total talla baja,2014-09-01,14,9,45,30,29,28,88,67,155
PUNA,estado nutricional,total talla baja,2014-09-01,12,16,42,32,70,70,124,118,242
PUNATA,estado nutricional,total talla baja,2014-09-01,2,3,7,5,2,3,11,11,22
QUIABAYA,estado nutricional,total talla baja,2014-09-01,11,4,9,7,13,14,33,25,58
QUILLACOLLO,estado nutricional,total talla baja,2014-09-01,32,24,69,76,91,53,192,153,345
QUIME,estado nutricional,total talla baja,2014-09-01,4,0,10,5,3,11,17,16,33
QUIRUSILLAS,estado nutricional,total talla baja,2014-09-01,0,1,0,1,2,0,2,2,4
RAVELO,estado nutricional,total talla baja,2014-09-01,8,3,12,13,20,23,40,39,79
REYES,estado nutricional,total talla baja,2014-09-01,3,2,9,3,3,3,15,8,23
RIBERALTA,estado nutricional,total talla baja,2014-09-01,33,22,73,61,42,54,148,137,285
ROBORE,estado nutricional,total talla baja,2014-09-01,0,0,1,0,1,0,2,0,2
RURRENABAQUE,estado nutricional,total talla baja,2014-09-01,7,6,4,6,7,8,18,20,38
SABAYA,estado nutricional,total talla baja,2014-09-01,0,0,3,1,2,1,5,2,7
SACABA,estado nutricional,total talla baja,2014-09-01,40,30,76,60,65,64,181,154,335
SACABAMBA,estado nutricional,total talla baja,2014-09-01,5,8,16,7,7,5,28,20,48
SACACA,estado nutricional,total talla baja,2014-09-01,16,17,35,19,13,32,64,68,132
SAIPINA,estado nutricional,total talla baja,2014-09-01,1,1,2,2,4,6,7,9,16
SALINAS DE GARCI MENDOZA,estado nutricional,total talla baja,2014-09-01,19,13,25,23,50,31,94,67,161
SAMAIPATA,estado nutricional,total talla baja,2014-09-01,0,2,4,0,0,0,4,2,6
SAN AGUSTIN,estado nutricional,total talla baja,2014-09-01,0,0,4,4,0,0,4,4,8
SAN ANDRES,estado nutricional,total talla baja,2014-09-01,1,0,2,2,6,5,9,7,16
SAN ANDRES DE MACHACA,estado nutricional,total talla baja,2014-09-01,0,1,2,2,0,0,2,3,5
SAN ANTONIO DE ESMORUCO,estado nutricional,total talla baja,2014-09-01,2,1,3,1,4,2,9,4,13
SAN ANTONIO DE LOMERIO,estado nutricional,total talla baja,2014-09-01,9,4,9,7,20,19,38,30,68
SAN BENITO,estado nutricional,total talla baja,2014-09-01,6,6,15,9,9,3,30,18,48
SAN BORJA,estado nutricional,total talla baja,2014-09-01,37,25,64,44,93,75,194,144,338
SAN BUENA VENTURA,estado nutricional,total talla baja,2014-09-01,0,2,2,3,7,5,9,10,19
SAN CARLOS,estado nutricional,total talla baja,2014-09-01,1,2,2,1,2,0,5,3,8
SAN IGNACIO,estado nutricional,total talla baja,2014-09-01,25,15,23,16,22,16,70,47,117
SAN IGNACIO DE VELASCO,estado nutricional,total talla baja,2014-09-01,29,15,39,29,31,29,99,73,172
SAN JAVIER(STC),estado nutricional,total talla baja,2014-09-01,0,0,1,1,0,1,1,2,3
SAN JOAQUIN,estado nutricional,total talla baja,2014-09-01,2,2,2,4,4,1,8,7,15
SAN JOSE DE CHIQUITOS,estado nutricional,total talla baja,2014-09-01,2,3,4,2,2,1,8,6,14
SAN JUAN DE YAPACANI,estado nutricional,total talla baja,2014-09-01,0,2,1,3,1,0,2,5,7
SAN JULIAN,estado nutricional,total talla baja,2014-09-01,4,3,15,10,12,20,31,33,64
SAN LORENZO(PND),estado nutricional,total talla baja,2014-09-01,1,1,12,7,7,13,20,21,41
SAN LORENZO(TJA),estado nutricional,total talla baja,2014-09-01,8,8,10,7,9,6,27,21,48
SAN LUCAS,estado nutricional,total talla baja,2014-09-01,26,27,61,61,131,142,218,230,448
SAN MATIAS,estado nutricional,total talla baja,2014-09-01,0,1,2,2,0,1,2,4,6
SAN MIGUEL DE VELASCO,estado nutricional,total talla baja,2014-09-01,10,7,14,8,15,14,39,29,68
SAN PABLO DE LIPEZ,estado nutricional,total talla baja,2014-09-01,1,0,2,3,0,2,3,5,8
SAN PEDRO,estado nutricional,total talla baja,2014-09-01,1,2,4,3,4,5,9,10,19
SAN PEDRO DE BUENA VISTA,estado nutricional,total talla baja,2014-09-01,28,17,41,35,45,43,114,95,209
SAN PEDRO DE CURAHUARA,estado nutricional,total talla baja,2014-09-01,2,1,6,6,6,1,14,8,22
SAN PEDRO DE QUEMES,estado nutricional,total talla baja,2014-09-01,1,0,0,1,0,1,1,2,3
SAN PEDRO DE TIQUINA,estado nutricional,total talla baja,2014-09-01,0,1,6,2,2,7,8,10,18
SAN PEDRO(PND),estado nutricional,total talla baja,2014-09-01,0,0,0,0,3,1,3,1,4
SAN RAFAEL,estado nutricional,total talla baja,2014-09-01,2,1,3,1,3,0,8,2,10
SAN RAMON BENI,estado nutricional,total talla baja,2014-09-01,2,3,3,3,0,0,5,6,11
SAN RAMON SCZ,estado nutricional,total talla baja,2014-09-01,3,3,2,1,2,1,7,5,12
SANTA ANA,estado nutricional,total talla baja,2014-09-01,15,6,13,10,9,5,37,21,58
SANTA CRUZ DE LA SIERRA,estado nutricional,total talla baja,2014-09-01,113,77,95,59,102,72,310,208,518
SANTA ROSA,estado nutricional,total talla baja,2014-09-01,4,2,1,1,2,2,7,5,12
SANTA ROSA DEL SARA,estado nutricional,total talla baja,2014-09-01,3,0,4,2,4,3,11,5,16
SANTIAGO DE CALLAPA,estado nutricional,total talla baja,2014-09-01,0,2,4,6,3,4,7,12,19
SANTIAGO DE HUARI,estado nutricional,total talla baja,2014-09-01,4,10,6,9,17,14,27,33,60
SANTIAGO DE HUATA,estado nutricional,total talla baja,2014-09-01,20,1,9,1,12,3,41,5,46
SANTIAGO DE MACHACA,estado nutricional,total talla baja,2014-09-01,5,5,8,4,6,4,19,13,32
SANTIVAÑES,estado nutricional,total talla baja,2014-09-01,3,2,3,4,4,4,10,10,20
SANTUARIO DE QUILLACAS,estado nutricional,total talla baja,2014-09-01,3,1,6,6,7,11,16,18,34
SAPAHAQUI,estado nutricional,total talla baja,2014-09-01,3,3,19,8,11,13,33,24,57
SENA,estado nutricional,total talla baja,2014-09-01,2,2,5,3,4,3,11,8,19
SHINAOTA,estado nutricional,total talla baja,2014-09-01,3,3,17,12,9,9,29,24,53
SICA SICA (VILLA AROMA),estado nutricional,total talla baja,2014-09-01,25,12,33,26,24,24,82,62,144
SICAYA,estado nutricional,total talla baja,2014-09-01,4,2,8,7,17,12,29,21,50
SIPE SIPE,estado nutricional,total talla baja,2014-09-01,24,11,41,37,18,11,83,59,142
SOPACHUY,estado nutricional,total talla baja,2014-09-01,6,1,10,5,48,31,64,37,101
SORACACHI,estado nutricional,total talla baja,2014-09-01,8,7,23,10,19,19,50,36,86
SORATA,estado nutricional,total talla baja,2014-09-01,19,7,17,16,20,18,56,41,97
SUCRE,estado nutricional,total talla baja,2014-09-01,38,21,76,58,86,78,200,157,357
TACACHI,estado nutricional,total talla baja,2014-09-01,0,0,0,9,2,5,2,14,16
TACACOMA,estado nutricional,total talla baja,2014-09-01,0,3,5,4,6,4,11,11,22
TACOBAMBA,estado nutricional,total talla baja,2014-09-01,6,15,25,16,24,8,55,39,94
TACOPAYA,estado nutricional,total talla baja,2014-09-01,7,8,21,13,32,24,60,45,105
TAPACARI,estado nutricional,total talla baja,2014-09-01,30,22,84,48,74,64,188,134,322
TARABUCO,estado nutricional,total talla baja,2014-09-01,20,13,30,31,110,80,160,124,284
TARACO,estado nutricional,total talla baja,2014-09-01,1,3,8,4,7,4,16,11,27
TARATA,estado nutricional,total talla baja,2014-09-01,0,1,5,3,1,9,6,13,19
TARIJA,estado nutricional,total talla baja,2014-09-01,29,26,28,34,35,48,92,108,200
TARVITA,estado nutricional,total talla baja,2014-09-01,4,4,25,16,78,93,107,113,220
TEOPONTE,estado nutricional,total talla baja,2014-09-01,0,0,1,2,5,5,6,7,13
TIAWANACU,estado nutricional,total talla baja,2014-09-01,19,10,16,9,5,7,40,26,66
TINGUIPAYA,estado nutricional,total talla baja,2014-09-01,16,18,32,38,31,36,79,92,171
TIPUANI,estado nutricional,total talla baja,2014-09-01,2,2,7,6,9,5,18,13,31
TIQUIPAYA,estado nutricional,total talla baja,2014-09-01,15,16,36,32,20,25,71,73,144
TIRAQUE (CBBA),estado nutricional,total talla baja,2014-09-01,17,12,29,31,21,19,67,62,129
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,total talla baja,2014-09-01,2,1,1,1,1,5,4,7,11
TOCO,estado nutricional,total talla baja,2014-09-01,0,0,6,1,3,4,9,5,14
TODOS SANTOS,estado nutricional,total talla baja,2014-09-01,1,0,0,0,0,0,1,0,1
TOLATA,estado nutricional,total talla baja,2014-09-01,0,0,0,0,4,0,4,0,4
TOLEDO,estado nutricional,total talla baja,2014-09-01,1,0,12,5,5,7,18,12,30
TOMAVE,estado nutricional,total talla baja,2014-09-01,7,15,19,17,13,10,39,42,81
TORO TORO,estado nutricional,total talla baja,2014-09-01,3,7,15,7,34,19,52,33,85
TOTORA(CBBA),estado nutricional,total talla baja,2014-09-01,3,9,28,20,9,8,40,37,77
TOTORA(ORR),estado nutricional,total talla baja,2014-09-01,7,1,23,7,9,15,39,23,62
TRIGAL,estado nutricional,total talla baja,2014-09-01,0,0,0,0,0,1,0,1,1
TRINIDAD,estado nutricional,total talla baja,2014-09-01,19,13,21,7,24,19,64,39,103
TUPIZA,estado nutricional,total talla baja,2014-09-01,19,11,28,25,29,21,76,57,133
TURCO,estado nutricional,total talla baja,2014-09-01,6,1,3,1,6,1,15,3,18
UMALA,estado nutricional,total talla baja,2014-09-01,6,8,13,13,19,13,38,34,72
UNCIA,estado nutricional,total talla baja,2014-09-01,27,12,37,23,53,23,117,58,175
URIONDO (A. CONCEPCION),estado nutricional,total talla baja,2014-09-01,8,1,3,0,4,8,15,9,24
URUBICHA,estado nutricional,total talla baja,2014-09-01,2,2,7,5,0,1,9,8,17
UYUNI,estado nutricional,total talla baja,2014-09-01,7,5,24,19,11,10,42,34,76
VACAS,estado nutricional,total talla baja,2014-09-01,11,11,40,18,34,29,85,58,143
VALLEGRANDE,estado nutricional,total talla baja,2014-09-01,0,4,4,3,4,6,8,13,21
VIACHA,estado nutricional,total talla baja,2014-09-01,226,170,120,112,108,93,454,375,829
VILA VILA,estado nutricional,total talla baja,2014-09-01,15,9,12,17,16,38,43,64,107
VILLA CHARCAS,estado nutricional,total talla baja,2014-09-01,15,11,46,38,73,87,134,136,270
VILLA MONTES,estado nutricional,total talla baja,2014-09-01,6,6,11,5,3,8,20,19,39
VILLA NUEVA (LOMA ALTA),estado nutricional,total talla baja,2014-09-01,3,3,5,1,12,4,20,8,28
VILLA RIVERO,estado nutricional,total talla baja,2014-09-01,9,5,23,12,14,10,46,27,73
VILLA TUNARI,estado nutricional,total talla baja,2014-09-01,27,36,71,83,113,117,211,236,447
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,total talla baja,2014-09-01,0,0,2,0,4,0,6,0,6
VILLAZON,estado nutricional,total talla baja,2014-09-01,10,7,7,8,9,4,26,19,45
VINTO,estado nutricional,total talla baja,2014-09-01,8,2,36,26,23,10,67,38,105
VITICHI,estado nutricional,total talla baja,2014-09-01,10,4,22,15,13,19,45,38,83
WALDO BALLIVIAN,estado nutricional,total talla baja,2014-09-01,1,0,4,3,2,6,7,9,16
WARNES,estado nutricional,total talla baja,2014-09-01,6,6,6,6,7,3,19,15,34
YACO,estado nutricional,total talla baja,2014-09-01,6,2,5,8,17,18,28,28,56
YACUIBA,estado nutricional,total talla baja,2014-09-01,26,7,34,18,23,14,83,39,122
YAMPARAEZ,estado nutricional,total talla baja,2014-09-01,2,1,22,7,40,41,64,49,113
YAPACANI,estado nutricional,total talla baja,2014-09-01,8,2,15,10,13,8,36,20,56
YOCALLA,estado nutricional,total talla baja,2014-09-01,7,10,8,10,13,9,28,29,57
YOTALA,estado nutricional,total talla baja,2014-09-01,1,0,6,1,17,9,24,10,34
YUNCHARA,estado nutricional,total talla baja,2014-09-01,7,10,14,14,16,20,37,44,81
ZUDAÑEZ,estado nutricional,total talla baja,2014-09-01,5,6,10,7,41,41,56,54,110
ACACIO,estado nutricional,total talla baja,2014-10-01,8,4,18,14,45,36,71,54,125
ACHACACHI,estado nutricional,total talla baja,2014-10-01,10,7,17,9,17,10,44,26,70
AIQUILE,estado nutricional,total talla baja,2014-10-01,9,12,13,15,23,37,45,64,109
ALALAY,estado nutricional,total talla baja,2014-10-01,3,1,1,0,1,0,5,1,6
ALCALA,estado nutricional,total talla baja,2014-10-01,0,0,1,0,3,1,4,1,5
ALTO BENI,estado nutricional,total talla baja,2014-10-01,1,1,6,0,2,1,9,2,11
ANCORAIMES,estado nutricional,total talla baja,2014-10-01,21,15,16,10,20,17,57,42,99
ANDAMARCA,estado nutricional,total talla baja,2014-10-01,10,4,13,10,18,18,41,32,73
ANTEQUERA,estado nutricional,total talla baja,2014-10-01,1,1,2,3,2,0,5,4,9
ANZALDO,estado nutricional,total talla baja,2014-10-01,1,0,2,1,3,3,6,4,10
APOLO,estado nutricional,total talla baja,2014-10-01,3,3,7,2,9,11,19,16,35
ARAMPAMPA,estado nutricional,total talla baja,2014-10-01,0,1,0,0,0,0,0,1,1
ARANI,estado nutricional,total talla baja,2014-10-01,10,9,17,15,9,9,36,33,69
ARBIETO,estado nutricional,total talla baja,2014-10-01,4,0,12,10,17,20,33,30,63
ARQUE,estado nutricional,total talla baja,2014-10-01,8,15,26,22,33,39,67,76,143
ATOCHA,estado nutricional,total talla baja,2014-10-01,8,5,11,9,19,14,38,28,66
AUCAPATA,estado nutricional,total talla baja,2014-10-01,1,1,3,3,6,6,10,10,20
AYATA,estado nutricional,total talla baja,2014-10-01,2,0,2,1,4,3,8,4,12
AYO AYO,estado nutricional,total talla baja,2014-10-01,7,11,19,17,23,14,49,42,91
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,total talla baja,2014-10-01,24,25,59,59,68,39,151,123,274
AZURDUY,estado nutricional,total talla baja,2014-10-01,12,9,24,13,62,100,98,122,220
BATALLAS,estado nutricional,total talla baja,2014-10-01,7,7,10,9,6,5,23,21,44
BAURES,estado nutricional,total talla baja,2014-10-01,0,2,7,3,8,5,15,10,25
BELEN DE ANDAMARCA,estado nutricional,total talla baja,2014-10-01,1,0,0,2,0,1,1,3,4
BELEN DE URMIRI,estado nutricional,total talla baja,2014-10-01,1,1,3,4,3,7,7,12,19
BELLA FLOR,estado nutricional,total talla baja,2014-10-01,1,0,1,1,0,1,2,2,4
BERMEJO,estado nutricional,total talla baja,2014-10-01,3,2,6,5,10,4,19,11,30
BETANZOS,estado nutricional,total talla baja,2014-10-01,5,4,7,6,10,15,22,25,47
BOLIVAR,estado nutricional,total talla baja,2014-10-01,30,27,33,27,33,30,96,84,180
BOLPEBRA,estado nutricional,total talla baja,2014-10-01,1,1,6,2,4,4,11,7,18
BOYUIBE,estado nutricional,total talla baja,2014-10-01,1,0,0,1,0,0,1,1,2
BUENA VISTA,estado nutricional,total talla baja,2014-10-01,6,0,1,1,0,2,7,3,10
CABEZAS,estado nutricional,total talla baja,2014-10-01,0,0,0,0,1,0,1,0,1
CAIROMA,estado nutricional,total talla baja,2014-10-01,2,1,4,0,2,0,8,1,9
"CAIZA ""D""",estado nutricional,total talla baja,2014-10-01,0,0,2,1,4,2,6,3,9
CAJUATA,estado nutricional,total talla baja,2014-10-01,1,1,2,1,3,4,6,6,12
CALACOTO,estado nutricional,total talla baja,2014-10-01,0,2,2,1,3,1,5,4,9
CALAMARCA,estado nutricional,total talla baja,2014-10-01,6,7,23,12,20,26,49,45,94
CAMARGO,estado nutricional,total talla baja,2014-10-01,1,0,0,0,0,1,1,1,2
CAMATAQUI (C. VILLA ABECIA),estado nutricional,total talla baja,2014-10-01,2,2,4,3,10,7,16,12,28
CAMIRI,estado nutricional,total talla baja,2014-10-01,2,0,1,0,2,2,5,2,7
CAPINOTA,estado nutricional,total talla baja,2014-10-01,2,2,8,8,10,1,20,11,31
CAQUIAVIRI,estado nutricional,total talla baja,2014-10-01,1,1,4,2,1,0,6,3,9
CARACOLLO,estado nutricional,total talla baja,2014-10-01,6,1,1,1,4,3,11,5,16
CARANAVI,estado nutricional,total talla baja,2014-10-01,10,6,17,12,43,30,70,48,118
CARAPARI,estado nutricional,total talla baja,2014-10-01,1,0,0,0,0,3,1,3,4
CARIPUYO,estado nutricional,total talla baja,2014-10-01,11,4,32,22,35,31,78,57,135
CARMEN RIVERO TORREZ,estado nutricional,total talla baja,2014-10-01,0,1,0,0,0,0,0,1,1
CATACORA,estado nutricional,total talla baja,2014-10-01,0,0,0,2,6,0,6,2,8
CHACARILLA,estado nutricional,total talla baja,2014-10-01,0,1,0,0,0,0,0,1,1
CHALLAPATA,estado nutricional,total talla baja,2014-10-01,46,23,76,61,84,65,206,149,355
CHAQUI,estado nutricional,total talla baja,2014-10-01,5,5,10,7,10,3,25,15,40
CHARAGUA,estado nutricional,total talla baja,2014-10-01,1,5,0,1,1,1,2,7,9
CHARAÑA,estado nutricional,total talla baja,2014-10-01,3,0,3,1,0,0,6,1,7
CHAYANTA,estado nutricional,total talla baja,2014-10-01,3,5,9,3,3,3,15,11,26
CHIMORE,estado nutricional,total talla baja,2014-10-01,1,2,4,10,8,10,13,22,35
CHIPAYA,estado nutricional,total talla baja,2014-10-01,0,1,0,1,0,0,0,2,2
CHOQUE COTA,estado nutricional,total talla baja,2014-10-01,0,0,0,1,0,0,0,1,1
CHUA COCANI,estado nutricional,total talla baja,2014-10-01,0,0,0,0,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,total talla baja,2014-10-01,2,0,3,0,0,1,5,1,6
CHUMA,estado nutricional,total talla baja,2014-10-01,2,1,4,2,3,2,9,5,14
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,total talla baja,2014-10-01,4,1,7,7,3,12,14,20,34
CKOCHAS,estado nutricional,total talla baja,2014-10-01,2,7,13,19,11,10,26,36,62
CLIZA,estado nutricional,total talla baja,2014-10-01,3,4,4,5,2,0,9,9,18
COBIJA,estado nutricional,total talla baja,2014-10-01,24,12,34,23,23,20,81,55,136
COCAPATA,estado nutricional,total talla baja,2014-10-01,33,17,76,52,104,106,213,175,388
COCHABAMBA,estado nutricional,total talla baja,2014-10-01,125,100,209,166,116,105,450,371,821
COLCAPIRHUA,estado nutricional,total talla baja,2014-10-01,6,4,13,15,17,21,36,40,76
"COLCHA ""K""",estado nutricional,total talla baja,2014-10-01,0,1,1,0,0,1,1,2,3
COLLANA,estado nutricional,total talla baja,2014-10-01,3,0,2,4,5,4,10,8,18
COLOMI,estado nutricional,total talla baja,2014-10-01,2,2,6,4,12,7,20,13,33
COLQUECHACA,estado nutricional,total talla baja,2014-10-01,8,2,12,15,2,9,22,26,48
COLQUENCHA,estado nutricional,total talla baja,2014-10-01,4,4,10,4,3,4,17,12,29
COLQUIRI,estado nutricional,total talla baja,2014-10-01,7,8,3,4,2,1,12,13,25
COMANCHE,estado nutricional,total talla baja,2014-10-01,0,0,1,1,4,2,5,3,8
COMARAPA,estado nutricional,total talla baja,2014-10-01,4,0,6,5,10,2,20,7,27
COMBAYA,estado nutricional,total talla baja,2014-10-01,0,0,2,0,1,1,3,1,4
COPACABANA,estado nutricional,total talla baja,2014-10-01,0,1,5,1,3,3,8,5,13
CORIPATA,estado nutricional,total talla baja,2014-10-01,1,1,0,2,5,1,6,4,10
CORO CORO,estado nutricional,total talla baja,2014-10-01,8,2,4,9,7,3,19,14,33
COROICO,estado nutricional,total talla baja,2014-10-01,1,1,1,1,3,2,5,4,9
CORQUE,estado nutricional,total talla baja,2014-10-01,0,0,1,0,0,0,1,0,1
COTAGAITA,estado nutricional,total talla baja,2014-10-01,6,2,15,8,13,7,34,17,51
COTOCA,estado nutricional,total talla baja,2014-10-01,1,2,3,3,1,4,5,9,14
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,total talla baja,2014-10-01,0,0,1,1,3,3,4,4,8
CUEVO,estado nutricional,total talla baja,2014-10-01,3,1,3,0,6,4,12,5,17
CULPINA,estado nutricional,total talla baja,2014-10-01,3,1,9,4,13,10,25,15,40
CURAHUARA DE CARANGAS,estado nutricional,total talla baja,2014-10-01,8,2,5,5,10,8,23,15,38
CURVA,estado nutricional,total talla baja,2014-10-01,0,0,0,0,4,1,4,1,5
DESAGUADERO,estado nutricional,total talla baja,2014-10-01,0,0,1,1,0,0,1,1,2
EL ALTO,estado nutricional,total talla baja,2014-10-01,378,263,323,207,277,245,978,715,1693
EL CHORO,estado nutricional,total talla baja,2014-10-01,0,0,2,1,3,4,5,5,10
EL PUENTE(TJA),estado nutricional,total talla baja,2014-10-01,7,5,8,6,13,14,28,25,53
EL TORNO,estado nutricional,total talla baja,2014-10-01,10,11,12,5,10,11,32,27,59
EL VILLAR,estado nutricional,total talla baja,2014-10-01,2,1,1,4,8,7,11,12,23
ENTRE RIOS TRJ,estado nutricional,total talla baja,2014-10-01,2,1,3,4,9,11,14,16,30
ENTRE RIOS CBBA,estado nutricional,total talla baja,2014-10-01,3,2,5,9,16,11,24,22,46
ESCARA,estado nutricional,total talla baja,2014-10-01,0,0,0,1,1,0,1,1,2
ESCOMA,estado nutricional,total talla baja,2014-10-01,1,2,4,7,1,6,6,15,21
EUCALIPTUS,estado nutricional,total talla baja,2014-10-01,0,0,3,1,1,4,4,5,9
EXALTACION,estado nutricional,total talla baja,2014-10-01,1,0,1,2,2,2,4,4,8
FERNANDEZ ALONSO,estado nutricional,total talla baja,2014-10-01,9,1,4,2,6,9,19,12,31
FILADELFIA,estado nutricional,total talla baja,2014-10-01,1,1,1,1,2,1,4,3,7
GENERAL SAAVEDRA,estado nutricional,total talla baja,2014-10-01,1,0,1,1,0,2,2,3,5
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,total talla baja,2014-10-01,4,3,4,6,8,4,16,13,29
GUANAY,estado nutricional,total talla baja,2014-10-01,1,2,7,7,111,13,119,22,141
GUAQUI,estado nutricional,total talla baja,2014-10-01,0,0,0,0,0,1,0,1,1
GUAYARAMERIN,estado nutricional,total talla baja,2014-10-01,32,23,34,25,30,15,96,63,159
GUTIERREZ,estado nutricional,total talla baja,2014-10-01,2,3,10,7,19,6,31,16,47
HUACARETA,estado nutricional,total talla baja,2014-10-01,1,0,5,3,7,6,13,9,22
HUACAYA (VILLA DE HUACAYA),estado nutricional,total talla baja,2014-10-01,1,1,3,1,14,2,18,4,22
HUACHACALLA,estado nutricional,total talla baja,2014-10-01,0,0,1,0,2,1,3,1,4
HUANUNI,estado nutricional,total talla baja,2014-10-01,38,27,32,15,29,28,99,70,169
HUARACAJE,estado nutricional,total talla baja,2014-10-01,0,0,0,2,1,0,1,2,3
HUARINA,estado nutricional,total talla baja,2014-10-01,3,3,0,1,0,1,3,5,8
HUATAJATA,estado nutricional,total talla baja,2014-10-01,0,1,0,3,0,0,0,4,4
HUAYLLAMARCA,estado nutricional,total talla baja,2014-10-01,1,0,2,0,0,2,3,2,5
HUMANATA,estado nutricional,total talla baja,2014-10-01,2,0,6,4,10,8,18,12,30
ICHOCA,estado nutricional,total talla baja,2014-10-01,3,2,8,3,7,0,18,5,23
ICLA,estado nutricional,total talla baja,2014-10-01,3,7,4,4,6,10,13,21,34
INCAHUASI,estado nutricional,total talla baja,2014-10-01,2,5,3,3,4,2,9,10,19
INGAVI (HUMAITA),estado nutricional,total talla baja,2014-10-01,0,0,0,1,1,0,1,1,2
INQUISIVI,estado nutricional,total talla baja,2014-10-01,0,0,11,5,5,3,16,8,24
IRUPANA (VILLA DE LANZA),estado nutricional,total talla baja,2014-10-01,0,2,2,2,0,0,2,4,6
IXIAMAS,estado nutricional,total talla baja,2014-10-01,1,2,1,0,1,0,3,2,5
LA ASUNTA,estado nutricional,total talla baja,2014-10-01,3,0,3,7,8,13,14,20,34
LA GUARDIA,estado nutricional,total talla baja,2014-10-01,3,5,6,9,5,3,14,17,31
LA PAZ,estado nutricional,total talla baja,2014-10-01,111,112,141,114,124,137,376,363,739
LAJA,estado nutricional,total talla baja,2014-10-01,1,3,1,1,0,0,2,4,6
LLALLAGUA,estado nutricional,total talla baja,2014-10-01,15,8,48,39,18,20,81,67,148
LORETO,estado nutricional,total talla baja,2014-10-01,0,0,1,0,3,2,4,2,6
LURIBAY,estado nutricional,total talla baja,2014-10-01,1,2,1,0,2,3,4,5,9
MACHACAMARCA,estado nutricional,total talla baja,2014-10-01,4,2,6,9,3,3,13,14,27
MACHARETI,estado nutricional,total talla baja,2014-10-01,0,1,0,0,3,0,3,1,4
MAGDALENA,estado nutricional,total talla baja,2014-10-01,1,0,2,4,1,1,4,5,9
MAIRANA,estado nutricional,total talla baja,2014-10-01,4,1,2,1,1,2,7,4,11
MALLA,estado nutricional,total talla baja,2014-10-01,2,1,6,6,10,11,18,18,36
MAPIRI,estado nutricional,total talla baja,2014-10-01,3,1,6,4,8,10,17,15,32
MECAPACA,estado nutricional,total talla baja,2014-10-01,2,1,0,5,0,0,2,6,8
MINEROS,estado nutricional,total talla baja,2014-10-01,2,2,3,7,8,8,13,17,30
MIZQUE,estado nutricional,total talla baja,2014-10-01,16,11,19,18,19,23,54,52,106
MOCOMOCO,estado nutricional,total talla baja,2014-10-01,4,3,3,6,2,1,9,10,19
MOJINETE,estado nutricional,total talla baja,2014-10-01,0,0,0,0,0,2,0,2,2
MOJOCOYA,estado nutricional,total talla baja,2014-10-01,2,1,9,2,13,8,24,11,35
MONTEAGUDO,estado nutricional,total talla baja,2014-10-01,3,3,8,7,15,9,26,19,45
MONTERO,estado nutricional,total talla baja,2014-10-01,2,1,1,2,0,2,3,5,8
MOROCHATA,estado nutricional,total talla baja,2014-10-01,5,4,18,10,22,27,45,41,86
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,total talla baja,2014-10-01,1,0,1,0,0,0,2,0,2
